Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,40.164911,[115   6] ; [5 8],[108.35820896  12.64179104] ; [11.64179104  1.35820896],1
d4,1,0.253763,1.302467,[92 29] ; [8 5],[90.29850746 30.70149254] ; [9.70149254 3.29850746],0
n2,1,0.254854,1.296496,[29  9] ; [2 2],[28.04761905  9.95238095] ; [2.95238095 1.04761905],0
s1,1,0.257521,1.282035,[  8 112] ; [ 2 11],[  9.02255639 110.97744361] ; [ 0.97744361 12.02255639],0
v3,1,0.272194,1.205656,[44 70] ; [ 3 10],[42.18897638 71.81102362] ; [4.81102362 8.18897638],0
u3,1,0.31335,1.016504,[25 19] ; [3 5],[23.69230769 20.30769231] ; [4.30769231 3.69230769],0
n5,1,0.325719,0.965845,[87 34] ; [11  2],[88.49253731 32.50746269] ; [9.50746269 3.49253731],0
p5,1,0.338488,0.916149,[  9 109] ; [ 2 11],[  9.90839695 108.09160305] ; [ 1.09160305 11.90839695],0
p3,1,0.340109,0.910021,[44 77] ; [ 3 10],[42.44029851 78.55970149] ; [4.55970149 8.44029851],0
u1,1,0.34053,0.908434,[22 99] ; [ 1 12],[ 20.76865672 100.23134328] ; [ 2.23134328 10.76865672],0
s2,1,0.341301,0.905538,[53 66] ; [4 9],[51.38636364 67.61363636] ; [5.61363636 7.38636364],0
s3,1,0.357638,0.846169,[52 66] ; [4 9],[50.44274809 67.55725191] ; [5.55725191 7.44274809],0
p11,1,0.413532,0.668623,[79 42] ; [7 6],[77.65671642 43.34328358] ; [8.34328358 4.65671642],0
p7,1,0.4415,0.59238,[40 79] ; [ 3 10],[38.76515152 80.23484848] ; [4.23484848 8.76515152],0
s6,1,0.477726,0.504049,[76 43] ; [7 6],[74.82575758 44.17424242] ; [8.17424242 4.82575758],0
n3,1,0.507335,0.43956,[24 12] ; [2 2],[23.4 12.6] ; [2.6 1.4],0
b5,1,0.607661,0.263595,[75 46] ; [9 4],[75.85074627 45.14925373] ; [8.14925373 4.85074627],0
b1,1,0.685248,0.164278,[58 63] ; [7 6],[58.69402985 62.30597015] ; [6.30597015 6.69402985],0
p4,1,0.76065,0.092798,[42 78] ; [4 9],[41.5037594 78.4962406] ; [4.4962406 8.5037594],0
u2,1,0.761544,0.092084,[19 24] ; [4 4],[19.39215686 23.60784314] ; [3.60784314 4.39215686],0
n1,1,0.795883,0.066915,[16 21] ; [2 2],[16.24390244 20.75609756] ; [1.75609756 2.24390244],0
n4,1,0.839166,0.041193,[87 34] ; [9 4],[86.68656716 34.31343284] ; [9.31343284 3.68656716],0
b2,1,0.857813,0.032098,[28 49] ; [3 6],[27.75581395 49.24418605] ; [3.24418605 5.75581395],0
b3,1,0.857813,0.032098,[28 49] ; [3 6],[27.75581395 49.24418605] ; [3.24418605 5.75581395],0
a1,1,0.882397,0.021884,[  8 113] ; [ 1 12],[  8.12686567 112.87313433] ; [ 0.87313433 12.12686567],0
b4,1,0.887,0.020193,[72 49] ; [8 5],[72.23880597 48.76119403] ; [7.76119403 5.23880597],0
p12,1,0.943068,0.0051,[ 10 111] ; [ 1 12],[  9.93283582 111.06716418] ; [ 1.06716418 11.93283582],0
s4,1,0.97085,0.001335,[28 91] ; [ 3 10],[27.9469697 91.0530303] ; [3.0530303 9.9469697],0
p8,1,0.995879,2.7e-05,[28 93] ; [ 3 10],[27.99253731 93.00746269] ; [3.00746269 9.99253731],0
