Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-06,21.033654,[37 63] ; [54 21],[52. 48.] ; [39. 36.],1
v2,1,0.31902,0.992961,[37 57] ; [33 37],[40.12195122 53.87804878] ; [29.87804878 40.12195122],0
r4,1,0.325912,0.965074,[71 29] ; [48 27],[68. 32.] ; [51. 24.],0
p8,1,0.351448,0.868221,[38 61] ; [23 50],[35.11046512 63.88953488] ; [25.88953488 47.11046512],0
b1,1,0.359012,0.841346,[49 51] ; [42 33],[52. 48.] ; [39. 36.],0
p11,1,0.380476,0.769163,[52 48] ; [44 31],[54.85714286 45.14285714] ; [41.14285714 33.85714286],0
b5,1,0.40043,0.707035,[61 39] ; [41 34],[58.28571429 41.71428571] ; [43.71428571 31.28571429],0
s5,1,0.48659,0.484058,[19 74] ; [12 62],[17.26347305 75.73652695] ; [13.73652695 60.26347305],0
s3,1,0.521881,0.410174,[48 51] ; [39 34],[50.0755814 48.9244186] ; [36.9244186 36.0755814],0
p6,1,0.527574,0.399063,[19 78] ; [17 55],[20.66272189 76.33727811] ; [15.33727811 56.66272189],0
b2,1,0.651378,0.204167,[17 39] ; [11 31],[16. 40.] ; [12. 30.],0
b3,1,0.651378,0.204167,[17 39] ; [11 31],[16. 40.] ; [12. 30.],0
s8,1,0.655477,0.199065,[25 75] ; [21 54],[26.28571429 73.71428571] ; [19.71428571 55.28571429],0
n3,1,0.662858,0.190071,[22 12] ; [16 11],[21.18032787 12.81967213] ; [16.81967213 10.18032787],0
a5,1,0.72277,0.125854,[60 40] ; [43 32],[58.85714286 41.14285714] ; [44.14285714 30.85714286],0
p4,1,0.735497,0.114124,[39 61] ; [27 47],[37.93103448 62.06896552] ; [28.06896552 45.93103448],0
s6,1,0.738868,0.111124,[45 54] ; [36 39],[46.0862069 52.9137931] ; [34.9137931 40.0862069],0
v1,1,0.76487,0.089456,[39 60] ; [30 42],[39.94736842 59.05263158] ; [29.05263158 42.94736842],0
s2,1,0.768581,0.086572,[37 63] ; [29 45],[37.93103448 62.06896552] ; [28.06896552 45.93103448],0
s7,1,0.772729,0.083409,[26 64] ; [22 49],[26.83229814 63.16770186] ; [21.16770186 49.83229814],0
p12,1,0.77552,0.081317,[ 2 96] ; [ 2 72],[ 2.27906977 95.72093023] ; [ 1.72093023 72.27906977],0
a4,1,0.783496,0.075496,[34 66] ; [27 48],[34.85714286 65.14285714] ; [26.14285714 48.85714286],0
v3,1,0.85535,0.033232,[23 71] ; [18 52],[23.5 70.5] ; [17.5 52.5],0
u1,1,0.857293,0.032336,[ 6 94] ; [ 5 70],[ 6.28571429 93.71428571] ; [ 4.71428571 70.28571429],0
d2,1,0.873376,0.025399,[38 62] ; [29 45],[38.50574713 61.49425287] ; [28.49425287 45.50574713],0
a7,1,0.891881,0.018476,[63 37] ; [48 27],[63.42857143 36.57142857] ; [47.57142857 27.42857143],0
r2,1,0.898966,0.016121,[82 17] ; [61 12],[82.30813953 16.69186047] ; [60.69186047 12.30813953],0
a2,1,0.900744,0.015556,[14 86] ; [11 64],[14.28571429 85.71428571] ; [10.71428571 64.28571429],0
p2,1,0.985264,0.000341,[65 35] ; [48 26],[64.94252874 35.05747126] ; [48.05747126 25.94252874],0
v4,1,0.998183,5e-06,[80 19] ; [59 14],[80.00581395 18.99418605] ; [58.99418605 14.00581395],0
