Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.00205,9.503902,[ 6 33] ; [12 11],[11.32258065 27.67741935] ; [ 6.67741935 16.32258065],0
b5,1,0.354998,0.85551,[25 14] ; [12 11],[23.27419355 15.72580645] ; [13.72580645  9.27419355],0
s4,1,0.356355,0.850699,[ 5 34] ; [ 5 18],[ 6.29032258 32.70967742] ; [ 3.70967742 19.29032258],0
a8,1,0.378156,0.776689,[ 7 30] ; [ 2 18],[ 5.84210526 31.15789474] ; [ 3.15789474 16.84210526],0
s7,1,0.382193,0.763636,[ 9 27] ; [ 3 17],[ 7.71428571 28.28571429] ; [ 4.28571429 15.71428571],0
p3,1,0.382684,0.762062,[11 28] ; [ 4 18],[ 9.59016393 29.40983607] ; [ 5.40983607 16.59016393],0
n3,1,0.383666,0.758924,[9 7] ; [8 3],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
n1,1,0.446443,0.579667,[ 5 11] ; [2 9],[ 4.14814815 11.85185185] ; [2.85185185 8.14814815],0
b3,1,0.528009,0.398222,[ 8 18] ; [ 3 11],[ 7.15 18.85] ; [ 3.85 10.15],0
b2,1,0.528009,0.398222,[ 8 18] ; [ 3 11],[ 7.15 18.85] ; [ 3.85 10.15],0
p5,1,0.599664,0.275503,[ 2 36] ; [ 2 21],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
s8,1,0.612092,0.25714,[ 8 31] ; [ 6 17],[ 8.80645161 30.19354839] ; [ 5.19354839 17.80645161],0
p2,1,0.625892,0.237673,[23 16] ; [15  8],[23.90322581 15.09677419] ; [14.09677419  8.90322581],0
b1,1,0.644905,0.212385,[26 13] ; [14  9],[25.16129032 13.83870968] ; [14.83870968  8.16129032],0
u2,1,0.690328,0.15873,[10 11] ; [5 4],[10.5 10.5] ; [4.5 4.5],0
r4,1,0.715168,0.13317,[ 7 32] ; [ 5 18],[ 7.5483871 31.4516129] ; [ 4.4516129 18.5483871],0
p7,1,0.746096,0.104841,[17 22] ; [11 12],[17.61290323 21.38709677] ; [10.38709677 12.61290323],0
b4,1,0.746096,0.104841,[22 17] ; [12 11],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
a5,1,0.792623,0.069119,[19 20] ; [12 11],[19.5 19.5] ; [11.5 11.5],0
p9,1,0.800815,0.063652,[22 16] ; [12 10],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
s1,1,0.840857,0.04032,[ 4 35] ; [ 2 21],[ 3.77419355 35.22580645] ; [ 2.22580645 20.77419355],0
a1,1,0.888535,0.019644,[ 3 36] ; [ 2 21],[ 3.14516129 35.85483871] ; [ 1.85483871 21.14516129],0
p1,1,0.889981,0.019135,[ 2 37] ; [ 1 22],[ 1.88709677 37.11290323] ; [ 1.11290323 21.88709677],0
r1,1,0.907274,0.013567,[13 26] ; [ 8 15],[13.20967742 25.79032258] ; [ 7.79032258 15.20967742],0
n6,1,0.978782,0.000707,[23 15] ; [14  9],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
s3,1,0.984684,0.000369,[12 26] ; [ 7 15],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
