Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.8875,[12  1] ; [ 3 23],[5. 8.] ; [10. 16.],1
p5,1,0.76966,0.085744,[ 2 11] ; [ 3 22],[ 1.71052632 11.28947368] ; [ 3.28947368 21.71052632],0
v1,1,0.801336,0.063312,[4 9] ; [ 7 19],[3.66666667 9.33333333] ; [ 7.33333333 18.66666667],0
d5,1,0.813403,0.055714,[8 5] ; [17  9],[8.33333333 4.66666667] ; [16.66666667  9.33333333],0
p10,1,0.817941,0.052989,[8 5] ; [15 11],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
d1,1,0.819382,0.052139,[6 7] ; [11 15],[5.66666667 7.33333333] ; [11.33333333 14.66666667],0
d3,1,0.819382,0.052139,[7 6] ; [15 11],[7.33333333 5.66666667] ; [14.66666667 11.33333333],0
u2,1,0.836813,0.042424,[1 2] ; [3 8],[0.85714286 2.14285714] ; [3.14285714 7.85714286],0
u3,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
v2,1,0.938278,0.005996,[4 9] ; [ 8 17],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
p7,1,0.954089,0.003315,[5 8] ; [ 9 15],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
a1,1,1.0,0.0,[ 1 12] ; [ 2 24],[ 1. 12.] ; [ 2. 24.],0
r1,1,1.0,0.0,[7 6] ; [14 12],[7. 6.] ; [14. 12.],0
