Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.005467,7.718238,[70 23] ; [52 41],[61. 32.] ; [61. 32.],0
a5,1,0.454318,0.559857,[55 39] ; [60 34],[57.5 36.5] ; [57.5 36.5],0
s3,1,0.553844,0.350476,[40 52] ; [44 48],[42. 50.] ; [42. 50.],0
s6,1,0.606509,0.26529,[45 48] ; [48 44],[46.75135135 46.24864865] ; [46.24864865 45.75135135],0
a7,1,0.609648,0.260688,[57 36] ; [61 33],[58.68449198 34.31550802] ; [59.31550802 34.68449198],0
b3,1,0.62492,0.239012,[21 41] ; [16 38],[19.77586207 42.22413793] ; [17.22413793 36.77586207],0
b2,1,0.62492,0.239012,[21 41] ; [16 38],[19.77586207 42.22413793] ; [17.22413793 36.77586207],0
d5,1,0.664087,0.188597,[65 29] ; [67 26],[66.35294118 27.64705882] ; [65.64705882 27.35294118],0
d4,1,0.702093,0.146304,[71 22] ; [68 24],[69.87567568 23.12432432] ; [69.12432432 22.87567568],0
d2,1,0.712237,0.136053,[46 47] ; [48 44],[47.25405405 45.74594595] ; [46.74594595 45.25405405],0
p5,1,0.732644,0.116698,[ 4 90] ; [ 5 89],[ 4.5 89.5] ; [ 4.5 89.5],0
a3,1,0.735676,0.113964,[57 37] ; [58 34],[58.11827957 35.88172043] ; [56.88172043 35.11827957],0
b5,1,0.762858,0.091041,[60 34] ; [58 36],[59. 35.] ; [59. 35.],0
u2,1,0.782441,0.076253,[16 20] ; [14 20],[15.42857143 20.57142857] ; [14.57142857 19.42857143],0
d3,1,0.812451,0.056295,[55 39] ; [56 37],[55.79679144 38.20320856] ; [55.20320856 37.79679144],0
p4,1,0.834899,0.04344,[36 58] ; [37 56],[36.69518717 57.30481283] ; [36.30481283 56.69518717],0
v1,1,0.880638,0.022548,[37 56] ; [36 57],[36.5 56.5] ; [36.5 56.5],0
d1,1,0.883969,0.021298,[46 48] ; [45 49],[45.5 48.5] ; [45.5 48.5],0
a4,1,0.89639,0.016958,[41 53] ; [41 51],[41.44086022 52.55913978] ; [40.55913978 51.44086022],0
s2,1,0.920426,0.00998,[32 60] ; [33 60],[32.32432432 59.67567568] ; [32.67567568 60.32432432],0
n5,1,0.93333,0.006998,[53 41] ; [53 40],[53.28342246 40.71657754] ; [52.71657754 40.28342246],0
a6,1,0.951749,0.003662,[56 38] ; [55 38],[55.79679144 38.20320856] ; [55.20320856 37.79679144],0
s7,1,0.958612,0.002693,[30 61] ; [29 58],[30.16292135 60.83707865] ; [28.83707865 58.16292135],0
v3,1,0.975554,0.000939,[29 64] ; [27 59],[29.09497207 63.90502793] ; [26.90502793 59.09497207],0
u1,1,1.0,0.0,[14 80] ; [14 80],[14. 80.] ; [14. 80.],0
u4,1,1.0,0.0,[ 3 91] ; [ 3 91],[ 3. 91.] ; [ 3. 91.],0
