Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.953846,[77  8] ; [14 20],[65. 20.] ; [26.  8.],1
b1,1,0.521854,0.410228,[37 48] ; [17 17],[38.57142857 46.42857143] ; [15.42857143 18.57142857],0
p1,1,0.54817,0.360606,[ 7 78] ; [ 4 30],[ 7.85714286 77.14285714] ; [ 3.14285714 30.85714286],0
s3,1,0.566398,0.328746,[39 44] ; [14 20],[37.5982906 45.4017094] ; [15.4017094 18.5982906],0
p8,1,0.572865,0.317912,[19 66] ; [ 9 24],[20.16949153 64.83050847] ; [ 7.83050847 25.16949153],0
n1,1,0.662763,0.190184,[10 13] ; [ 7 12],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
a1,1,0.700178,0.148287,[ 8 77] ; [ 4 30],[ 8.57142857 76.42857143] ; [ 3.42857143 30.57142857],0
d3,1,0.772976,0.083223,[59 26] ; [22 11],[58.34745763 26.65254237] ; [22.65254237 10.34745763],0
d5,1,0.773797,0.082606,[64 21] ; [24  9],[63.38983051 21.61016949] ; [24.61016949  8.38983051],0
a2,1,0.795623,0.067089,[23 62] ; [10 24],[23.57142857 61.42857143] ; [ 9.42857143 24.57142857],0
p7,1,0.834172,0.043829,[26 57] ; [11 22],[26.47413793 56.52586207] ; [10.52586207 22.47413793],0
d2,1,0.837491,0.042068,[42 43] ; [17 16],[42.5 42.5] ; [16.5 16.5],0
u2,1,0.952986,0.003476,[17 13] ; [5 4],[16.92307692 13.07692308] ; [5.07692308 3.92307692],0
