Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,61.338161,[ 9 38] ; [123  29],[31.1758794 15.8241206] ; [100.8241206  51.1758794],1
n6,1,0.153591,2.036224,[40  7] ; [140  12],[42.51256281  4.48743719] ; [137.48743719  14.51256281],0
s5,1,0.159077,1.982977,[25 18] ; [68 80],[20.93717277 22.06282723] ; [72.06282723 75.93717277],0
n2,1,0.186449,1.745455,[9 1] ; [15  7],[7.5 2.5] ; [16.5  5.5],0
r2,1,0.203784,1.615049,[43  3] ; [150   4],[44.39  1.61] ; [148.61   5.39],0
a8,1,0.2127,1.552955,[10 35] ; [ 19 114],[ 7.33146067 37.66853933] ; [ 21.66853933 111.33146067],0
v4,1,0.215326,1.535249,[44  3] ; [150   4],[45.36318408  1.63681592] ; [148.63681592   5.36318408],0
v2,1,0.232743,1.424017,[31 16] ; [113  38],[34.18181818 12.81818182] ; [109.81818182  41.18181818],0
p9,1,0.241113,1.374075,[41  5] ; [145   9],[42.78  3.22] ; [143.22  10.78],0
u2,1,0.242997,1.363121,[6 8] ; [22 14],[7.84 6.16] ; [20.16 15.84],0
a3,1,0.298797,1.079556,[33 14] ; [118  34],[35.66331658 11.33668342] ; [115.33668342  36.66331658],0
p2,1,0.321924,0.981114,[40  7] ; [139  15],[41.85572139  5.14427861] ; [137.14427861  16.85572139],0
p4,1,0.372186,0.796353,[37 10] ; [129  24],[39.01  7.99] ; [126.99  26.01],0
s6,1,0.381144,0.767008,[37  8] ; [114  36],[34.84615385 10.15384615] ; [116.15384615  33.84615385],0
n4,1,0.407442,0.686251,[43  4] ; [134  20],[41.3880597  5.6119403] ; [135.6119403  18.3880597],0
n5,1,0.44762,0.576671,[42  5] ; [130  23],[40.42  6.58] ; [131.58  21.42],0
p11,1,0.499495,0.456009,[41  6] ; [128  26],[39.51741294  7.48258706] ; [129.48258706  24.51741294],0
n3,1,0.50482,0.444789,[5 4] ; [15  7],[5.80645161 3.19354839] ; [14.19354839  7.80645161],0
s8,1,0.513125,0.427689,[31 15] ; [95 58],[29.12562814 16.87437186] ; [96.87437186 56.12562814],0
v3,1,0.525043,0.403975,[26 21] ; [74 74],[24.1025641 22.8974359] ; [75.8974359 72.1025641],0
d4,1,0.535566,0.38382,[39  7] ; [135  18],[40.22110553  5.77889447] ; [133.77889447  19.22110553],0
r3,1,0.5588,0.341786,[45  2] ; [150   4],[45.59701493  1.40298507] ; [149.40298507   4.59701493],0
p8,1,0.575079,0.314258,[35 11] ; [110  43],[33.51758794 12.48241206] ; [111.48241206  41.51758794],0
a1,1,0.634426,0.226107,[ 4 43] ; [ 10 144],[ 3.27363184 43.72636816] ; [ 10.72636816 143.27363184],0
u3,1,0.659027,0.194707,[8 6] ; [23 13],[8.68 5.32] ; [22.32 13.68],0
s4,1,0.721624,0.126942,[ 7 40] ; [ 26 126],[ 7.79396985 39.20603015] ; [ 25.20603015 126.79396985],0
p5,1,0.736515,0.113214,[ 9 38] ; [ 33 121],[ 9.82089552 37.17910448] ; [ 32.17910448 121.82089552],0
s7,1,0.750043,0.101495,[31 15] ; [94 51],[30.10471204 15.89528796] ; [94.89528796 50.10471204],0
a4,1,0.774877,0.081797,[25 21] ; [80 74],[24.15 21.85] ; [80.85 73.15],0
s2,1,0.818802,0.05248,[28 19] ; [94 59],[28.67 18.33] ; [93.33 59.67],0
d2,1,0.83565,0.04304,[26 21] ; [82 71],[25.38 21.62] ; [82.62 70.38],0
p7,1,0.842174,0.039646,[41  6] ; [130  21],[40.59090909  6.40909091] ; [130.40909091  20.59090909],0
b4,1,0.889636,0.019256,[30 17] ; [100  54],[30.39800995 16.60199005] ; [99.60199005 54.39800995],0
s3,1,0.901008,0.015472,[28 19] ; [89 63],[27.63316583 19.36683417] ; [89.36683417 62.63316583],0
d5,1,0.910682,0.012584,[40  6] ; [134  19],[40.22110553  5.77889447] ; [133.77889447  19.22110553],0
u4,1,0.912199,0.012158,[ 2 45] ; [  6 148],[ 1.87064677 45.12935323] ; [  6.12935323 147.87064677],0
