Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.2e-05,17.303651,[10  3] ; [ 4 27],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],1
v2,1,0.439261,0.598212,[5 8] ; [ 8 22],[3.93023256 9.06976744] ; [ 9.06976744 20.93023256],0
n1,1,0.521839,0.410256,[2 1] ; [6 7],[1.5 1.5] ; [6.5 6.5],0
p5,1,0.533043,0.388587,[ 1 12] ; [ 1 29],[ 0.60465116 12.39534884] ; [ 1.39534884 28.60465116],0
n5,1,0.542519,0.370891,[10  3] ; [21 10],[9.15909091 3.84090909] ; [21.84090909  9.15909091],0
a7,1,0.546328,0.363937,[5 8] ; [15 16],[5.90909091 7.09090909] ; [14.09090909 16.90909091],0
u2,1,0.569653,0.323264,[1 3] ; [ 2 13],[0.63157895 3.36842105] ; [ 2.36842105 12.63157895],0
b5,1,0.682286,0.167564,[8 5] ; [17 14],[7.38636364 5.61363636] ; [17.61363636 13.38636364],0
d5,1,0.682286,0.167564,[8 5] ; [17 14],[7.38636364 5.61363636] ; [17.61363636 13.38636364],0
n3,1,0.686591,0.1628,[2 1] ; [7 6],[1.6875 1.3125] ; [7.3125 5.6875],0
n4,1,0.692055,0.156869,[8 5] ; [21 10],[8.56818182 4.43181818] ; [20.43181818 10.56818182],0
b4,1,0.692055,0.156869,[8 5] ; [21 10],[8.56818182 4.43181818] ; [20.43181818 10.56818182],0
r3,1,0.816752,0.053696,[7 6] ; [15 15],[6.65116279 6.34883721] ; [15.34883721 14.65116279],0
r4,1,0.826783,0.047886,[ 2 11] ; [ 4 27],[ 1.77272727 11.22727273] ; [ 4.22727273 26.77272727],0
a2,1,0.826783,0.047886,[ 2 11] ; [ 4 27],[ 1.77272727 11.22727273] ; [ 4.22727273 26.77272727],0
d4,1,0.830676,0.045725,[8 5] ; [18 13],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
d1,1,0.830676,0.045725,[5 8] ; [13 18],[5.31818182 7.68181818] ; [12.68181818 18.31818182],0
v3,1,0.866236,0.028372,[3 9] ; [ 7 24],[2.79069767 9.20930233] ; [ 7.20930233 23.79069767],0
u1,1,0.881579,0.022191,[ 1 12] ; [ 2 29],[ 0.88636364 12.11363636] ; [ 2.11363636 28.88636364],0
p1,1,0.950885,0.003794,[ 2 11] ; [ 5 26],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
p11,1,0.951895,0.003639,[6 7] ; [14 17],[5.90909091 7.09090909] ; [14.09090909 16.90909091],0
a4,1,0.95977,0.002544,[4 9] ; [ 9 21],[3.93023256 9.06976744] ; [ 9.06976744 20.93023256],0
