Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,48.35432,[130  15] ; [164 126],[98. 47.] ; [196.  94.],1
b1,1,0.397178,0.716855,[50 97] ; [111 180],[54.03424658 92.96575342] ; [106.96575342 184.03424658],0
n2,1,0.440666,0.594548,[26  6] ; [55 19],[24.45283019  7.54716981] ; [56.54716981 17.45283019],0
a1,1,0.454088,0.560428,[  6 141] ; [  8 283],[  4.69863014 142.30136986] ; [  9.30136986 281.69863014],0
n4,1,0.50803,0.438123,[108  37] ; [208  83],[105.09174312  39.90825688] ; [210.90825688  80.09174312],0
u4,1,0.51835,0.417175,[  1 146] ; [  4 287],[  1.67808219 145.32191781] ; [  3.32191781 287.67808219],0
s1,1,0.538594,0.378153,[  5 140] ; [  7 282],[  4.00921659 140.99078341] ; [  7.99078341 281.00921659],0
r3,1,0.560111,0.339512,[138   7] ; [272  18],[136.66666667   8.33333333] ; [273.33333333  16.66666667],0
p11,1,0.579898,0.3064,[117  30] ; [238  53],[119.14383562  27.85616438] ; [235.85616438  55.14383562],0
n5,1,0.656401,0.197925,[108  37] ; [208  79],[106.06481481  38.93518519] ; [209.93518519  77.06481481],0
u2,1,0.690461,0.158586,[17 18] ; [53 48],[18.01470588 16.98529412] ; [51.98529412 49.01470588],0
p8,1,0.734864,0.114692,[75 70] ; [144 144],[73.33718245 71.66281755] ; [145.66281755 142.33718245],0
v2,1,0.794992,0.067514,[60 84] ; [113 167],[58.75471698 85.24528302] ; [114.24528302 165.75471698],0
n3,1,0.988841,0.000196,[23  8] ; [55 19],[23.02857143  7.97142857] ; [54.97142857 19.02857143],0
