Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.637973,[ 13 139] ; [25 53],[ 25.11304348 126.88695652] ; [12.88695652 65.11304348],1
a6,1,0.561305,0.337449,[97 56] ; [47 32],[94.96551724 58.03448276] ; [49.03448276 29.96551724],0
n4,1,0.592255,0.286836,[106  47] ; [52 27],[104.19827586  48.80172414] ; [53.80172414 25.19827586],0
b3,1,0.651703,0.203759,[36 55] ; [23 30],[37.28472222 53.71527778] ; [21.71527778 31.28472222],0
b2,1,0.651703,0.203759,[36 55] ; [23 30],[37.28472222 53.71527778] ; [21.71527778 31.28472222],0
b5,1,0.653999,0.200896,[91 62] ; [50 30],[92.58798283 60.41201717] ; [48.41201717 31.58798283],0
a5,1,0.658198,0.19572,[93 60] ; [51 29],[94.55793991 58.44206009] ; [49.44206009 30.55793991],0
r2,1,0.690829,0.15819,[129  22] ; [69 10],[129.99130435  21.00869565] ; [68.00869565 10.99130435],0
b1,1,0.726829,0.122044,[69 84] ; [38 42],[70.26180258 82.73819742] ; [36.73819742 43.26180258],0
d3,1,0.738244,0.111676,[87 66] ; [42 35],[85.81304348 67.18695652] ; [43.18695652 33.81304348],0
p5,1,0.767199,0.08764,[  7 144] ; [ 3 76],[  6.56521739 144.43478261] ; [ 3.43478261 75.56521739],0
d1,1,0.782001,0.07657,[66 87] ; [33 47],[65.00858369 87.99141631] ; [33.99141631 46.00858369],0
n1,1,0.800614,0.063783,[23 39] ; [10 15],[23.51724138 38.48275862] ; [ 9.48275862 15.51724138],0
d2,1,0.846629,0.037412,[67 84] ; [34 45],[66.30869565 84.69130435] ; [34.69130435 44.30869565],0
d5,1,0.847233,0.037114,[106  47] ; [55 23],[106.63636364  46.36363636] ; [54.36363636 23.63636364],0
u3,1,0.848072,0.036702,[30 25] ; [12 11],[29.61538462 25.38461538] ; [12.38461538 10.61538462],0
p12,1,0.855014,0.033388,[  5 147] ; [ 3 77],[  5.24137931 146.75862069] ; [ 2.75862069 77.24137931],0
v3,1,0.904377,0.014432,[ 27 120] ; [14 65],[ 26.66814159 120.33185841] ; [14.33185841 64.66814159],0
a7,1,0.930433,0.007621,[90 63] ; [46 33],[89.68965517 63.31034483] ; [46.31034483 32.68965517],0
d4,1,0.954816,0.00321,[109  44] ; [56 23],[108.81465517  44.18534483] ; [56.18534483 22.81465517],0
a4,1,0.955546,0.003107,[66 86] ; [34 45],[65.8008658 86.1991342] ; [34.1991342 44.8008658],0
u4,1,0.970671,0.001352,[  2 151] ; [ 1 79],[  1.96995708 151.03004292] ; [ 1.03004292 78.96995708],0
