Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000426,12.416602,[ 1 21] ; [12 11],[ 6.35555556 15.64444444] ; [ 6.64444444 16.35555556],1
n5,1,0.372449,0.795478,[17  5] ; [15  8],[15.64444444  6.35555556] ; [16.35555556  6.64444444],0
p8,1,0.383596,0.759144,[ 4 17] ; [ 7 16],[ 5.25 15.75] ; [ 5.75 17.25],0
v3,1,0.395693,0.721377,[ 5 17] ; [ 3 20],[ 3.91111111 18.08888889] ; [ 4.08888889 18.91111111],0
u2,1,0.428539,0.626781,[5 8] ; [5 4],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
r2,1,0.454107,0.560381,[15  7] ; [12  9],[13.81395349  8.18604651] ; [13.18604651  7.81395349],0
p2,1,0.463245,0.538043,[11 11] ; [ 9 14],[ 9.77777778 12.22222222] ; [10.22222222 12.77777778],0
p9,1,0.515502,0.422883,[ 8 12] ; [11 11],[ 9.04761905 10.95238095] ; [ 9.95238095 12.04761905],0
p6,1,0.522001,0.409938,[ 3 18] ; [ 5 18],[ 3.81818182 17.18181818] ; [ 4.18181818 18.81818182],0
v2,1,0.522001,0.409938,[ 3 18] ; [ 5 18],[ 3.81818182 17.18181818] ; [ 4.18181818 18.81818182],0
s3,1,0.558378,0.342521,[ 5 16] ; [ 7 15],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
n4,1,0.608483,0.26239,[15  7] ; [14  9],[14.17777778  7.82222222] ; [14.82222222  8.17777778],0
p11,1,0.608483,0.26239,[ 7 15] ; [ 9 14],[ 7.82222222 14.17777778] ; [ 8.17777778 14.82222222],0
a1,1,0.634499,0.22601,[ 4 18] ; [ 3 20],[ 3.42222222 18.57777778] ; [ 3.57777778 19.42222222],0
v4,1,0.661126,0.192158,[11 11] ; [13 10],[11.73333333 10.26666667] ; [12.26666667 10.73333333],0
p10,1,0.689691,0.15942,[ 7 14] ; [ 9 14],[ 7.63636364 13.36363636] ; [ 8.36363636 14.63636364],0
b3,1,0.87046,0.026593,[7 7] ; [8 9],[6.77419355 7.22580645] ; [8.22580645 8.77419355],0
b2,1,0.87046,0.026593,[7 7] ; [8 9],[6.77419355 7.22580645] ; [8.22580645 8.77419355],0
b4,1,0.884055,0.021267,[11 11] ; [11 12],[10.75555556 11.24444444] ; [11.24444444 11.75555556],0
p5,1,0.947487,0.004338,[ 1 20] ; [ 1 22],[ 0.95454545 20.04545455] ; [ 1.04545455 21.95454545],0
s1,1,0.962853,0.002169,[ 2 20] ; [ 2 21],[ 1.95555556 20.04444444] ; [ 2.04444444 20.95555556],0
d2,1,1.0,0.0,[10 12] ; [10 12],[10. 12.] ; [10. 12.],0
p7,1,1.0,0.0,[ 8 14] ; [ 8 14],[ 8. 14.] ; [ 8. 14.],0
