Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.882353,[14 36] ; [67 18],[30. 20.] ; [51. 34.],1
d4,1,0.347011,0.884358,[39 11] ; [60 25],[36.66666667 13.33333333] ; [62.33333333 22.66666667],0
v4,1,0.356744,0.849324,[40 10] ; [62 23],[37.77777778 12.22222222] ; [64.22222222 20.77777778],0
r1,1,0.359747,0.838775,[29 21] ; [56 29],[31.48148148 18.51851852] ; [53.51851852 31.48148148],0
v1,1,0.361823,0.831556,[18 32] ; [23 58],[15.64885496 34.35114504] ; [25.35114504 55.64885496],0
p6,1,0.372611,0.794938,[ 3 46] ; [ 9 75],[ 4.42105263 44.57894737] ; [ 7.57894737 76.42105263],0
p1,1,0.377681,0.778235,[ 4 46] ; [11 74],[ 5.55555556 44.44444444] ; [ 9.44444444 75.55555556],0
a4,1,0.407471,0.686168,[21 29] ; [41 42],[23.30827068 26.69172932] ; [38.69172932 44.30827068],0
a7,1,0.413775,0.667928,[27 23] ; [52 33],[29.25925926 20.74074074] ; [49.74074074 35.25925926],0
u4,1,0.421442,0.64629,[ 1 49] ; [ 4 81],[ 1.85185185 48.14814815] ; [ 3.14814815 81.85185185],0
r2,1,0.458181,0.550336,[41  9] ; [72 11],[42.48120301  7.51879699] ; [70.51879699 12.48120301],0
d2,1,0.487033,0.483074,[24 26] ; [45 38],[25.93984962 24.06015038] ; [43.06015038 39.93984962],0
s5,1,0.490656,0.475088,[12 35] ; [16 63],[10.44444444 36.55555556] ; [17.55555556 61.44444444],0
a2,1,0.530151,0.394103,[10 40] ; [21 64],[11.48148148 38.51851852] ; [19.51851852 65.48148148],0
b4,1,0.619139,0.247079,[31 19] ; [49 36],[29.62962963 20.37037037] ; [50.37037037 34.62962963],0
b2,1,0.626668,0.236606,[10 15] ; [27 32],[11.01190476 13.98809524] ; [25.98809524 33.01190476],0
b3,1,0.626668,0.236606,[10 15] ; [27 32],[11.01190476 13.98809524] ; [25.98809524 33.01190476],0
s2,1,0.655565,0.198956,[15 35] ; [28 55],[16.16541353 33.83458647] ; [26.83458647 56.16541353],0
d3,1,0.67994,0.170193,[27 23] ; [49 36],[28.14814815 21.85185185] ; [47.85185185 37.14814815],0
p10,1,0.739546,0.110526,[24 24] ; [39 44],[23.08396947 24.91603053] ; [39.91603053 43.08396947],0
s6,1,0.76155,0.092079,[22 27] ; [40 44],[22.84210526 26.15789474] ; [39.15789474 44.84210526],0
r4,1,0.801002,0.063529,[34 16] ; [56 29],[33.33333333 16.66666667] ; [56.66666667 28.33333333],0
p4,1,0.810146,0.057714,[11 39] ; [20 64],[11.56716418 38.43283582] ; [19.43283582 64.56716418],0
p9,1,0.871698,0.026083,[24 22] ; [44 38],[24.4375 21.5625] ; [43.5625 38.4375],0
d1,1,0.874092,0.02511,[24 26] ; [42 43],[24.44444444 25.55555556] ; [41.55555556 43.44444444],0
s3,1,0.981731,0.000524,[18 32] ; [29 52],[17.9389313 32.0610687] ; [29.0610687 51.9389313],0
u2,1,1.0,0.0,[10 10] ; [14 14],[10. 10.] ; [14. 14.],0
