Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000159,14.2684,[ 6 87] ; [140 450],[19.87994143 73.12005857] ; [126.12005857 463.87994143],1
p8,1,0.073708,3.198443,[41 50] ; [318 259],[48.90568862 42.09431138] ; [310.09431138 266.90568862],0
a4,1,0.077549,3.115537,[39 54] ; [305 284],[46.90909091 46.09090909] ; [297.09090909 291.90909091],0
a3,1,0.084807,2.970286,[64 29] ; [453 135],[70.60352423 22.39647577] ; [446.39647577 141.60352423],0
p2,1,0.086612,2.936242,[74 19] ; [505  80],[79.42035398 13.57964602] ; [499.57964602  85.42035398],0
n5,1,0.105782,2.616138,[64 29] ; [448 137],[70.2300885 22.7699115] ; [441.7699115 143.2300885],0
v1,1,0.116557,2.462984,[44 47] ; [328 246],[50.90526316 40.09473684] ; [321.09473684 252.90526316],0
s2,1,0.126698,2.332502,[42 51] ; [314 271],[48.83185841 44.16814159] ; [307.16814159 277.83185841],0
p7,1,0.132411,2.264012,[54 38] ; [381 190],[60.36199095 31.63800905] ; [374.63800905 196.36199095],0
a7,1,0.133423,2.252219,[64 29] ; [448 141],[69.81818182 23.18181818] ; [442.18181818 146.81818182],0
s3,1,0.144326,2.131219,[45 47] ; [332 250],[51.45994065 40.54005935] ; [325.54005935 256.45994065],0
p1,1,0.23102,1.434572,[10 83] ; [ 42 542],[ 7.14327917 85.85672083] ; [ 44.85672083 539.14327917],0
b5,1,0.232382,1.426222,[62 31] ; [355 235],[56.78038067 36.21961933] ; [360.21961933 229.78038067],0
n2,1,0.255365,1.29371,[24  5] ; [87 33],[21.60402685  7.39597315] ; [89.39597315 30.60402685],0
u2,1,0.277942,1.177126,[14 15] ; [80 55],[16.62195122 12.37804878] ; [77.37804878 57.62195122],0
n1,1,0.306396,1.046147,[13 14] ; [45 75],[10.65306122 16.34693878] ; [47.34693878 72.65306122],0
a1,1,0.340344,0.909136,[ 6 87] ; [ 25 565],[ 4.22108346 88.77891654] ; [ 26.77891654 563.22108346],0
s4,1,0.360185,0.837246,[19 74] ; [ 96 483],[15.91517857 77.08482143] ; [ 99.08482143 479.91517857],0
p12,1,0.362606,0.828848,[ 5 88] ; [ 47 534],[ 7.17507418 85.82492582] ; [ 44.82492582 536.17507418],0
a8,1,0.377421,0.779085,[10 78] ; [ 79 450],[12.69367909 75.30632091] ; [ 76.30632091 452.69367909],0
n6,1,0.4381,0.601253,[82 11] ; [498  87],[79.55752212 13.44247788] ; [500.44247788  84.55752212],0
r3,1,0.452577,0.564191,[91  2] ; [580   7],[91.76911765  1.23088235] ; [579.23088235   7.76911765],0
b2,1,0.489781,0.477007,[24 33] ; [134 225],[21.64903846 35.35096154] ; [136.35096154 222.64903846],0
b3,1,0.489781,0.477007,[24 33] ; [134 225],[21.64903846 35.35096154] ; [136.35096154 222.64903846],0
b1,1,0.614388,0.253834,[32 61] ; [219 371],[34.17715959 58.82284041] ; [216.82284041 373.17715959],0
p10,1,0.640402,0.218217,[78 14] ; [482 100],[76.43916914 15.56083086] ; [483.56083086  98.43916914],0
p11,1,0.68658,0.162813,[75 18] ; [465 125],[73.52855051 19.47144949] ; [466.47144949 123.52855051],0
v3,1,0.694339,0.154428,[35 54] ; [233 328],[36.69538462 52.30461538] ; [231.30461538 329.69538462],0
s5,1,0.723371,0.125286,[29 56] ; [205 363],[30.45941807 54.54058193] ; [203.54058193 364.45941807],0
p5,1,0.731582,0.117664,[ 9 83] ; [ 64 519],[ 9.94962963 82.05037037] ; [ 63.05037037 519.94962963],0
p9,1,0.738119,0.111787,[79 12] ; [495  84],[77.96119403 13.03880597] ; [496.03880597  82.96119403],0
p6,1,0.782003,0.076569,[35 55] ; [216 362],[33.81736527 56.18263473] ; [217.18263473 360.81736527],0
u4,1,0.821642,0.050821,[ 2 91] ; [ 15 575],[ 2.3147877 90.6852123] ; [ 14.6852123 575.3147877],0
s1,1,0.860487,0.03089,[ 3 89] ; [ 17 564],[ 2.73402675 89.26597325] ; [ 17.26597325 563.73402675],0
p3,1,0.901936,0.015182,[48 45] ; [307 280],[48.55147059 44.44852941] ; [306.44852941 280.55147059],0
n3,1,0.926919,0.008413,[22  7] ; [92 28],[22.18791946  6.81208054] ; [91.81208054 28.18791946],0
