Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.012047,6.303959,[16 15] ; [37 10],[21.06410256  9.93589744] ; [31.93589744 15.06410256],0
u3,1,0.682046,0.167832,[7 5] ; [6 6],[6.5 5.5] ; [6.5 5.5],0
a8,1,0.695897,0.152776,[ 5 24] ; [ 8 30],[ 5.62686567 23.37313433] ; [ 7.37313433 30.62686567],0
a2,1,0.702215,0.146177,[ 8 23] ; [14 33],[ 8.74358974 22.25641026] ; [13.25641026 33.74358974],0
p4,1,0.735577,0.114052,[12 19] ; [20 27],[12.71794872 18.28205128] ; [19.28205128 27.71794872],0
s3,1,0.776273,0.080758,[14 16] ; [23 23],[14.60526316 15.39473684] ; [22.39473684 23.60526316],0
a1,1,0.817023,0.053535,[ 1 30] ; [ 2 45],[ 1.19230769 29.80769231] ; [ 1.80769231 45.19230769],0
s5,1,0.875766,0.024442,[ 6 23] ; [10 35],[ 6.27027027 22.72972973] ; [ 9.72972973 35.27027027],0
n2,1,0.875956,0.024366,[7 2] ; [12  4],[6.84 2.16] ; [12.16  3.84],0
r4,1,0.891414,0.018636,[24  7] ; [37 10],[24.24358974  6.75641026] ; [36.75641026 10.24358974],0
p7,1,0.893276,0.017999,[13 18] ; [20 26],[13.28571429 17.71428571] ; [19.71428571 26.28571429],0
p3,1,0.895188,0.017356,[11 20] ; [17 29],[11.27272727 19.72727273] ; [16.72727273 29.27272727],0
b2,1,0.901164,0.015423,[ 7 13] ; [11 22],[ 6.79245283 13.20754717] ; [11.20754717 21.79245283],0
b3,1,0.901164,0.015423,[ 7 13] ; [11 22],[ 6.79245283 13.20754717] ; [11.20754717 21.79245283],0
a4,1,0.990294,0.000148,[14 16] ; [22 25],[14.02597403 15.97402597] ; [21.97402597 25.02597403],0
