Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8e-06,19.970284,[33 38] ; [184  63],[48.44968553 22.55031447] ; [168.55031447  78.44968553],1
r1,1,0.27325,1.20036,[51 19] ; [196  52],[54.37106918 15.62893082] ; [192.62893082  55.37106918],0
p7,1,0.275171,1.190786,[34 34] ; [139 103],[37.9483871 30.0516129] ; [135.0516129 106.9483871],0
d5,1,0.287533,1.131137,[53 17] ; [202  46],[56.13207547 13.86792453] ; [198.86792453  49.13207547],0
b1,1,0.297512,1.085313,[30 41] ; [ 88 160],[26.26332288 44.73667712] ; [ 91.73667712 156.26332288],0
u3,1,0.30003,1.074063,[16  9] ; [38 35],[13.7755102 11.2244898] ; [40.2244898 32.7755102],0
d4,1,0.300528,1.071851,[55 15] ; [208  40],[57.89308176 12.10691824] ; [205.10691824  42.89308176],0
a3,1,0.383846,0.758347,[45 25] ; [173  75],[47.98742138 22.01257862] ; [170.01257862  77.98742138],0
a5,1,0.41272,0.670952,[45 26] ; [170  78],[47.85266458 23.14733542] ; [167.14733542  80.85266458],0
u2,1,0.427469,0.629691,[15 11] ; [36 38],[13.26 12.74] ; [37.74 36.26],0
s3,1,0.458127,0.550467,[35 36] ; [133 112],[37.74683544 33.25316456] ; [130.25316456 114.74683544],0
s4,1,0.470778,0.520149,[11 60] ; [ 47 197],[13.07301587 57.92698413] ; [ 44.92698413 199.07301587],0
n1,1,0.512501,0.428957,[ 8 18] ; [24 39],[ 9.34831461 16.65168539] ; [22.65168539 40.34831461],0
d3,1,0.522832,0.408303,[50 19] ; [189  59],[52.02208202 16.97791798] ; [186.97791798  61.02208202],0
a4,1,0.533154,0.388376,[26 45] ; [101 147],[28.26645768 42.73354232] ; [ 98.73354232 149.26645768],0
a6,1,0.537898,0.379449,[55 15] ; [186  62],[53.05031447 16.94968553] ; [187.94968553  60.05031447],0
a8,1,0.550626,0.356197,[ 7 62] ; [ 29 197],[ 8.42033898 60.57966102] ; [ 27.57966102 198.42033898],0
b4,1,0.614039,0.254335,[40 31] ; [148 100],[41.84326019 29.15673981] ; [146.15673981 101.84326019],0
a1,1,0.78667,0.073244,[ 4 67] ; [ 12 236],[ 3.56112853 67.43887147] ; [ 12.43887147 235.56112853],0
p1,1,0.810761,0.057334,[ 4 66] ; [ 16 230],[ 4.43037975 65.56962025] ; [ 15.56962025 230.43037975],0
b5,1,0.990359,0.000146,[43 28] ; [150  98],[42.95611285 28.04388715] ; [150.04388715  97.95611285],0
