Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.390292,[113  49] ; [25 46],[95.94849785 66.05150215] ; [42.05150215 28.94849785],1
p2,1,0.222847,1.485941,[131  30] ; [52 18],[127.54545455  33.45454545] ; [55.45454545 14.54545455],0
v4,1,0.236971,1.398523,[152   9] ; [64  7],[149.89655172  11.10344828] ; [66.10344828  4.89655172],0
p1,1,0.291169,1.114207,[ 13 149] ; [ 3 68],[ 11.12446352 150.87553648] ; [ 4.87553648 66.12446352],0
n2,1,0.3017,1.066667,[24  6] ; [12  6],[22.5  7.5] ; [13.5  4.5],0
n5,1,0.317348,0.999844,[109  52] ; [42 27],[105.7  55.3] ; [45.3 23.7],0
s1,1,0.386004,0.751494,[  2 157] ; [ 2 67],[  2.78947368 156.21052632] ; [ 1.21052632 67.78947368],0
b5,1,0.393117,0.729278,[93 69] ; [45 26],[95.94849785 66.05150215] ; [42.05150215 28.94849785],0
s4,1,0.416182,0.661071,[ 19 142] ; [11 59],[ 20.90909091 140.09090909] ; [ 9.09090909 60.90909091],0
b1,1,0.512214,0.429542,[ 55 107] ; [21 50],[ 52.84120172 109.15879828] ; [23.15879828 47.84120172],0
v1,1,0.526027,0.402061,[97 62] ; [39 30],[94.84210526 64.15789474] ; [41.15789474 27.84210526],0
n3,1,0.532375,0.389857,[22  9] ; [15  4],[22.94  8.06] ; [14.06  4.94],0
p5,1,0.640396,0.218225,[ 12 150] ; [ 4 66],[ 11.17241379 150.82758621] ; [ 4.82758621 65.17241379],0
a8,1,0.658281,0.195618,[ 13 134] ; [ 7 58],[ 13.86792453 133.13207547] ; [ 6.13207547 58.86792453],0
n6,1,0.675662,0.17505,[130  32] ; [57 12],[131.14285714  30.85714286] ; [55.85714286 13.14285714],0
n1,1,0.765992,0.088578,[ 8 21] ; [ 6 13],[ 8.45833333 20.54166667] ; [ 5.54166667 13.45833333],0
p11,1,0.797279,0.065982,[130  32] ; [58 13],[130.71244635  31.28755365] ; [57.28755365 13.71244635],0
p6,1,0.805232,0.060803,[ 43 114] ; [20 49],[ 43.76548673 113.23451327] ; [19.23451327 49.76548673],0
s2,1,0.824391,0.04924,[ 46 115] ; [19 51],[ 45.3030303 115.6969697] ; [19.6969697 50.3030303],0
u3,1,0.845045,0.038199,[24 22] ; [18 18],[23.56097561 22.43902439] ; [18.43902439 17.56097561],0
s3,1,0.883413,0.021505,[ 56 103] ; [25 44],[ 56.48684211 102.51315789] ; [24.51315789 44.48684211],0
u2,1,0.909828,0.012827,[20 25] ; [16 19],[20.25 24.75] ; [15.75 19.25],0
u4,1,0.913705,0.011743,[  2 160] ; [ 1 70],[  2.08583691 159.91416309] ; [ 0.91416309 70.08583691],0
v3,1,0.92352,0.009216,[74 83] ; [33 36],[74.33185841 82.66814159] ; [32.66814159 36.33185841],0
s6,1,0.965744,0.001844,[81 80] ; [34 34],[80.85152838 80.14847162] ; [34.14847162 33.85152838],0
a1,1,0.973552,0.001099,[  7 155] ; [ 3 68],[  6.9527897 155.0472103] ; [ 3.0472103 67.9527897],0
p7,1,0.991704,0.000108,[96 65] ; [40 27],[96.03508772 64.96491228] ; [39.96491228 27.03508772],0
b4,1,0.992024,0.0001,[98 64] ; [43 28],[98.03433476 63.96566524] ; [42.96566524 28.03433476],0
