Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.7e-05,17.032065,[58 12] ; [12 17],[49.49494949 20.50505051] ; [20.50505051  8.49494949],1
v4,1,0.573692,0.316544,[64  5] ; [25  3],[63.30927835  5.69072165] ; [25.69072165  2.30927835],0
s7,1,0.578093,0.309328,[29 38] ; [10 17],[27.79787234 39.20212766] ; [11.20212766 15.79787234],0
r3,1,0.594721,0.283031,[65  5] ; [26  3],[64.34343434  5.65656566] ; [26.65656566  2.34343434],0
p1,1,0.601515,0.272717,[ 7 62] ; [ 4 25],[ 7.74489796 61.25510204] ; [ 3.25510204 25.74489796],0
d2,1,0.607444,0.263914,[28 42] ; [10 19],[26.86868687 43.13131313] ; [11.13131313 17.86868687],0
b5,1,0.628492,0.234111,[47 23] ; [18 11],[45.95959596 24.04040404] ; [19.04040404  9.95959596],0
a3,1,0.628492,0.234111,[47 23] ; [18 11],[45.95959596 24.04040404] ; [19.04040404  9.95959596],0
n4,1,0.65065,0.205082,[30 40] ; [11 18],[28.98989899 41.01010101] ; [12.01010101 16.98989899],0
n3,1,0.65714,0.197017,[11  6] ; [8 3],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
a8,1,0.695684,0.153001,[ 6 56] ; [ 2 26],[ 5.51111111 56.48888889] ; [ 2.48888889 25.51111111],0
u3,1,0.729562,0.119514,[16  7] ; [7 4],[15.55882353  7.44117647] ; [7.44117647 3.55882353],0
p7,1,0.738179,0.111733,[33 35] ; [13 16],[32.24742268 35.75257732] ; [13.75257732 15.24742268],0
s1,1,0.780797,0.07744,[ 6 64] ; [ 2 27],[ 5.65656566 64.34343434] ; [ 2.34343434 26.65656566],0
s5,1,0.796636,0.066411,[21 45] ; [ 9 17],[21.52173913 44.47826087] ; [ 8.47826087 17.52173913],0
s6,1,0.80986,0.057891,[41 27] ; [17 10],[41.51578947 26.48421053] ; [16.48421053 10.51578947],0
b2,1,0.912077,0.012192,[15 20] ; [ 8 10],[15.18867925 19.81132075] ; [ 7.81132075 10.18867925],0
b3,1,0.912077,0.012192,[15 20] ; [ 8 10],[15.18867925 19.81132075] ; [ 7.81132075 10.18867925],0
p3,1,0.985177,0.000345,[28 40] ; [12 17],[28.04123711 39.95876289] ; [11.95876289 17.04123711],0
