Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.065342,3.39632,[23 19] ; [15 28],[18.77647059 23.22352941] ; [19.22352941 23.77647059],0
s6,1,0.534769,0.385321,[49 54] ; [49 64],[46.73148148 56.26851852] ; [51.26851852 61.73148148],0
a3,1,0.545362,0.365692,[62 42] ; [70 40],[64.14953271 39.85046729] ; [67.85046729 42.14953271],0
b5,1,0.54719,0.362376,[64 40] ; [65 48],[61.82488479 42.17511521] ; [67.17511521 45.82488479],0
p8,1,0.560619,0.338633,[36 66] ; [35 76],[34. 68.] ; [37. 74.],0
a8,1,0.57152,0.320145,[14 79] ; [12 86],[12.65968586 80.34031414] ; [13.34031414 84.65968586],0
p12,1,0.5839,0.299972,[  3 100] ; [  2 110],[  2.39534884 100.60465116] ; [  2.60465116 109.39534884],0
u2,1,0.58984,0.290594,[19 22] ; [17 25],[17.78313253 23.21686747] ; [18.21686747 23.78313253],0
s3,1,0.594173,0.283874,[44 58] ; [51 58],[45.92417062 56.07582938] ; [49.07582938 59.92417062],0
p3,1,0.630785,0.230998,[29 75] ; [28 84],[27.44444444 76.55555556] ; [29.55555556 82.44444444],0
r1,1,0.648242,0.208124,[76 28] ; [78 33],[74.49302326 29.50697674] ; [79.50697674 31.49302326],0
v1,1,0.668618,0.183223,[40 62] ; [40 70],[38.49056604 63.50943396] ; [41.50943396 68.49056604],0
p4,1,0.670032,0.181565,[41 63] ; [41 71],[39.48148148 64.51851852] ; [42.51851852 69.48148148],0
v2,1,0.672502,0.178689,[47 54] ; [48 62],[45.47393365 55.52606635] ; [49.52606635 60.47393365],0
a5,1,0.69486,0.153875,[58 46] ; [66 47],[59.42857143 44.57142857] ; [64.57142857 48.42857143],0
d2,1,0.730728,0.118444,[50 53] ; [57 55],[51.26046512 51.73953488] ; [55.73953488 56.26046512],0
s4,1,0.740544,0.109649,[13 90] ; [16 97],[13.8287037 89.1712963] ; [15.1712963 97.8287037],0
b3,1,0.750586,0.10104,[21 48] ; [25 51],[21.88965517 47.11034483] ; [24.11034483 51.88965517],0
b2,1,0.750586,0.10104,[21 48] ; [25 51],[21.88965517 47.11034483] ; [24.11034483 51.88965517],0
p9,1,0.777914,0.079545,[41 59] ; [43 67],[40. 60.] ; [44. 66.],0
s2,1,0.778935,0.078796,[34 68] ; [35 76],[33.04225352 68.95774648] ; [35.95774648 75.04225352],0
d1,1,0.800648,0.063761,[47 57] ; [53 60],[47.92626728 56.07373272] ; [52.07373272 60.92626728],0
d4,1,0.808953,0.058456,[76 27] ; [81 31],[75.21395349 27.78604651] ; [81.78604651 30.21395349],0
r2,1,0.864217,0.029244,[91 12] ; [98 12],[91.3943662 11.6056338] ; [97.6056338 12.3943662],0
a1,1,0.866252,0.028366,[ 5 99] ; [  6 107],[ 5.2718894 98.7281106] ; [  5.7281106 107.2718894],0
n5,1,0.870413,0.026613,[56 48] ; [61 50],[56.59534884 47.40465116] ; [60.40465116 50.59534884],0
d5,1,0.895555,0.017234,[70 34] ; [77 36],[70.4516129 33.5483871] ; [76.5483871 36.4516129],0
p5,1,0.904772,0.014313,[  4 100] ; [  4 109],[  3.83410138 100.16589862] ; [  4.16589862 108.83410138],0
n1,1,0.937714,0.006106,[10 24] ; [13 30],[10.15584416 23.84415584] ; [12.84415584 30.15584416],0
v3,1,0.951294,0.003731,[29 74] ; [30 78],[28.80094787 74.19905213] ; [30.19905213 77.80094787],0
a4,1,0.975389,0.000952,[42 62] ; [45 67],[41.88888889 62.11111111] ; [45.11111111 66.88888889],0
s7,1,0.977477,0.000797,[32 68] ; [35 75],[31.9047619 68.0952381] ; [35.0952381 74.9047619],0
