Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,37.424599,[96 14] ; [12 22],[82.5 27.5] ; [25.5  8.5],1
s4,1,0.407512,0.686048,[  8 102] ; [ 4 30],[  9.16666667 100.83333333] ; [ 2.83333333 31.16666667],0
n5,1,0.485651,0.486147,[80 30] ; [26  7],[81.53846154 28.46153846] ; [24.46153846  8.53846154],0
a7,1,0.489936,0.476667,[77 33] ; [21 12],[75.38461538 34.61538462] ; [22.61538462 10.38461538],0
p6,1,0.535433,0.38407,[35 71] ; [ 9 24],[33.55395683 72.44604317] ; [10.44604317 22.55395683],0
a1,1,0.551434,0.354755,[  6 104] ; [ 1 33],[  5.34722222 104.65277778] ; [ 1.65277778 32.34722222],0
b2,1,0.565642,0.330029,[35 35] ; [ 9 12],[33.84615385 36.15384615] ; [10.15384615 10.84615385],0
b3,1,0.565642,0.330029,[35 35] ; [ 9 12],[33.84615385 36.15384615] ; [10.15384615 10.84615385],0
p4,1,0.737574,0.112271,[60 48] ; [20 14],[60.84507042 47.15492958] ; [19.15492958 14.84507042],0
b1,1,0.740135,0.110008,[45 65] ; [15 19],[45.83333333 64.16666667] ; [14.16666667 19.83333333],0
p12,1,0.777305,0.079994,[  5 102] ; [ 2 32],[  5.31205674 101.68794326] ; [ 1.68794326 32.31205674],0
r2,1,0.880043,0.022775,[100   9] ; [30  3],[99.78873239  9.21126761] ; [30.21126761  2.78873239],0
s3,1,0.881609,0.02218,[30 78] ; [ 9 25],[29.66197183 78.33802817] ; [ 9.33802817 24.66197183],0
p5,1,0.926939,0.008408,[10 97] ; [ 3 31],[ 9.86524823 97.13475177] ; [ 3.13475177 30.86524823],0
n4,1,0.942819,0.005145,[84 26] ; [25  8],[83.84615385 26.15384615] ; [25.15384615  7.84615385],0
u3,1,0.973253,0.001124,[15 11] ; [8 6],[14.95 11.05] ; [8.05 5.95],0
