Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,87.475247,[121   9] ; [44 75],[86.14457831 43.85542169] ; [78.85542169 40.14457831],1
u3,1,0.269412,1.219739,[14 10] ; [27 33],[11.71428571 12.28571429] ; [29.28571429 30.71428571],0
a7,1,0.313441,1.01612,[95 36] ; [80 40],[91.33466135 39.66533865] ; [83.66533865 36.33466135],0
v4,1,0.345139,0.891248,[123   6] ; [111   9],[121.22891566   7.77108434] ; [112.77108434   7.22891566],0
s2,1,0.410308,0.677908,[68 62] ; [57 64],[64.74103586 65.25896414] ; [60.25896414 60.74103586],0
n5,1,0.415961,0.661698,[82 49] ; [81 39],[85.07171315 45.92828685] ; [77.92828685 42.07171315],0
a1,1,0.428951,0.625661,[  7 124] ; [  4 117],[  5.71825397 125.28174603] ; [  5.28174603 115.71825397],0
a8,1,0.54336,0.369348,[ 19 101] ; [ 15 100],[ 17.36170213 102.63829787] ; [16.63829787 98.36170213],0
s4,1,0.548291,0.360388,[ 28 102] ; [22 97],[ 26.10441767 103.89558233] ; [23.89558233 95.10441767],0
p2,1,0.552422,0.352995,[114  16] ; [103  18],[112.39043825  17.60956175] ; [104.60956175  16.39043825],0
p1,1,0.570731,0.321462,[ 10 121] ; [  7 113],[  8.87250996 122.12749004] ; [  8.12749004 111.87250996],0
s3,1,0.628849,0.233625,[77 52] ; [68 52],[75.12048193 53.87951807] ; [69.87951807 50.12048193],0
n6,1,0.633001,0.228013,[105  25] ; [94 26],[103.48  26.52] ; [95.52 24.48],0
p12,1,0.680134,0.169975,[  8 122] ; [  6 115],[  7.25099602 122.74900398] ; [  6.74900398 114.25099602],0
s5,1,0.691942,0.156991,[40 86] ; [35 84],[38.57142857 87.42857143] ; [36.42857143 82.57142857],0
p3,1,0.727362,0.121548,[70 61] ; [62 59],[68.61904762 62.38095238] ; [63.38095238 57.61904762],0
p11,1,0.730312,0.118826,[102  29] ; [92 29],[100.84920635  30.15079365] ; [93.15079365 27.84920635],0
s1,1,0.808898,0.058491,[  5 124] ; [  4 117],[  4.644 124.356] ; [  4.356 116.644],0
p8,1,0.878502,0.023369,[79 50] ; [74 45],[79.58467742 49.41532258] ; [73.41532258 45.58467742],0
n2,1,0.919017,0.010337,[20  8] ; [26 11],[19.81538462  8.18461538] ; [26.18461538 10.81538462],0
p6,1,0.989275,0.000181,[53 75] ; [50 71],[52.94779116 75.05220884] ; [50.05220884 70.94779116],0
