Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,31.854839,[116  42] ; [28 51],[96. 62.] ; [48. 31.],1
r2,1,0.208651,1.580759,[149   7] ; [76  1],[150.64377682   5.35622318] ; [74.35622318  2.64377682],0
a4,1,0.231689,1.430464,[79 79] ; [33 46],[74.66666667 83.33333333] ; [37.33333333 41.66666667],0
n4,1,0.276281,1.185292,[138  20] ; [64 14],[135.23728814  22.76271186] ; [66.76271186 11.23728814],0
u2,1,0.276981,1.181845,[17  7] ; [11  9],[15.27272727  8.72727273] ; [12.72727273  7.27272727],0
a8,1,0.291539,1.112502,[ 24 115] ; [17 56],[ 26.88207547 112.11792453] ; [14.11792453 58.88207547],0
n3,1,0.306543,1.045513,[22  5] ; [13  6],[20.54347826  6.45652174] ; [14.45652174  4.54347826],0
s2,1,0.336475,0.923817,[117  38] ; [55 24],[113.93162393  41.06837607] ; [58.06837607 20.93162393],0
s6,1,0.351196,0.86913,[129  26] ; [61 17],[126.39484979  28.60515021] ; [63.60515021 14.39484979],0
a7,1,0.364022,0.823971,[118  39] ; [55 24],[115.08898305  41.91101695] ; [57.91101695 21.08898305],0
b1,1,0.394342,0.72551,[ 57 101] ; [33 46],[60. 98.] ; [30. 49.],0
b4,1,0.452572,0.564202,[98 60] ; [45 34],[95.33333333 62.66666667] ; [47.66666667 31.33333333],0
s7,1,0.574082,0.3159,[120  28] ; [60 17],[118.4  29.6] ; [61.6 15.4],0
d4,1,0.575039,0.314324,[140  18] ; [68 11],[138.66666667  19.33333333] ; [69.33333333  9.66666667],0
v4,1,0.59962,0.275569,[150   6] ; [77  2],[150.6893617   5.3106383] ; [76.3106383  2.6893617],0
r1,1,0.603753,0.269372,[137  20] ; [67 12],[135.71186441  21.28813559] ; [68.28813559 10.71186441],0
s1,1,0.628204,0.234504,[  6 151] ; [ 2 75],[  5.36752137 151.63247863] ; [ 2.63247863 74.36752137],0
p10,1,0.709463,0.138814,[139  18] ; [66 10],[138.13304721  18.86695279] ; [66.86695279  9.13304721],0
u3,1,0.710779,0.1375,[18  6] ; [14  6],[17.45454545  6.54545455] ; [14.54545455  5.45454545],0
r4,1,0.71427,0.13405,[148  10] ; [73  6],[147.33333333  10.66666667] ; [73.66666667  5.33333333],0
r3,1,0.72141,0.127146,[155   3] ; [78  1],[155.33333333   2.66666667] ; [77.66666667  1.33333333],0
v3,1,0.724763,0.123975,[101  54] ; [49 29],[99.78540773 55.21459227] ; [50.21459227 27.78540773],0
p1,1,0.730706,0.118465,[ 14 143] ; [ 6 73],[ 13.30508475 143.69491525] ; [ 6.69491525 72.30508475],0
s4,1,0.815688,0.054333,[ 24 133] ; [13 66],[ 24.61440678 132.38559322] ; [12.38559322 66.61440678],0
n2,1,0.831074,0.045507,[22  5] ; [15  4],[21.7173913  5.2826087] ; [15.2826087  3.7173913],0
a1,1,0.854748,0.033512,[ 11 147] ; [ 5 74],[ 10.66666667 147.33333333] ; [ 5.33333333 73.66666667],0
s3,1,0.887885,0.019876,[111  42] ; [58 21],[111.45258621  41.54741379] ; [57.54741379 21.45258621],0
b5,1,0.924759,0.008919,[97 61] ; [49 30],[97.33333333 60.66666667] ; [48.66666667 30.33333333],0
b2,1,0.952185,0.003596,[47 67] ; [22 32],[46.82142857 67.17857143] ; [22.17857143 31.82142857],0
b3,1,0.952185,0.003596,[47 67] ; [22 32],[46.82142857 67.17857143] ; [22.17857143 31.82142857],0
p9,1,0.965155,0.001908,[143  14] ; [70  7],[142.91025641  14.08974359] ; [70.08974359  6.91025641],0
