Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.1e-05,18.136443,[13 15] ; [85 15],[21.4375  6.5625] ; [76.5625 23.4375],1
s7,1,0.142005,2.1561,[ 7 20] ; [39 55],[10.26446281 16.73553719] ; [35.73553719 58.26446281],0
d5,1,0.146172,2.111756,[14 13] ; [67 33],[17.22047244  9.77952756] ; [63.77952756 36.22047244],0
b4,1,0.167592,1.90435,[13 15] ; [61 39],[16.1875 11.8125] ; [57.8125 42.1875],0
s2,1,0.185282,1.754738,[ 8 20] ; [42 57],[11.02362205 16.97637795] ; [38.97637795 60.02362205],0
v3,1,0.200836,1.636286,[ 7 20] ; [37 57],[ 9.81818182 17.18181818] ; [34.18181818 59.81818182],0
n3,1,0.205903,1.6,[8 8] ; [22 10],[10.  6.] ; [20. 12.],0
u2,1,0.222237,1.489865,[2 6] ; [18 19],[3.55555556 4.44444444] ; [16.44444444 20.55555556],0
a3,1,0.268706,1.223342,[20  7] ; [62 37],[17.57142857  9.42857143] ; [64.42857143 34.57142857],0
n2,1,0.282209,1.156422,[11  6] ; [26  7],[12.58  4.42] ; [24.42  8.58],0
p5,1,0.285651,1.140006,[ 1 26] ; [10 87],[ 2.39516129 24.60483871] ; [ 8.60483871 88.39516129],0
p8,1,0.306977,1.043639,[ 4 23] ; [24 76],[ 5.95275591 21.04724409] ; [22.04724409 77.95275591],0
n4,1,0.337744,0.918974,[21  7] ; [83 17],[22.75  5.25] ; [81.25 18.75],0
n1,1,0.412589,0.671329,[10  6] ; [16 16],[8.66666667 7.33333333] ; [17.33333333 14.66666667],0
b3,1,0.634077,0.226572,[ 6 12] ; [28 43],[ 6.87640449 11.12359551] ; [27.12359551 43.87640449],0
b2,1,0.634077,0.226572,[ 6 12] ; [28 43],[ 6.87640449 11.12359551] ; [27.12359551 43.87640449],0
a5,1,0.711393,0.13689,[18 10] ; [68 32],[18.8125  9.1875] ; [67.1875 32.8125],0
d2,1,0.720122,0.128376,[13 14] ; [51 47],[13.824 13.176] ; [50.176 47.824],0
d3,1,0.722361,0.126241,[13 14] ; [52 48],[13.81889764 13.18110236] ; [51.18110236 48.81889764],0
a6,1,0.725026,0.123728,[18  9] ; [63 37],[17.22047244  9.77952756] ; [63.77952756 36.22047244],0
s3,1,0.736182,0.113511,[14 14] ; [45 52],[13.216 14.784] ; [45.784 51.216],0
a7,1,0.751884,0.099955,[18 10] ; [61 39],[17.28125 10.71875] ; [61.71875 38.28125],0
s1,1,0.783549,0.075458,[ 2 25] ; [ 9 90],[ 2.35714286 24.64285714] ; [ 8.64285714 90.35714286],0
p1,1,0.851694,0.034953,[ 3 25] ; [12 88],[ 3.28125 24.71875] ; [11.71875 88.28125],0
a2,1,0.948453,0.00418,[ 6 22] ; [22 78],[ 6.125 21.875] ; [21.875 78.125],0
p7,1,0.954709,0.003226,[ 9 17] ; [33 64],[ 8.87804878 17.12195122] ; [33.12195122 63.87804878],0
a4,1,0.9619,0.002282,[13 15] ; [45 53],[12.88888889 15.11111111] ; [45.11111111 52.88888889],0
b1,1,0.967924,0.001617,[15 13] ; [54 46],[15.09375 12.90625] ; [53.90625 46.09375],0
