Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1e-05,19.59375,[55 21] ; [11 27],[44. 32.] ; [22. 16.],1
a8,1,0.249543,1.325862,[ 6 65] ; [ 1 36],[ 4.60185185 66.39814815] ; [ 2.39814815 34.60185185],0
v1,1,0.257467,1.282324,[42 33] ; [17 21],[39.15929204 35.84070796] ; [19.84070796 18.15929204],0
p2,1,0.275834,1.1875,[66 10] ; [30  8],[64. 12.] ; [32.  6.],0
a4,1,0.285652,1.14,[36 40] ; [14 24],[33.33333333 42.66666667] ; [16.66666667 21.33333333],0
u3,1,0.361535,0.832555,[13 11] ; [5 8],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
p8,1,0.412102,0.672727,[42 32] ; [24 13],[44. 30.] ; [22. 15.],0
s3,1,0.429641,0.623793,[56 19] ; [25 12],[54.24107143 20.75892857] ; [26.75892857 10.24107143],0
s5,1,0.44797,0.575784,[34 35] ; [20 15],[35.82692308 33.17307692] ; [18.17307692 16.82692308],0
p12,1,0.461251,0.542857,[ 5 71] ; [ 4 34],[ 6. 70.] ; [ 3. 35.],0
a1,1,0.471618,0.518182,[ 2 74] ; [ 2 36],[ 2.66666667 73.33333333] ; [ 1.33333333 36.66666667],0
p9,1,0.574869,0.314604,[66  9] ; [32  6],[65.04424779  9.95575221] ; [32.95575221  5.04424779],0
n1,1,0.609473,0.260943,[ 4 12] ; [ 5 10],[ 4.64516129 11.35483871] ; [ 4.35483871 10.64516129],0
n4,1,0.626018,0.2375,[59 17] ; [31  7],[60. 16.] ; [30.  8.],0
v3,1,0.650273,0.205556,[19 55] ; [11 26],[20. 54.] ; [10. 27.],0
r1,1,0.651853,0.203571,[57 19] ; [27 11],[56. 20.] ; [28. 10.],0
a3,1,0.777259,0.080028,[52 24] ; [25 13],[51.33333333 24.66666667] ; [25.66666667 12.33333333],0
b3,1,0.788776,0.07177,[ 8 30] ; [ 4 18],[ 7.6 30.4] ; [ 4.4 17.6],0
b2,1,0.788776,0.07177,[ 8 30] ; [ 4 18],[ 7.6 30.4] ; [ 4.4 17.6],0
p3,1,0.790577,0.070523,[40 36] ; [21 17],[40.66666667 35.33333333] ; [20.33333333 17.66666667],0
s8,1,0.790956,0.070262,[40 36] ; [19 19],[39.33333333 36.66666667] ; [19.66666667 18.33333333],0
u2,1,0.792538,0.069177,[10 14] ; [6 7],[10.37837838 13.62162162] ; [5.62162162 7.37837838],0
s6,1,0.806221,0.060174,[63 11] ; [30  6],[62.56363636 11.43636364] ; [30.43636364  5.56363636],0
n6,1,0.839827,0.040851,[68  7] ; [34  4],[67.69911504  7.30088496] ; [34.30088496  3.69911504],0
p10,1,0.88619,0.020485,[62 13] ; [31  7],[61.72566372 13.27433628] ; [31.27433628  6.72566372],0
n3,1,0.915598,0.011232,[12  4] ; [11  4],[11.87096774  4.12903226] ; [11.12903226  3.87096774],0
n2,1,0.92985,0.00775,[13  3] ; [12  3],[12.90322581  3.09677419] ; [12.09677419  2.90322581],0
p5,1,1.0,0.0,[ 8 68] ; [ 4 34],[ 8. 68.] ; [ 4. 34.],0
d2,1,1.0,0.0,[34 42] ; [17 21],[34. 42.] ; [17. 21.],0
