Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,3e-05,17.435167,[63 12] ; [12 16],[54.61165049 20.38834951] ; [20.38834951  7.61165049],1
u1,1,0.394414,0.725291,[10 66] ; [ 2 26],[ 8.76923077 67.23076923] ; [ 3.23076923 24.76923077],0
v1,1,0.4116,0.674173,[32 40] ; [15 13],[33.84 38.16] ; [13.16 14.84],0
n2,1,0.420113,0.65,[19  7] ; [11  2],[20.  6.] ; [10.  3.],0
s7,1,0.420548,0.648784,[36 37] ; [10 15],[34.26530612 38.73469388] ; [11.73469388 13.26530612],0
v3,1,0.466909,0.529282,[19 53] ; [ 5 21],[17.63265306 54.36734694] ; [ 6.36734694 19.63265306],0
s4,1,0.493368,0.469173,[30 46] ; [ 9 19],[28.5 47.5] ; [10.5 17.5],0
s3,1,0.500147,0.454625,[64 12] ; [22  6],[62.84615385 13.15384615] ; [23.15384615  4.84615385],0
a5,1,0.555739,0.347135,[44 32] ; [18 10],[45.30769231 30.69230769] ; [16.69230769 11.30769231],0
p12,1,0.583744,0.300221,[ 5 71] ; [ 1 26],[ 4.42718447 71.57281553] ; [ 1.57281553 25.42718447],0
s6,1,0.618194,0.248414,[65 11] ; [22  5],[64.19417476 11.80582524] ; [22.80582524  4.19417476],0
b5,1,0.657035,0.197145,[48 28] ; [19  9],[48.96153846 27.03846154] ; [18.03846154  9.96153846],0
a2,1,0.671426,0.179938,[11 65] ; [ 5 23],[11.69230769 64.30769231] ; [ 4.30769231 23.69230769],0
n5,1,0.714915,0.133417,[27 48] ; [ 9 19],[26.21359223 48.78640777] ; [ 9.78640777 18.21359223],0
p1,1,0.726149,0.122677,[ 7 68] ; [ 2 26],[ 6.55339806 68.44660194] ; [ 2.44660194 25.55339806],0
a8,1,0.789865,0.071014,[ 4 66] ; [ 2 26],[ 4.28571429 65.71428571] ; [ 1.71428571 26.28571429],0
r4,1,0.800323,0.063973,[64 12] ; [23  5],[63.57692308 12.42307692] ; [23.42307692  4.57692308],0
r3,1,0.808051,0.059021,[73  2] ; [27  1],[72.81553398  2.18446602] ; [27.18446602  0.81553398],0
d5,1,0.864133,0.02928,[55 20] ; [21  7],[55.33980583 19.66019417] ; [20.66019417  7.33980583],0
s5,1,0.933538,0.006955,[33 40] ; [12 14],[33.18181818 39.81818182] ; [11.81818182 14.18181818],0
b2,1,1.0,0.0,[12 24] ; [ 5 10],[12. 24.] ; [ 5. 10.],0
b3,1,1.0,0.0,[12 24] ; [ 5 10],[12. 24.] ; [ 5. 10.],0
