Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.306427,[ 4 19] ; [40 12],[13.49333333  9.50666667] ; [30.50666667 21.49333333],1
b5,1,0.499982,0.454975,[13 10] ; [25 27],[11.65333333 11.34666667] ; [26.34666667 25.65333333],0
b4,1,0.504274,0.445931,[16  7] ; [32 20],[14.72  8.28] ; [33.28 18.72],0
s3,1,0.553074,0.351839,[10 11] ; [20 30],[ 8.87323944 12.12676056] ; [21.12676056 28.87323944],0
n1,1,0.554628,0.349091,[3 7] ; [ 9 13],[3.75 6.25] ; [ 8.25 13.75],0
a2,1,0.558103,0.342999,[ 2 21] ; [ 7 45],[ 2.76 20.24] ; [ 6.24 45.76],0
p2,1,0.560524,0.338798,[16  7] ; [38 12],[17.01369863  5.98630137] ; [36.98630137 13.01369863],0
d5,1,0.589045,0.291838,[14  9] ; [35 17],[15.02666667  7.97333333] ; [33.97333333 18.02666667],0
r3,1,0.590384,0.289745,[14  9] ; [33 16],[15.01388889  7.98611111] ; [31.98611111 17.01388889],0
a1,1,0.592363,0.28667,[ 1 22] ; [ 4 48],[ 1.53333333 21.46666667] ; [ 3.46666667 48.53333333],0
v1,1,0.624364,0.239782,[ 8 15] ; [20 29],[ 8.94444444 14.05555556] ; [19.05555556 29.94444444],0
d2,1,0.645969,0.21102,[ 8 15] ; [21 31],[ 8.89333333 14.10666667] ; [20.10666667 31.89333333],0
p1,1,0.713054,0.135246,[ 2 21] ; [ 6 46],[ 2.45333333 20.54666667] ; [ 5.54666667 46.45333333],0
b2,1,0.806243,0.06016,[4 7] ; [11 23],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
b3,1,0.806243,0.06016,[4 7] ; [11 23],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
a4,1,0.859452,0.031355,[ 8 15] ; [17 35],[ 7.66666667 15.33333333] ; [17.33333333 34.66666667],0
r1,1,0.902902,0.014883,[ 8 15] ; [17 34],[ 7.77027027 15.22972973] ; [17.22972973 33.77027027],0
s1,1,0.918572,0.010452,[ 1 22] ; [ 2 50],[ 0.92 22.08] ; [ 2.08 49.92],0
d1,1,0.918572,0.010452,[ 9 14] ; [21 31],[ 9.2 13.8] ; [20.8 31.2],0
n3,1,0.959089,0.002631,[5 4] ; [12 10],[4.93548387 4.06451613] ; [12.06451613  9.93548387],0
d3,1,0.978137,0.000751,[13 10] ; [29 22],[13.05405405  9.94594595] ; [28.94594595 22.05405405],0
