Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0003,13.070068,[14 78] ; [16 19],[21.73228346 70.26771654] ; [ 8.26771654 26.73228346],1
b4,1,0.434984,0.609479,[58 34] ; [20 16],[56.0625 35.9375] ; [21.9375 14.0625],0
a8,1,0.457709,0.551491,[ 9 77] ; [ 2 31],[ 7.94957983 78.05042017] ; [ 3.05042017 29.94957983],0
a4,1,0.462682,0.539398,[35 56] ; [11 24],[33.22222222 57.77777778] ; [12.77777778 22.22222222],0
s4,1,0.473658,0.51343,[12 79] ; [ 3 32],[10.83333333 80.16666667] ; [ 4.16666667 30.83333333],0
n2,1,0.545562,0.365328,[23 20] ; [7 4],[23.88888889 19.11111111] ; [6.11111111 4.88888889],0
a2,1,0.672019,0.179249,[15 77] ; [ 7 29],[15.8125 76.1875] ; [ 6.1875 29.8125],0
u3,1,0.767515,0.087395,[18 17] ; [8 9],[17.5 17.5] ; [8.5 8.5],0
b2,1,0.820552,0.051454,[15 38] ; [ 8 18],[15.43037975 37.56962025] ; [ 7.56962025 18.43037975],0
b3,1,0.820552,0.051454,[15 38] ; [ 8 18],[15.43037975 37.56962025] ; [ 7.56962025 18.43037975],0
a6,1,0.832909,0.044509,[53 39] ; [20 16],[52.46875 39.53125] ; [20.53125 15.46875],0
n5,1,0.870755,0.026471,[52 39] ; [20 16],[51.59055118 39.40944882] ; [20.40944882 15.59055118],0
r1,1,0.88588,0.020598,[62 29] ; [25 11],[62.33858268 28.66141732] ; [24.66141732 11.33858268],0
d4,1,0.904279,0.014462,[61 29] ; [24 12],[60.71428571 29.28571429] ; [24.28571429 11.71428571],0
n1,1,0.968111,0.001598,[15 27] ; [4 7],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
s1,1,0.972354,0.001201,[ 5 85] ; [ 2 33],[ 5.04 84.96] ; [ 1.96 33.04],0
