Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.907721,[ 1 35] ; [76 42],[18. 18.] ; [59. 59.],1
b1,1,0.019641,5.443518,[21 15] ; [43 75],[14.96103896 21.03896104] ; [49.03896104 68.96103896],0
p1,1,0.024332,5.070786,[ 6 30] ; [  6 111],[ 2.82352941 33.17647059] ; [  9.17647059 107.82352941],0
d5,1,0.025222,5.008555,[17 19] ; [80 38],[22.67532468 13.32467532] ; [74.32467532 43.67532468],0
b3,1,0.026306,4.935783,[12 12] ; [17 50],[ 7.64835165 16.35164835] ; [21.35164835 45.64835165],0
b2,1,0.026306,4.935783,[12 12] ; [17 50],[ 7.64835165 16.35164835] ; [21.35164835 45.64835165],0
d4,1,0.031924,4.602599,[18 18] ; [82 36],[23.37662338 12.62337662] ; [76.62337662 41.37662338],0
p8,1,0.044402,4.041201,[ 6 29] ; [41 76],[10.82236842 24.17763158] ; [36.17763158 80.82236842],0
s1,1,0.049165,3.869708,[ 3 33] ; [  2 116],[ 1.16883117 34.83116883] ; [  3.83116883 114.16883117],0
s7,1,0.073405,3.2052,[ 5 30] ; [33 79],[ 9.04761905 25.95238095] ; [28.95238095 83.04761905],0
p4,1,0.088125,2.908292,[ 9 27] ; [48 70],[13.32467532 22.67532468] ; [43.67532468 74.32467532],0
r2,1,0.091485,2.848053,[22 13] ; [88 26],[25.83892617  9.16107383] ; [84.16107383 29.83892617],0
d2,1,0.123051,2.378055,[17 18] ; [40 77],[13.125 21.875] ; [43.875 73.125],0
d3,1,0.151485,2.057235,[14 22] ; [62 56],[17.76623377 18.23376623] ; [58.23376623 59.76623377],0
a8,1,0.152995,2.042135,[ 1 34] ; [ 12 100],[ 3.0952381 31.9047619] ; [  9.9047619 102.0952381],0
p7,1,0.179661,1.800423,[11 25] ; [50 66],[14.44736842 21.55263158] ; [46.55263158 69.44736842],0
d1,1,0.203877,1.614378,[ 9 27] ; [43 75],[12.15584416 23.84415584] ; [39.84415584 78.15584416],0
b4,1,0.233998,1.416396,[17 19] ; [69 49],[20.1038961 15.8961039] ; [65.8961039 52.1038961],0
p5,1,0.250162,1.322397,[ 1 34] ; [ 10 106],[ 2.54966887 32.45033113] ; [  8.45033113 107.54966887],0
p3,1,0.274342,1.194905,[ 9 27] ; [41 77],[11.68831169 24.31168831] ; [38.31168831 79.68831169],0
u3,1,0.308512,1.037037,[ 4 12] ; [21 33],[ 5.71428571 10.28571429] ; [19.28571429 34.71428571],0
n1,1,0.481043,0.496497,[ 4 11] ; [14 24],[5.09433962 9.90566038] ; [12.90566038 25.09433962],0
v1,1,0.508201,0.43777,[11 25] ; [41 71],[12.64864865 23.35135135] ; [39.35135135 72.64864865],0
u1,1,0.56078,0.338355,[ 1 35] ; [  6 112],[ 1.63636364 34.36363636] ; [  5.36363636 112.63636364],0
s4,1,0.626264,0.237161,[ 6 30] ; [24 94],[ 7.01298701 28.98701299] ; [22.98701299 95.01298701],0
a2,1,0.644134,0.213377,[ 3 33] ; [ 13 105],[ 3.74025974 32.25974026] ; [ 12.25974026 105.74025974],0
a4,1,0.765567,0.08891,[11 24] ; [34 84],[10.29411765 24.70588235] ; [34.70588235 83.29411765],0
v3,1,0.76875,0.086442,[ 7 29] ; [25 90],[ 7.62913907 28.37086093] ; [24.37086093 90.62913907],0
n5,1,0.803563,0.061871,[24 12] ; [76 42],[23.37662338 12.62337662] ; [76.62337662 41.37662338],0
s5,1,0.811216,0.057053,[ 6 30] ; [21 93],[ 6.48 29.52] ; [20.52 93.48],0
a6,1,0.877786,0.023647,[19 17] ; [64 54],[19.4025974 16.5974026] ; [63.5974026 54.4025974],0
u2,1,0.878814,0.023248,[ 6 10] ; [21 32],[6.26086957 9.73913043] ; [20.73913043 32.26086957],0
n4,1,0.919458,0.010225,[22 14] ; [71 47],[21.74025974 14.25974026] ; [71.25974026 46.74025974],0
a3,1,0.928189,0.008122,[20 16] ; [64 53],[19.76470588 16.23529412] ; [64.23529412 52.76470588],0
a5,1,0.929061,0.007926,[18 18] ; [60 58],[18.23376623 17.76623377] ; [59.76623377 58.23376623],0
