Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.38172,[244 109] ; [85 84],[222.48467433 130.51532567] ; [106.51532567  62.48467433],1
b5,1,0.138958,2.189465,[198 157] ; [107  64],[205.8460076 149.1539924] ; [99.1539924 71.8460076],0
b3,1,0.178972,1.806138,[ 92 136] ; [35 72],[ 86.4358209 141.5641791] ; [40.5641791 66.4358209],0
b2,1,0.178972,1.806138,[ 92 136] ; [35 72],[ 86.4358209 141.5641791] ; [40.5641791 66.4358209],0
s4,1,0.189228,1.723617,[ 66 284] ; [ 24 145],[ 60.69364162 289.30635838] ; [ 29.30635838 139.69364162],0
s3,1,0.197067,1.66398,[214 138] ; [91 75],[207.25868726 144.74131274] ; [97.74131274 68.25868726],0
a1,1,0.198271,1.655062,[ 22 333] ; [  6 165],[ 18.8973384 336.1026616] ; [  9.1026616 161.8973384],0
d5,1,0.200253,1.640532,[305  49] ; [140  31],[300.05714286  53.94285714] ; [144.94285714  26.05714286],0
d1,1,0.203331,1.618289,[234 121] ; [103  68],[227.44296578 127.55703422] ; [109.55703422  61.44296578],0
s6,1,0.239922,1.381054,[264  83] ; [119  48],[258.56225681  88.43774319] ; [124.43774319  42.56225681],0
a2,1,0.240159,1.37966,[ 98 257] ; [ 39 132],[ 92.46197719 262.53802281] ; [ 44.53802281 126.46197719],0
v2,1,0.251096,1.317197,[209 135] ; [92 74],[203.02745098 140.97254902] ; [97.97254902 68.02745098],0
v1,1,0.27065,1.213451,[212 132] ; [95 73],[206.265625 137.734375] ; [100.734375  67.265625],0
u4,1,0.293993,1.101244,[ 12 343] ; [  3 168],[ 10.12357414 344.87642586] ; [  4.87642586 166.12357414],0
s2,1,0.343451,0.897508,[202 150] ; [89 79],[196.98461538 155.01538462] ; [94.01538462 73.98461538],0
v4,1,0.349297,0.87601,[344  11] ; [161   8],[342.1278626  12.8721374] ; [162.8721374   6.1278626],0
u3,1,0.372842,0.79417,[59 32] ; [31 23],[56.48275862 34.51724138] ; [33.51724138 20.48275862],0
u2,1,0.396693,0.718328,[56 36] ; [29 25],[53.56164384 38.43835616] ; [31.43835616 22.56164384],0
d4,1,0.402086,0.70208,[300  54] ; [140  31],[296.68571429  57.31428571] ; [143.31428571  27.68571429],0
a6,1,0.418459,0.654639,[245 110] ; [112  59],[240.94106464 114.05893536] ; [116.05893536  54.94106464],0
r2,1,0.426187,0.63319,[335  17] ; [158  11],[333.08253359  18.91746641] ; [159.91746641   9.08253359],0
d2,1,0.44971,0.571383,[190 165] ; [85 85],[185.95238095 169.04761905] ; [89.04761905 80.95238095],0
n1,1,0.51509,0.423714,[23 31] ; [14 25],[21.48387097 32.51612903] ; [15.51612903 23.48387097],0
s1,1,0.531047,0.392387,[ 11 342] ; [  7 160],[ 12.21923077 340.78076923] ; [  5.78076923 161.21923077],0
n3,1,0.548591,0.359848,[43 11] ; [29 10],[41.80645161 12.19354839] ; [30.19354839  8.80645161],0
d3,1,0.556939,0.345032,[255 100] ; [127  44],[257.81368821  97.18631179] ; [124.18631179  46.81368821],0
a4,1,0.606789,0.264877,[173 181] ; [79 91],[170.24427481 183.75572519] ; [81.75572519 88.24427481],0
a7,1,0.615054,0.25288,[266  88] ; [125  46],[263.64571429  90.35428571] ; [127.35428571  43.64571429],0
r1,1,0.63475,0.225675,[295  59] ; [138  31],[293.08221797  60.91778203] ; [139.91778203  29.08221797],0
b4,1,0.780154,0.077907,[208 147] ; [98 73],[206.52091255 148.47908745] ; [99.47908745 71.52091255],0
a8,1,0.832127,0.044933,[ 43 276] ; [ 22 133],[ 43.74472574 275.25527426] ; [ 21.25527426 133.74472574],0
n2,1,0.975283,0.00096,[40 14] ; [29 10],[40.06451613 13.93548387] ; [28.93548387 10.06451613],0
