Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.770284,[14  3] ; [11 47],[ 5.66666667 11.33333333] ; [19.33333333 38.66666667],1
n2,1,0.29751,1.08532,[4 1] ; [16 13],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
b3,1,0.309734,1.031809,[2 9] ; [13 25],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
b2,1,0.309734,1.031809,[2 9] ; [13 25],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
p5,1,0.35697,0.848527,[ 1 16] ; [ 1 56],[ 0.45945946 16.54054054] ; [ 1.54054054 55.45945946],0
p8,1,0.393791,0.727205,[ 5 12] ; [11 45],[ 3.7260274 13.2739726] ; [12.2739726 43.7260274],0
p6,1,0.4365,0.605465,[ 5 12] ; [11 43],[ 3.83098592 13.16901408] ; [12.16901408 41.83098592],0
d5,1,0.484619,0.488452,[11  6] ; [32 26],[9.74666667 7.25333333] ; [33.25333333 24.74666667],0
n1,1,0.492331,0.471429,[1 4] ; [10 18],[1.66666667 3.33333333] ; [ 9.33333333 18.66666667],0
p7,1,0.499316,0.456389,[8 9] ; [22 36],[ 6.8 10.2] ; [23.2 34.8],0
d1,1,0.521304,0.411312,[ 7 10] ; [19 39],[ 5.89333333 11.10666667] ; [20.10666667 37.89333333],0
a6,1,0.555404,0.347725,[8 9] ; [32 26],[9.06666667 7.93333333] ; [30.93333333 27.06666667],0
d2,1,0.564655,0.331709,[ 7 10] ; [28 29],[8.04054054 8.95945946] ; [26.95945946 30.04054054],0
a2,1,0.578065,0.309373,[ 1 16] ; [ 6 52],[ 1.58666667 15.41333333] ; [ 5.41333333 52.58666667],0
r2,1,0.646217,0.210702,[11  5] ; [35 21],[10.22222222  5.77777778] ; [35.77777778 20.22222222],0
v3,1,0.650134,0.205731,[ 3 14] ; [13 44],[ 3.67567568 13.32432432] ; [12.32432432 44.67567568],0
a3,1,0.652992,0.202149,[10  7] ; [30 27],[9.18918919 7.81081081] ; [30.81081081 26.18918919],0
u2,1,0.676193,0.174443,[2 5] ; [10 17],[2.47058824 4.52941176] ; [ 9.52941176 17.47058824],0
r4,1,0.696508,0.15213,[ 5 12] ; [20 38],[ 5.66666667 11.33333333] ; [19.33333333 38.66666667],0
p11,1,0.709499,0.138778,[ 7 10] ; [21 37],[ 6.34666667 10.65333333] ; [21.65333333 36.34666667],0
a4,1,0.761781,0.091895,[ 5 12] ; [19 38],[ 5.51351351 11.48648649] ; [18.48648649 38.51351351],0
b1,1,0.772644,0.083474,[9 8] ; [33 25],[9.52 7.48] ; [32.48 25.52],0
p9,1,0.791293,0.07003,[ 6 10] ; [19 37],[ 5.55555556 10.44444444] ; [19.44444444 36.55555556],0
b4,1,0.83109,0.045498,[9 8] ; [29 29],[8.61333333 8.38666667] ; [29.38666667 28.61333333],0
u1,1,0.908794,0.013124,[ 1 16] ; [ 3 55],[ 0.90666667 16.09333333] ; [ 3.09333333 54.90666667],0
s1,1,0.921067,0.009819,[ 1 16] ; [ 3 54],[ 0.91891892 16.08108108] ; [ 3.08108108 53.91891892],0
n3,1,0.929939,0.00773,[3 2] ; [18 11],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
a1,1,0.972918,0.001152,[ 2 15] ; [ 7 51],[ 2.04 14.96] ; [ 6.96 51.04],0
