Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.464972,[36  5] ; [ 7 18],[26.71212121 14.28787879] ; [16.28787879  8.71212121],1
s8,1,0.317467,0.999352,[27 15] ; [19  6],[28.8358209 13.1641791] ; [17.1641791  7.8358209],0
b4,1,0.345415,0.89023,[29 14] ; [14 11],[27.19117647 15.80882353] ; [15.80882353  9.19117647],0
v3,1,0.35427,0.858105,[20 19] ; [ 9 14],[18.24193548 20.75806452] ; [10.75806452 12.24193548],0
p10,1,0.363274,0.826543,[32 11] ; [16  9],[30.35294118 12.64705882] ; [17.64705882  7.35294118],0
p9,1,0.36516,0.820067,[32  9] ; [17  8],[30.43939394 10.56060606] ; [18.56060606  6.43939394],0
r1,1,0.367629,0.811664,[35  8] ; [18  7],[33.51470588  9.48529412] ; [19.48529412  5.51470588],0
a5,1,0.367629,0.811664,[35  8] ; [18  7],[33.51470588  9.48529412] ; [19.48529412  5.51470588],0
p8,1,0.475547,0.509059,[10 33] ; [ 4 21],[ 8.85294118 34.14705882] ; [ 5.14705882 19.85294118],0
b1,1,0.480504,0.497719,[22 21] ; [15 10],[23.39705882 19.60294118] ; [13.60294118 11.39705882],0
s1,1,0.481332,0.495844,[ 3 40] ; [ 3 22],[ 3.79411765 39.20588235] ; [ 2.20588235 22.79411765],0
n5,1,0.486126,0.485089,[31 12] ; [16  9],[29.72058824 13.27941176] ; [17.27941176  7.72058824],0
n3,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
n2,1,0.61193,0.257374,[11  4] ; [9 2],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
u4,1,0.614954,0.253023,[ 3 40] ; [ 1 24],[ 2.52941176 40.47058824] ; [ 1.47058824 23.52941176],0
n6,1,0.629651,0.232535,[34  8] ; [19  6],[33.2238806  8.7761194] ; [19.7761194  5.2238806],0
d2,1,0.63155,0.229965,[27 14] ; [15 10],[26.09090909 14.90909091] ; [15.90909091  9.09090909],0
p12,1,0.635015,0.225321,[ 5 38] ; [ 2 23],[ 4.42647059 38.57352941] ; [ 2.57352941 22.42647059],0
p5,1,0.666912,0.185235,[ 5 36] ; [ 2 21],[ 4.484375 36.515625] ; [ 2.515625 20.484375],0
p4,1,0.670471,0.181051,[13 29] ; [ 9 16],[13.79104478 28.20895522] ; [ 8.20895522 16.79104478],0
r4,1,0.697954,0.150609,[36  7] ; [20  5],[35.41176471  7.58823529] ; [20.58823529  4.41176471],0
s5,1,0.747081,0.104,[16 24] ; [ 9 16],[15.38461538 24.61538462] ; [ 9.61538462 15.38461538],0
a3,1,0.754888,0.09747,[33 10] ; [20  5],[33.51470588  9.48529412] ; [19.48529412  5.51470588],0
p7,1,0.805912,0.06037,[16 25] ; [ 9 16],[15.53030303 25.46969697] ; [ 9.46969697 15.53030303],0
p3,1,0.824052,0.049433,[14 28] ; [ 9 16],[14.41791045 27.58208955] ; [ 8.58208955 16.41791045],0
v1,1,0.846377,0.037537,[21 19] ; [12 12],[20.625 19.375] ; [12.375 11.625],0
r3,1,0.855143,0.033328,[39  4] ; [23  2],[39.20588235  3.79411765] ; [22.79411765  2.20588235],0
a4,1,0.905623,0.014057,[23 20] ; [13 12],[22.76470588 20.23529412] ; [13.23529412 11.76470588],0
s2,1,0.926003,0.008626,[28 15] ; [16  9],[27.82352941 15.17647059] ; [16.17647059  8.82352941],0
s3,1,0.959973,0.002519,[30 12] ; [18  7],[30.08955224 11.91044776] ; [17.91044776  7.08955224],0
p6,1,0.962165,0.00225,[14 29] ; [ 8 17],[13.91176471 29.08823529] ; [ 8.08823529 16.91176471],0
u3,1,1.0,0.0,[8 2] ; [4 1],[8. 2.] ; [4. 1.],0
u2,1,1.0,0.0,[6 4] ; [3 2],[6. 4.] ; [3. 2.],0
