Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.314392,[28 37] ; [196  68],[44.25531915 20.74468085] ; [179.74468085  84.25531915],1
v3,1,0.071357,3.251527,[14 48] ; [ 89 169],[19.95625 42.04375] ; [ 83.04375 174.95625],0
d1,1,0.073618,3.200456,[28 38] ; [145 120],[34.49546828 31.50453172] ; [138.50453172 126.49546828],0
p6,1,0.088723,2.897387,[12 54] ; [ 75 188],[17.45288754 48.54711246] ; [ 69.54711246 193.45288754],0
a5,1,0.095691,2.775933,[39 27] ; [185  80],[44.66465257 21.33534743] ; [179.33534743  85.66465257],0
n1,1,0.107817,2.585927,[ 4 19] ; [25 46],[ 7.09574468 15.90425532] ; [21.90425532 49.09574468],0
r1,1,0.128641,2.308823,[44 21] ; [202  61],[48.75 16.25] ; [197.25  65.75],0
d2,1,0.14374,2.137454,[25 41] ; [126 137],[30.29179331 35.70820669] ; [120.70820669 142.29179331],0
s8,1,0.175266,1.837317,[19 47] ; [100 165],[23.72809668 42.27190332] ; [ 95.27190332 169.72809668],0
a4,1,0.184372,1.762023,[25 41] ; [124 140],[29.8 36.2] ; [119.2 144.8],0
p12,1,0.194019,1.686834,[ 1 64] ; [ 14 251],[ 2.95454545 62.04545455] ; [ 12.04545455 252.95454545],0
u1,1,0.235776,1.405674,[ 9 57] ; [ 53 212],[12.36253776 53.63746224] ; [ 49.63746224 215.36253776],0
r2,1,0.285562,1.140426,[58  7] ; [245  18],[60.04573171  4.95426829] ; [242.95426829  20.04573171],0
a3,1,0.305814,1.048667,[43 23] ; [189  75],[46.4 19.6] ; [185.6  78.4],0
u3,1,0.371064,0.800097,[15  8] ; [41 34],[13.14285714  9.85714286] ; [42.85714286 32.14285714],0
p3,1,0.406617,0.688671,[22 44] ; [103 162],[24.9244713 41.0755287] ; [100.0755287 164.9244713],0
v1,1,0.417704,0.656765,[28 36] ; [126 129],[30.89655172 33.10344828] ; [123.10344828 131.89655172],0
v4,1,0.440707,0.594442,[59  5] ; [250  14],[60.29268293  3.70731707] ; [248.70731707  15.29268293],0
s4,1,0.450052,0.570522,[12 54] ; [ 38 225],[10.03039514 55.96960486] ; [ 39.96960486 223.03039514],0
n3,1,0.490024,0.476474,[17  7] ; [56 16],[18.25  5.75] ; [54.75 17.25],0
p7,1,0.504533,0.445388,[29 36] ; [129 133],[31.40672783 33.59327217] ; [126.59327217 135.40672783],0
d4,1,0.535873,0.383243,[53 12] ; [206  58],[51.17021277 13.82978723] ; [207.82978723  56.17021277],0
b4,1,0.550754,0.355968,[42 24] ; [158 107],[39.87915408 26.12084592] ; [160.12084592 104.87915408],0
a8,1,0.552115,0.353542,[ 6 53] ; [ 31 207],[ 7.35016835 51.64983165] ; [ 29.64983165 208.35016835],0
s3,1,0.560086,0.339556,[34 31] ; [147 114],[36.08895706 28.91104294] ; [144.91104294 116.08895706],0
a1,1,0.593939,0.284235,[ 1 65] ; [  7 258],[ 1.59516616 64.40483384] ; [  6.40483384 258.59516616],0
n2,1,0.659794,0.193774,[16  8] ; [50 20],[16.85106383  7.14893617] ; [49.14893617 20.85106383],0
d3,1,0.665253,0.187205,[43 22] ; [182  82],[44.45288754 20.54711246] ; [180.54711246  83.45288754],0
a7,1,0.727624,0.121304,[46 20] ; [189  74],[47.14285714 18.85714286] ; [187.85714286  75.14285714],0
p5,1,0.803334,0.062018,[ 3 63] ; [ 14 250],[ 3.4 62.6] ; [ 13.6 250.4],0
a6,1,0.842217,0.039624,[46 20] ; [188  77],[46.65861027 19.34138973] ; [187.34138973  77.65861027],0
s1,1,0.865778,0.028569,[ 2 63] ; [  7 253],[ 1.8 63.2] ; [  7.2 252.8],0
b5,1,0.892322,0.018324,[42 24] ; [171  94],[42.47129909 23.52870091] ; [170.52870091  94.47129909],0
p1,1,0.922219,0.009533,[ 3 62] ; [ 13 252],[ 3.15151515 61.84848485] ; [ 12.84848485 252.15151515],0
