Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,54.80553,[ 7 26] ; [89 12],[23.64179104  9.35820896] ; [72.35820896 28.64179104],1
s1,1,0.612528,0.25651,[ 2 31] ; [ 4 97],[ 1.47761194 31.52238806] ; [ 4.52238806 96.47761194],0
d3,1,0.618989,0.247291,[17 16] ; [47 54],[15.76119403 17.23880597] ; [48.23880597 52.76119403],0
p12,1,0.624206,0.24,[ 2 30] ; [ 9 91],[ 2.66666667 29.33333333] ; [ 8.33333333 91.66666667],0
a2,1,0.658948,0.194804,[ 3 30] ; [12 89],[ 3.69402985 29.30597015] ; [11.30597015 89.69402985],0
n5,1,0.663817,0.18892,[27  6] ; [85 15],[27.78947368  5.21052632] ; [84.21052632 15.78947368],0
a5,1,0.678775,0.171508,[26  7] ; [76 25],[25.11940299  7.88059701] ; [76.88059701 24.11940299],0
p2,1,0.682146,0.16772,[26  7] ; [82 18],[26.79699248  6.20300752] ; [81.20300752 18.79699248],0
p6,1,0.686443,0.162963,[14 19] ; [46 53],[15. 18.] ; [45. 54.],0
b3,1,0.706424,0.141875,[12 10] ; [39 39],[11.22 10.78] ; [39.78 38.22],0
b2,1,0.706424,0.141875,[12 10] ; [39 39],[11.22 10.78] ; [39.78 38.22],0
v3,1,0.713465,0.134841,[14 18] ; [47 52],[14.90076336 17.09923664] ; [46.09923664 52.90076336],0
u2,1,0.71714,0.13125,[3 2] ; [11  5],[3.33333333 1.66666667] ; [10.66666667  5.33333333],0
n6,1,0.725844,0.122962,[28  4] ; [85 15],[27.39393939  4.60606061] ; [85.60606061 14.39393939],0
p10,1,0.774615,0.081993,[27  5] ; [83 18],[26.46616541  5.53383459] ; [83.53383459 17.46616541],0
d5,1,0.781126,0.077202,[26  7] ; [81 19],[26.54887218  6.45112782] ; [80.45112782 19.54887218],0
n3,1,0.795397,0.067241,[7 3] ; [19 10],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
p9,1,0.844468,0.038487,[28  4] ; [87 14],[27.66917293  4.33082707] ; [87.33082707 13.66917293],0
p3,1,0.852795,0.03443,[19 14] ; [60 41],[19.45522388 13.54477612] ; [59.54477612 41.45522388],0
a1,1,0.862366,0.030055,[ 2 31] ; [ 7 94],[ 2.21641791 30.78358209] ; [ 6.78358209 94.21641791],0
p1,1,0.878804,0.023252,[ 3 30] ; [10 90],[ 3.22556391 29.77443609] ; [ 9.77443609 90.22556391],0
d4,1,0.880682,0.022531,[26  7] ; [80 20],[26.30075188  6.69924812] ; [79.69924812 20.30075188],0
a3,1,0.924577,0.008962,[28  5] ; [85 16],[27.82835821  5.17164179] ; [85.17164179 15.82835821],0
u1,1,0.974917,0.000989,[ 3 30] ; [ 9 92],[ 2.95522388 30.04477612] ; [ 9.04477612 91.95522388],0
d2,1,0.997611,9e-06,[17 16] ; [52 49],[16.99253731 16.00746269] ; [52.00746269 48.99253731],0
d1,1,0.997611,9e-06,[17 16] ; [52 49],[16.99253731 16.00746269] ; [52.00746269 48.99253731],0
