Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00301,8.801289,[19 48] ; [15  9],[25.03296703 41.96703297] ; [ 8.96703297 15.03296703],0
a2,1,0.394114,0.726212,[ 7 62] ; [ 4 20],[ 8.16129032 60.83870968] ; [ 2.83870968 21.16129032],0
s2,1,0.407866,0.685013,[17 52] ; [ 8 16],[18.5483871 50.4516129] ; [ 6.4516129 17.5483871],0
a3,1,0.417944,0.656089,[36 32] ; [15  9],[37.69565217 30.30434783] ; [13.30434783 10.69565217],0
n3,1,0.418492,0.654545,[20 10] ; [5 1],[20.83333333  9.16666667] ; [4.16666667 1.83333333],0
a8,1,0.456498,0.554467,[ 5 59] ; [ 3 20],[ 5.88505747 58.11494253] ; [ 2.11494253 20.88505747],0
s5,1,0.467366,0.528196,[10 56] ; [ 5 18],[11.12359551 54.87640449] ; [ 3.87640449 19.12359551],0
n2,1,0.473964,0.51272,[19 10] ; [3 3],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
p2,1,0.482162,0.49397,[43 26] ; [13 11],[41.5483871 27.4516129] ; [14.4516129  9.5483871],0
p11,1,0.510686,0.432662,[37 32] ; [11 13],[35.61290323 33.38709677] ; [12.38709677 11.61290323],0
n6,1,0.520179,0.413538,[35 34] ; [14 10],[36.35483871 32.64516129] ; [12.64516129 11.35483871],0
a5,1,0.520179,0.413538,[35 34] ; [14 10],[36.35483871 32.64516129] ; [12.64516129 11.35483871],0
s4,1,0.523152,0.407676,[ 8 61] ; [ 4 20],[ 8.90322581 60.09677419] ; [ 3.09677419 20.90322581],0
a7,1,0.530151,0.394101,[41 28] ; [16  8],[42.29032258 26.70967742] ; [14.70967742  9.29032258],0
u3,1,0.590698,0.289256,[15 18] ; [5 4],[15.71428571 17.28571429] ; [4.28571429 4.71428571],0
v4,1,0.595501,0.281836,[54 15] ; [20  4],[54.90322581 14.09677419] ; [19.09677419  4.90322581],0
s1,1,0.596813,0.279829,[ 5 64] ; [ 1 23],[ 4.4516129 64.5483871] ; [ 1.5483871 22.4516129],0
n1,1,0.605577,0.266667,[ 7 23] ; [2 4],[ 7.5 22.5] ; [1.5 4.5],0
p7,1,0.609189,0.261357,[30 39] ; [ 9 15],[28.93548387 40.06451613] ; [10.06451613 13.93548387],0
p9,1,0.663415,0.189402,[21 47] ; [ 6 17],[20.17582418 47.82417582] ; [ 6.82417582 16.17582418],0
b3,1,0.681891,0.168005,[10 30] ; [4 9],[10.56603774 29.43396226] ; [3.43396226 9.56603774],0
b2,1,0.681891,0.168005,[10 30] ; [4 9],[10.56603774 29.43396226] ; [3.43396226 9.56603774],0
r1,1,0.703234,0.14513,[43 26] ; [16  8],[43.77419355 25.22580645] ; [15.22580645  8.77419355],0
d5,1,0.703234,0.14513,[43 26] ; [16  8],[43.77419355 25.22580645] ; [15.22580645  8.77419355],0
d2,1,0.729887,0.119216,[26 43] ; [10 14],[26.70967742 42.29032258] ; [ 9.29032258 14.70967742],0
p6,1,0.783361,0.075593,[14 53] ; [ 4 18],[13.5505618 53.4494382] ; [ 4.4494382 17.5505618],0
a4,1,0.791752,0.069715,[21 48] ; [ 8 16],[21.51612903 47.48387097] ; [ 7.48387097 16.51612903],0
u1,1,0.79597,0.066856,[ 7 62] ; [ 2 22],[ 6.67741935 62.32258065] ; [ 2.32258065 21.67741935],0
b5,1,0.810596,0.057436,[45 24] ; [15  9],[44.51612903 24.48387097] ; [15.48387097  8.51612903],0
r3,1,0.905784,0.014009,[61  8] ; [21  3],[60.83870968  8.16129032] ; [21.16129032  2.83870968],0
d1,1,0.92566,0.008706,[28 41] ; [10 14],[28.19354839 40.80645161] ; [ 9.80645161 14.19354839],0
b1,1,0.951232,0.00374,[35 34] ; [12 12],[34.87096774 34.12903226] ; [12.12903226 11.87096774],0
p1,1,0.959628,0.002562,[ 3 65] ; [ 1 23],[ 2.95652174 65.04347826] ; [ 1.04347826 22.95652174],0
a1,1,0.969943,0.00142,[ 3 66] ; [ 1 23],[ 2.96774194 66.03225806] ; [ 1.03225806 22.96774194],0
