Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.1e-05,15.539229,[23 84] ; [11  5],[29.57723577 77.42276423] ; [ 4.42276423 11.57723577],1
r2,1,0.239693,1.382401,[87 19] ; [15  1],[88.62295082 17.37704918] ; [13.37704918  2.62295082],0
a3,1,0.254308,1.299479,[65 43] ; [12  4],[67.06451613 40.93548387] ; [9.93548387 6.06451613],0
v3,1,0.266375,1.235321,[27 76] ; [6 9],[28.80508475 74.19491525] ; [ 4.19491525 10.80508475],0
u2,1,0.275619,1.188564,[20 23] ; [3 1],[21.04255319 21.95744681] ; [1.95744681 2.04255319],0
u4,1,0.281241,1.161085,[  2 107] ; [ 1 15],[  2.616 106.384] ; [ 0.384 15.616],0
n5,1,0.285205,1.14212,[69 39] ; [8 8],[67.06451613 40.93548387] ; [9.93548387 6.06451613],0
d5,1,0.292035,1.110218,[75 33] ; [9 7],[73.16129032 34.83870968] ; [10.83870968  5.16129032],0
a7,1,0.422634,0.64298,[66 43] ; [8 8],[64.528 44.472] ; [9.472 6.528],0
d3,1,0.500076,0.454774,[57 51] ; [7 9],[55.74193548 52.25806452] ; [8.25806452 7.74193548],0
u1,1,0.501365,0.452046,[13 96] ; [ 1 15],[12.208 96.792] ; [ 1.792 14.208],0
a4,1,0.511562,0.43087,[43 65] ; [ 5 11],[41.80645161 66.19354839] ; [6.19354839 9.80645161],0
b4,1,0.556517,0.345772,[63 46] ; [8 8],[61.912 47.088] ; [9.088 6.912],0
p1,1,0.575852,0.312989,[  9 100] ; [ 2 14],[ 9.592 99.408] ; [ 1.408 14.592],0
s1,1,0.584337,0.299276,[ 9 99] ; [ 2 14],[ 9.58064516 98.41935484] ; [ 1.41935484 14.58064516],0
n4,1,0.586535,0.295789,[69 40] ; [9 7],[68.016 40.984] ; [9.984 6.016],0
d4,1,0.593892,0.284307,[81 27] ; [11  5],[80.12903226 27.87096774] ; [11.87096774  4.12903226],0
b3,1,0.622797,0.241956,[23 43] ; [3 8],[22.28571429 43.71428571] ; [3.71428571 7.28571429],0
b2,1,0.622797,0.241956,[23 43] ; [3 8],[22.28571429 43.71428571] ; [3.71428571 7.28571429],0
r1,1,0.637502,0.222024,[68 41] ; [9 7],[67.144 41.856] ; [9.856 6.144],0
n6,1,0.653228,0.201854,[68 40] ; [11  5],[68.80645161 39.19354839] ; [10.19354839  5.80645161],0
a8,1,0.671322,0.18006,[10 95] ; [ 1 15],[ 9.54545455 95.45454545] ; [ 1.45454545 14.54545455],0
a6,1,0.700045,0.148425,[62 46] ; [10  6],[62.70967742 45.29032258] ; [9.29032258 6.70967742],0
p11,1,0.70512,0.143201,[49 60] ; [8 8],[49.704 59.296] ; [7.296 8.704],0
d1,1,0.715566,0.132781,[53 56] ; [7 9],[52.32 56.68] ; [7.68 8.32],0
b5,1,0.715566,0.132781,[56 53] ; [9 7],[56.68 52.32] ; [8.32 7.68],0
n1,1,0.717848,0.130564,[19 26] ; [3 3],[19.41176471 25.58823529] ; [2.58823529 3.41176471],0
u3,1,0.724018,0.124675,[18 26] ; [2 2],[18.33333333 25.66666667] ; [1.66666667 2.33333333],0
b1,1,0.767209,0.087633,[57 52] ; [9 7],[57.552 51.448] ; [8.448 7.552],0
p5,1,0.778028,0.079462,[  5 103] ; [ 1 15],[  5.22580645 102.77419355] ; [ 0.77419355 15.22580645],0
p10,1,0.943908,0.00495,[52 54] ; [8 8],[52.13114754 53.86885246] ; [7.86885246 8.13114754],0
