Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.626923,[17  4] ; [31 74],[ 8. 13.] ; [40. 65.],1
u2,1,0.631012,0.23069,[6 6] ; [22 16],[6.72 5.28] ; [21.28 16.72],0
s5,1,0.64132,0.21702,[ 4 15] ; [18 90],[ 3.29133858 15.70866142] ; [18.70866142 89.29133858],0
r1,1,0.755088,0.097305,[14  7] ; [75 32],[14.6015625  6.3984375] ; [74.3984375 32.6015625],0
r2,1,0.827388,0.047547,[18  3] ; [88 17],[17.66666667  3.33333333] ; [88.33333333 16.66666667],0
a7,1,0.832877,0.044527,[13  8] ; [63 43],[12.56692913  8.43307087] ; [63.43307087 42.56692913],0
b1,1,0.902858,0.014897,[11 10] ; [55 53],[10.74418605 10.25581395] ; [55.25581395 52.74418605],0
p10,1,0.946595,0.004487,[ 5 15] ; [26 81],[ 4.88188976 15.11811024] ; [26.11811024 80.88188976],0
s1,1,0.951853,0.003646,[ 1 18] ; [  6 101],[ 1.05555556 17.94444444] ; [  5.94444444 101.05555556],0
v2,1,0.959034,0.002638,[ 8 13] ; [39 65],[ 7.896 13.104] ; [39.104 64.896],0
b5,1,0.973414,0.001111,[11 10] ; [57 51],[11.06976744  9.93023256] ; [56.93023256 51.06976744],0
n4,1,0.984697,0.000368,[13  8] ; [66 41],[12.9609375  8.0390625] ; [66.0390625 40.9609375],0
n5,1,0.990984,0.000128,[12  9] ; [61 46],[11.9765625  9.0234375] ; [61.0234375 45.9765625],0
