Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,19.068884,[14  3] ; [23 63],[ 6.10679612 10.89320388] ; [30.89320388 55.10679612],1
s1,1,0.398056,0.714191,[ 2 16] ; [ 5 83],[ 1.18867925 16.81132075] ; [ 5.81132075 82.18867925],0
d1,1,0.403949,0.69654,[ 8 10] ; [30 58],[ 6.45283019 11.54716981] ; [31.54716981 56.45283019],0
p9,1,0.484159,0.489481,[12  5] ; [53 33],[10.72815534  6.27184466] ; [54.27184466 31.72815534],0
u1,1,0.529846,0.394687,[ 2 16] ; [ 6 82],[ 1.35849057 16.64150943] ; [ 6.64150943 81.35849057],0
d2,1,0.628103,0.234642,[ 7 11] ; [29 59],[ 6.11320755 11.88679245] ; [29.88679245 58.11320755],0
r3,1,0.638802,0.220312,[15  3] ; [69 19],[14.26415094  3.73584906] ; [69.73584906 18.26415094],0
p11,1,0.646207,0.210716,[10  8] ; [54 34],[10.86792453  7.13207547] ; [53.13207547 34.86792453],0
a2,1,0.661559,0.191636,[ 2 16] ; [ 7 81],[ 1.52830189 16.47169811] ; [ 7.47169811 80.52830189],0
p1,1,0.663246,0.189604,[ 1 17] ; [ 3 85],[ 0.67924528 17.32075472] ; [ 3.32075472 84.67924528],0
n2,1,0.737671,0.112185,[4 2] ; [22 15],[3.62790698 2.37209302] ; [22.37209302 14.62790698],0
p4,1,0.752562,0.09939,[ 5 12] ; [29 58],[ 5.55769231 11.44230769] ; [28.44230769 58.55769231],0
n5,1,0.78169,0.076794,[ 6 12] ; [32 55],[ 6.51428571 11.48571429] ; [31.48571429 55.51428571],0
s5,1,0.789337,0.07138,[ 2 16] ; [ 8 80],[ 1.69811321 16.30188679] ; [ 8.30188679 79.69811321],0
p3,1,0.793153,0.068759,[ 4 13] ; [18 69],[ 3.59615385 13.40384615] ; [18.40384615 68.59615385],0
b4,1,0.79933,0.064625,[10  8] ; [46 42],[9.50943396 8.49056604] ; [46.49056604 41.50943396],0
p8,1,0.80256,0.062518,[ 6 11] ; [28 59],[ 5.55769231 11.44230769] ; [28.44230769 58.55769231],0
u3,1,0.814783,0.054878,[2 2] ; [23 18],[2.22222222 1.77777778] ; [22.77777778 18.22222222],0
s2,1,0.853016,0.034325,[ 3 15] ; [13 74],[ 2.74285714 15.25714286] ; [13.25714286 73.74285714],0
a4,1,0.885563,0.020713,[ 5 13] ; [23 65],[ 4.75471698 13.24528302] ; [23.24528302 64.75471698],0
p7,1,0.897086,0.01673,[8 9] ; [39 47],[7.75728155 9.24271845] ; [39.24271845 46.75728155],0
a8,1,0.904935,0.014263,[ 1 17] ; [ 4 78],[ 0.9 17.1] ; [ 4.1 77.9],0
s8,1,0.910797,0.012551,[ 2 16] ; [ 9 79],[ 1.86792453 16.13207547] ; [ 9.13207547 78.86792453],0
s7,1,0.934919,0.006668,[ 2 14] ; [11 72],[ 2.1010101 13.8989899] ; [10.8989899 72.1010101],0
a6,1,1.0,0.0,[9 9] ; [44 44],[9. 9.] ; [44. 44.],0
