Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.323841,[13 78] ; [21 16],[24.171875 66.828125] ; [ 9.828125 27.171875],1
n4,1,0.237397,1.395987,[32 60] ; [17 20],[34.94573643 57.05426357] ; [14.05426357 22.94573643],0
r3,1,0.263608,1.249708,[81 11] ; [35  2],[82.72868217  9.27131783] ; [33.27131783  3.72868217],0
d4,1,0.265037,1.242254,[55 37] ; [26 11],[57.76744186 34.23255814] ; [23.23255814 13.76744186],0
p6,1,0.287712,1.130298,[18 73] ; [10 25],[20.22222222 70.77777778] ; [ 7.77777778 27.22222222],0
b4,1,0.344928,0.892027,[58 34] ; [20 17],[55.62790698 36.37209302] ; [22.37209302 14.62790698],0
a6,1,0.388537,0.743515,[47 45] ; [22 15],[49.20930233 42.79069767] ; [19.79069767 17.20930233],0
p5,1,0.402347,0.701299,[ 4 87] ; [ 3 34],[ 4.9765625 86.0234375] ; [ 2.0234375 34.9765625],0
n6,1,0.409966,0.6789,[55 37] ; [25 12],[57.05426357 34.94573643] ; [22.94573643 14.05426357],0
b1,1,0.447321,0.577431,[39 53] ; [13 24],[37.08527132 54.91472868] ; [14.91472868 22.08527132],0
p9,1,0.469799,0.522448,[57 34] ; [25 11],[58.75590551 32.24409449] ; [23.24409449 12.75590551],0
a4,1,0.479432,0.500156,[20 72] ; [ 6 31],[18.54263566 73.45736434] ; [ 7.45736434 29.54263566],0
a2,1,0.568186,0.325727,[ 3 89] ; [ 2 35],[ 3.56589147 88.43410853] ; [ 1.43410853 35.56589147],0
s1,1,0.569097,0.324196,[ 5 87] ; [ 3 34],[ 5.70542636 86.29457364] ; [ 2.29457364 34.70542636],0
n2,1,0.571091,0.32086,[19  9] ; [7 2],[19.67567568  8.32432432] ; [6.32432432 2.67567568],0
p11,1,0.5819,0.303173,[60 32] ; [26 11],[61.33333333 30.66666667] ; [24.66666667 12.33333333],0
p8,1,0.584851,0.298457,[35 57] ; [16 21],[36.37209302 55.62790698] ; [14.62790698 22.37209302],0
n3,1,0.62434,0.239815,[21  7] ; [6 3],[20.43243243  7.56756757] ; [6.56756757 2.43243243],0
b5,1,0.629717,0.232445,[54 38] ; [20 17],[52.7751938 39.2248062] ; [21.2248062 15.7751938],0
v3,1,0.804157,0.06149,[21 68] ; [ 9 26],[21.53225806 67.46774194] ; [ 8.46774194 26.53225806],0
v2,1,0.822269,0.050458,[35 54] ; [13 22],[34.4516129 54.5483871] ; [13.5483871 21.4516129],0
r2,1,0.831343,0.04536,[77 14] ; [31  5],[77.38582677 13.61417323] ; [30.61417323  5.38582677],0
p4,1,0.925379,0.008772,[34 58] ; [14 23],[34.23255814 57.76744186] ; [13.76744186 23.23255814],0
p1,1,0.936664,0.006315,[ 7 84] ; [ 3 34],[ 7.109375 83.890625] ; [ 2.890625 34.109375],0
d2,1,0.992258,9.4e-05,[10 82] ; [ 4 33],[ 9.98449612 82.01550388] ; [ 4.01550388 32.98449612],0
