Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.581997,[15 47] ; [183 151],[31. 31.] ; [167. 167.],1
v4,1,0.629853,0.232261,[64  3] ; [323  11],[64.66084788  2.33915212] ; [322.33915212  11.66084788],0
a8,1,0.669478,0.182214,[ 7 55] ; [ 40 261],[ 8.02754821 53.97245179] ; [ 38.97245179 262.02754821],0
s1,1,0.777496,0.079854,[ 2 65] ; [  8 326],[ 1.67082294 65.32917706] ; [  8.32917706 325.67082294],0
p1,1,0.790347,0.070681,[ 8 59] ; [ 44 291],[ 8.66666667 58.33333333] ; [ 43.33333333 291.66666667],0
v1,1,0.821091,0.05114,[41 24] ; [202 126],[40.19083969 24.80916031] ; [202.80916031 125.19083969],0
v2,1,0.874994,0.024749,[39 26] ; [199 127],[39.56521739 25.43478261] ; [198.43478261 127.56521739],0
p7,1,0.884384,0.021145,[52 14] ; [265  68],[52.43609023 13.56390977] ; [264.56390977  68.43609023],0
a1,1,0.919064,0.010325,[ 4 63] ; [ 19 317],[ 3.82382134 63.17617866] ; [ 19.17617866 316.82382134],0
s8,1,0.943387,0.005043,[35 31] ; [175 158],[34.73684211 31.26315789] ; [175.26315789 157.73684211],0
n1,1,0.944855,0.004784,[4 6] ; [21 30],[4.09836066 5.90163934] ; [20.90163934 30.09836066],0
u2,1,0.963103,0.00214,[7 5] ; [49 34],[7.07368421 4.92631579] ; [48.92631579 34.07368421],0
v3,1,0.983229,0.000442,[30 35] ; [150 174],[30.07712082 34.92287918] ; [149.92287918 174.07712082],0
