Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.8e-05,16.153846,[ 5 60] ; [16 24],[13. 52.] ; [ 8. 32.],1
p6,1,0.699136,0.149372,[12 53] ; [ 8 29],[12.74509804 52.25490196] ; [ 7.25490196 29.74509804],0
u1,1,0.726311,0.122526,[ 1 64] ; [ 1 39],[ 1.23809524 63.76190476] ; [ 0.76190476 39.23809524],0
n4,1,0.744896,0.10587,[32 33] ; [21 19],[32.80952381 32.19047619] ; [20.19047619 19.80952381],0
a1,1,0.758345,0.094651,[ 6 59] ; [ 3 37],[ 5.57142857 59.42857143] ; [ 3.42857143 36.57142857],0
d5,1,0.818277,0.05279,[34 31] ; [20 20],[33.42857143 31.57142857] ; [20.57142857 19.42857143],0
a7,1,0.831981,0.045012,[36 29] ; [23 17],[36.52380952 28.47619048] ; [22.47619048 17.52380952],0
b1,1,0.847058,0.0372,[37 28] ; [22 18],[36.52380952 28.47619048] ; [22.47619048 17.52380952],0
n3,1,0.850962,0.035303,[16  7] ; [10  5],[15.73684211  7.26315789] ; [10.26315789  4.73684211],0
p5,1,0.869577,0.02696,[ 2 62] ; [ 1 38],[ 1.86407767 62.13592233] ; [ 1.13592233 37.86407767],0
d4,1,0.908241,0.013284,[35 30] ; [22 18],[35.28571429 29.71428571] ; [21.71428571 18.28571429],0
b5,1,0.908241,0.013284,[35 30] ; [22 18],[35.28571429 29.71428571] ; [21.71428571 18.28571429],0
p1,1,0.916229,0.011064,[ 6 58] ; [ 4 36],[ 6.15384615 57.84615385] ; [ 3.84615385 36.15384615],0
a5,1,0.938974,0.005861,[32 33] ; [20 20],[32.19047619 32.80952381] ; [19.80952381 20.19047619],0
v3,1,0.953839,0.003351,[15 47] ; [ 9 29],[14.88 47.12] ; [ 9.12 28.88],0
