Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000675,11.556402,[17  8] ; [24 56],[ 9.76190476 15.23809524] ; [31.23809524 48.76190476],1
d5,1,0.563311,0.334005,[19  7] ; [57 28],[17.8018018  8.1981982] ; [58.1981982 26.8018018],0
b2,1,0.575062,0.314286,[ 6 10] ; [15 35],[ 5.09090909 10.90909091] ; [15.90909091 34.09090909],0
b3,1,0.575062,0.314286,[ 6 10] ; [15 35],[ 5.09090909 10.90909091] ; [15.90909091 34.09090909],0
b5,1,0.577253,0.310697,[14 12] ; [51 34],[15.22522523 10.77477477] ; [49.77477477 35.22522523],0
n4,1,0.63549,0.224689,[13 13] ; [47 38],[14.05405405 11.94594595] ; [45.94594595 39.05405405],0
p6,1,0.645596,0.211498,[ 5 20] ; [13 68],[ 4.24528302 20.75471698] ; [13.75471698 67.24528302],0
d2,1,0.647196,0.209454,[10 16] ; [37 48],[11.00900901 14.99099099] ; [35.99099099 49.00900901],0
d1,1,0.669461,0.182233,[11 15] ; [32 53],[10.07207207 15.92792793] ; [32.92792793 52.07207207],0
s6,1,0.698952,0.149565,[ 9 17] ; [26 59],[ 8.1981982 17.8018018] ; [26.8018018 58.1981982],0
u3,1,0.703004,0.145366,[4 6] ; [15 17],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
d3,1,0.712301,0.135989,[15 11] ; [45 39],[14.18181818 11.81818182] ; [45.81818182 38.18181818],0
s3,1,0.737,0.112781,[ 6 19] ; [23 61],[ 6.65137615 18.34862385] ; [22.34862385 61.65137615],0
u1,1,0.739704,0.110387,[ 2 24] ; [ 5 80],[ 1.63963964 24.36036036] ; [ 5.36036036 79.63963964],0
p7,1,0.744724,0.106018,[13 13] ; [38 44],[12.27777778 13.72222222] ; [38.72222222 43.27777778],0
p11,1,0.748525,0.102774,[15 11] ; [46 39],[14.28828829 11.71171171] ; [46.71171171 38.28828829],0
s4,1,0.788721,0.071809,[ 2 24] ; [ 8 77],[ 2.34234234 23.65765766] ; [ 7.65765766 77.34234234],0
n5,1,0.792769,0.06902,[11 15] ; [38 46],[11.58181818 14.41818182] ; [37.41818182 46.58181818],0
a4,1,0.83388,0.043986,[11 15] ; [34 51],[10.54054054 15.45945946] ; [34.45945946 50.54054054],0
r1,1,0.863107,0.029729,[17  9] ; [54 31],[16.63063063  9.36936937] ; [54.36936937 30.63063063],0
a3,1,0.885926,0.020581,[16 10] ; [53 31],[16.30909091  9.69090909] ; [52.69090909 31.30909091],0
a1,1,0.929271,0.007879,[ 2 24] ; [ 7 78],[ 2.10810811 23.89189189] ; [ 6.89189189 78.10810811],0
p2,1,0.934332,0.006789,[16  9] ; [53 31],[15.82568807  9.17431193] ; [53.17431193 30.82568807],0
n2,1,0.938324,0.005987,[4 3] ; [20 16],[3.90697674 3.09302326] ; [20.09302326 15.90697674],0
