Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.9e-05,17.46814,[130  35] ; [41 37],[116.11111111  48.88888889] ; [54.88888889 23.11111111],1
s8,1,0.115456,2.4779,[ 59 107] ; [21 61],[ 53.5483871 112.4516129] ; [26.4516129 55.5483871],0
v1,1,0.116175,2.468138,[66 94] ; [25 56],[60.41493776 99.58506224] ; [30.58506224 50.41493776],0
n2,1,0.147941,2.093349,[33 11] ; [19 13],[30.10526316 13.89473684] ; [21.89473684 10.10526316],0
r1,1,0.158918,1.984488,[127  38] ; [57 26],[122.41935484  42.58064516] ; [61.58064516 21.41935484],0
v4,1,0.190897,1.71068,[153  10] ; [74  9],[150.41056911  12.58943089] ; [76.58943089  6.41056911],0
s1,1,0.209345,1.575949,[  6 160] ; [ 6 77],[  8. 158.] ; [ 4. 79.],0
n1,1,0.222814,1.486153,[14 31] ; [ 6 26],[11.68831169 33.31168831] ; [ 8.31168831 23.68831169],0
n3,1,0.247114,1.339544,[35  9] ; [21 10],[32.85333333 11.14666667] ; [23.14666667  7.85333333],0
u3,1,0.295509,1.094353,[37 22] ; [17 16],[34.63043478 24.36956522] ; [19.36956522 13.63043478],0
d5,1,0.310959,1.026598,[124  42] ; [66 16],[127.17741935  38.82258065] ; [62.82258065 19.17741935],0
d1,1,0.323737,0.973788,[83 83] ; [47 36],[86.66666667 79.33333333] ; [43.33333333 39.66666667],0
r2,1,0.363205,0.826779,[150  12] ; [74  9],[148.11428571  13.88571429] ; [75.88571429  7.11428571],0
a3,1,0.364865,0.821079,[107  59] ; [48 34],[103.75  62.25] ; [51.25 30.75],0
a4,1,0.401203,0.704717,[ 57 109] ; [33 50],[ 60. 106.] ; [30. 53.],0
s3,1,0.416938,0.658929,[77 87] ; [43 39],[80. 84.] ; [40. 42.],0
p6,1,0.42708,0.630752,[ 46 115] ; [19 61],[ 43.42323651 117.57676349] ; [21.57676349 58.42323651],0
b5,1,0.463075,0.538451,[98 68] ; [53 30],[100.66666667  65.33333333] ; [50.33333333 32.66666667],0
u1,1,0.478189,0.50299,[ 17 149] ; [11 72],[ 18.66666667 147.33333333] ; [ 9.33333333 73.66666667],0
p3,1,0.484695,0.488282,[ 65 101] ; [28 53],[ 62.50202429 103.49797571] ; [30.49797571 50.50202429],0
a7,1,0.506022,0.442285,[124  42] ; [58 24],[121.82258065  44.17741935] ; [60.17741935 21.82258065],0
a6,1,0.515764,0.422355,[107  59] ; [50 33],[104.66666667  61.33333333] ; [52.33333333 30.66666667],0
a1,1,0.530211,0.393987,[  9 157] ; [ 3 80],[  8. 158.] ; [ 4. 79.],0
v3,1,0.640249,0.218417,[ 42 117] ; [22 53],[ 43.48717949 115.51282051] ; [20.51282051 54.48717949],0
b4,1,0.645904,0.211103,[103  63] ; [49 34],[101.33333333  64.66666667] ; [50.66666667 32.33333333],0
u2,1,0.656569,0.197718,[35 24] ; [18 15],[33.98913043 25.01086957] ; [19.01086957 13.98913043],0
s5,1,0.680768,0.169263,[ 44 115] ; [23 53],[ 45.33191489 113.66808511] ; [21.66808511 54.33191489],0
p4,1,0.765791,0.088735,[73 93] ; [34 47],[71.91093117 94.08906883] ; [35.08906883 45.91093117],0
s6,1,0.776935,0.080267,[90 74] ; [46 35],[91.03673469 72.96326531] ; [44.96326531 36.03673469],0
a5,1,0.779612,0.078302,[107  59] ; [52 31],[106.  60.] ; [53. 30.],0
d3,1,0.79872,0.065027,[116  50] ; [56 26],[115.12903226  50.87096774] ; [56.87096774 25.12903226],0
v2,1,0.811618,0.056805,[83 76] ; [42 36],[83.86075949 75.13924051] ; [41.13924051 36.86075949],0
p1,1,0.868728,0.027315,[ 11 152] ; [ 6 76],[ 11.31020408 151.68979592] ; [ 5.68979592 76.31020408],0
s7,1,0.963696,0.002072,[ 57 106] ; [26 49],[ 56.84453782 106.15546218] ; [26.15546218 48.84453782],0
d4,1,1.0,0.0,[136  30] ; [68 15],[136.  30.] ; [68. 15.],0
