Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5.7e-05,16.192638,[110  38] ; [88 80],[92.73417722 55.26582278] ; [105.26582278  62.73417722],1
p11,1,0.086021,2.947301,[115  35] ; [149  28],[121.10091743  28.89908257] ; [142.89908257  34.10091743],0
p1,1,0.144082,2.133818,[ 16 133] ; [ 11 165],[ 12.37846154 136.62153846] ; [ 14.62153846 161.37846154],0
p4,1,0.196002,1.67192,[106  43] ; [114  63],[100.55214724  48.44785276] ; [119.44785276  57.55214724],0
u1,1,0.213008,1.550863,[ 42 108] ; [ 39 138],[ 37.1559633 112.8440367] ; [ 43.8440367 133.1559633],0
p12,1,0.219832,1.505467,[ 18 131] ; [ 14 161],[ 14.71604938 134.28395062] ; [ 17.28395062 157.71604938],0
n5,1,0.220543,1.500838,[124  24] ; [138  38],[119.67901235  28.32098765] ; [142.32098765  33.67901235],0
d4,1,0.222482,1.488287,[139  11] ; [157  20],[135.77981651  14.22018349] ; [160.22018349  16.77981651],0
n6,1,0.226677,1.461591,[132  15] ; [151  26],[128.39814815  18.60185185] ; [154.60185185  22.39814815],0
b3,1,0.240603,1.377056,[45 52] ; [49 78],[40.70535714 56.29464286] ; [53.29464286 73.70535714],0
b2,1,0.240603,1.377056,[45 52] ; [49 78],[40.70535714 56.29464286] ; [53.29464286 73.70535714],0
p3,1,0.266782,1.233216,[93 57] ; [99 78],[88.0733945 61.9266055] ; [103.9266055  73.0733945],0
a6,1,0.302842,1.061639,[104  45] ; [114  63],[99.63803681 49.36196319] ; [118.36196319  58.63803681],0
v4,1,0.311232,1.025442,[146   3] ; [170   7],[144.42944785   4.57055215] ; [171.57055215   5.42944785],0
d3,1,0.312592,1.019694,[115  35] ; [127  50],[111.00917431  38.99082569] ; [130.99082569  46.00917431],0
n4,1,0.313118,1.017479,[121  27] ; [152  25],[124.32  23.68] ; [148.68  28.32],0
u2,1,0.315335,1.008198,[10  8] ; [29 13],[11.7  6.3] ; [27.3 14.7],0
n3,1,0.33309,0.936847,[29 11] ; [23 14],[27.01298701 12.98701299] ; [24.98701299 12.01298701],0
p2,1,0.353911,0.859383,[130  20] ; [146  30],[126.99386503  23.00613497] ; [149.00613497  26.99386503],0
b5,1,0.376085,0.783461,[86 64] ; [110  67],[89.90825688 60.09174312] ; [106.09174312  70.90825688],0
a1,1,0.397812,0.71493,[ 11 139] ; [  9 168],[  9.17431193 140.82568807] ; [ 10.82568807 166.17431193],0
a2,1,0.402874,0.699732,[ 47 103] ; [ 48 129],[ 43.57798165 106.42201835] ; [ 51.42201835 125.57798165],0
v2,1,0.410469,0.677441,[95 52] ; [101  67],[91.46666667 55.53333333] ; [104.53333333  63.46666667],0
r4,1,0.415722,0.662376,[143   7] ; [165  12],[141.28440367   8.71559633] ; [166.71559633  10.28440367],0
a4,1,0.428989,0.625559,[82 68] ; [89 88],[78.44036697 71.55963303] ; [92.55963303 84.44036697],0
v3,1,0.463762,0.536799,[76 70] ; [80 87],[72.76677316 73.23322684] ; [83.23322684 83.76677316],0
d1,1,0.469148,0.523983,[117  33] ; [132  45],[114.22018349  35.77981651] ; [134.77981651  42.22018349],0
b4,1,0.510117,0.433827,[87 63] ; [109  68],[89.90825688 60.09174312] ; [106.09174312  70.90825688],0
r2,1,0.514655,0.424592,[145   4] ; [168   7],[143.94135802   5.05864198] ; [169.05864198   5.94135802],0
r3,1,0.554371,0.349545,[145   5] ; [173   4],[145.87155963   4.12844037] ; [172.12844037   4.87155963],0
b1,1,0.652872,0.202298,[63 87] ; [ 70 107],[61.00917431 88.99082569] ; [ 71.99082569 105.00917431],0
d2,1,0.691429,0.157543,[90 60] ; [110  67],[91.74311927 58.25688073] ; [108.25688073  68.74311927],0
u4,1,0.765827,0.088707,[  5 145] ; [  7 170],[  5.50458716 144.49541284] ; [  6.49541284 170.50458716],0
a7,1,0.766139,0.088464,[106  44] ; [127  49],[107.20858896  42.79141104] ; [125.79141104  50.20858896],0
r1,1,0.80696,0.059707,[130  18] ; [153  23],[129.27160494  18.72839506] ; [153.72839506  22.27160494],0
u3,1,0.858833,0.031634,[13  5] ; [32 11],[13.27868852  4.72131148] ; [31.72131148 11.27868852],0
a8,1,0.972696,0.001171,[ 22 113] ; [ 26 135],[ 21.89189189 113.10810811] ; [ 26.10810811 134.89189189],0
s1,1,0.993892,5.9e-05,[  5 141] ; [  6 170],[  4.98757764 141.01242236] ; [  6.01242236 169.98757764],0
