Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,65.926458,[279   5] ; [20 11],[269.57460317  14.42539683] ; [29.42539683  1.57460317],1
p8,1,0.181413,1.786008,[161 118] ; [14 17],[157.5 121.5] ; [17.5 13.5],0
n3,1,0.224812,1.473386,[42 17] ; [7 6],[40.15277778 18.84722222] ; [8.84722222 4.15277778],0
d2,1,0.260439,1.266422,[121 162] ; [10 21],[118.06687898 164.93312102] ; [12.93312102 18.06687898],0
p2,1,0.263573,1.249891,[240  42] ; [24  7],[237.85303514  44.14696486] ; [26.14696486  4.85303514],0
u2,1,0.267756,1.22821,[49 39] ; [10  4],[50.90196078 37.09803922] ; [8.09803922 5.90196078],0
p7,1,0.293457,1.103694,[181 100] ; [17 14],[178.32692308 102.67307692] ; [19.67307692 11.32692308],0
p4,1,0.33473,0.930511,[172 112] ; [16 15],[169.4984127 114.5015873] ; [18.5015873 12.4984127],0
u1,1,0.364262,0.823148,[ 45 239] ; [ 3 28],[ 43.27619048 240.72380952] ; [ 4.72380952 26.27619048],0
a8,1,0.389062,0.741871,[ 30 221] ; [ 2 28],[ 28.58362989 222.41637011] ; [ 3.41637011 26.58362989],0
a4,1,0.393821,0.72711,[123 160] ; [11 20],[120.77070064 162.22929936] ; [13.22929936 17.77070064],0
d4,1,0.394662,0.724529,[229  55] ; [23  8],[227.2  56.8] ; [24.8  6.2],0
b2,1,0.453544,0.561779,[65 94] ; [ 5 11],[63.6 95.4] ; [6.4 9.6],0
b3,1,0.453544,0.561779,[65 94] ; [ 5 11],[63.6 95.4] ; [6.4 9.6],0
v1,1,0.459496,0.547121,[155 125] ; [15 16],[153.05466238 126.94533762] ; [16.94533762 14.05466238],0
a1,1,0.493169,0.469604,[ 11 273] ; [ 2 29],[ 11.72063492 272.27936508] ; [ 1.27936508 29.72063492],0
s6,1,0.495081,0.465465,[135 144] ; [13 18],[133.2 145.8] ; [14.8 16.2],0
s4,1,0.52485,0.404352,[ 34 246] ; [ 5 26],[ 35.11254019 244.88745981] ; [ 3.88745981 27.11254019],0
n5,1,0.546124,0.364307,[214  68] ; [22  9],[212.62619808  69.37380192] ; [23.37380192  7.62619808],0
s8,1,0.580466,0.305481,[ 78 205] ; [10 21],[ 79.31210191 203.68789809] ; [ 8.68789809 22.31210191],0
n1,1,0.617135,0.249915,[18 42] ; [ 3 10],[17.26027397 42.73972603] ; [3.73972603 9.26027397],0
p12,1,0.717609,0.130796,[ 14 269] ; [ 2 29],[ 14.42038217 268.57961783] ; [ 1.57961783 29.42038217],0
n2,1,0.7239,0.124786,[40 20] ; [8 5],[39.45205479 20.54794521] ; [8.54794521 4.45205479],0
p1,1,0.76165,0.092,[ 23 261] ; [ 3 28],[ 23.44126984 260.55873016] ; [ 2.55873016 28.44126984],0
p11,1,0.837078,0.042284,[234  50] ; [26  5],[234.41269841  49.58730159] ; [25.58730159  5.41269841],0
b4,1,0.843484,0.038982,[161 123] ; [17 14],[160.48253968 123.51746032] ; [17.51746032 13.48253968],0
p9,1,0.856031,0.032916,[267  16] ; [29  2],[266.77707006  16.22292994] ; [29.22292994  1.77707006],0
s2,1,0.938998,0.005857,[ 44 238] ; [ 5 26],[ 44.14696486 237.85303514] ; [ 4.85303514 26.14696486],0
s5,1,0.939279,0.005803,[ 70 208] ; [ 8 23],[ 70.17475728 207.82524272] ; [ 7.82524272 23.17475728],0
s7,1,0.950481,0.003857,[ 85 184] ; [ 9 20],[ 84.85234899 184.14765101] ; [ 9.14765101 19.85234899],0
