Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.0,[85 13] ; [35 35],[70. 28.] ; [50. 20.],1
u1,1,0.205903,1.6,[ 5 93] ; [ 1 69],[ 3.5 94.5] ; [ 2.5 67.5],0
n5,1,0.213169,1.549773,[60 36] ; [37 33],[56.09638554 39.90361446] ; [40.90361446 29.09638554],0
s4,1,0.22463,1.474544,[17 78] ; [18 52],[20.15151515 74.84848485] ; [14.84848485 55.15151515],0
u2,1,0.259582,1.270985,[27 23] ; [20 27],[24.22680412 25.77319588] ; [22.77319588 24.22680412],0
n4,1,0.2988,1.079544,[55 42] ; [34 36],[51.69461078 45.30538922] ; [37.30538922 32.69461078],0
p7,1,0.329986,0.948954,[48 46] ; [29 38],[44.95652174 49.04347826] ; [32.04347826 34.95652174],0
n1,1,0.344732,0.892754,[11 22] ; [ 5 18],[ 9.42857143 23.57142857] ; [ 6.57142857 16.42857143],0
p12,1,0.405372,0.692334,[ 2 95] ; [ 3 67],[ 2.90419162 94.09580838] ; [ 2.09580838 67.90419162],0
v3,1,0.417405,0.657609,[21 72] ; [12 57],[18.94444444 74.05555556] ; [14.05555556 54.94444444],0
a4,1,0.471021,0.51958,[15 83] ; [ 8 62],[13.41666667 84.58333333] ; [ 9.58333333 60.41666667],0
b1,1,0.491609,0.473003,[43 55] ; [27 43],[40.83333333 57.16666667] ; [29.16666667 40.83333333],0
n6,1,0.519961,0.41397,[73 25] ; [49 21],[71.16666667 26.83333333] ; [50.83333333 19.16666667],0
b5,1,0.540166,0.375233,[57 41] ; [44 26],[58.91666667 39.08333333] ; [42.08333333 27.91666667],0
n2,1,0.544357,0.367523,[22 10] ; [14  9],[20.94545455 11.05454545] ; [15.05454545  7.94545455],0
p11,1,0.546217,0.364138,[66 32] ; [44 26],[64.16666667 33.83333333] ; [45.83333333 24.16666667],0
p8,1,0.589544,0.291058,[41 57] ; [26 43],[39.31736527 58.68263473] ; [27.68263473 41.31736527],0
a8,1,0.599554,0.275668,[ 9 84] ; [ 8 57],[10.00632911 82.99367089] ; [ 6.99367089 58.00632911],0
p6,1,0.617677,0.249147,[24 74] ; [19 49],[25.38554217 72.61445783] ; [17.61445783 50.38554217],0
p9,1,0.71809,0.13033,[60 36] ; [40 27],[58.89570552 37.10429448] ; [41.10429448 25.89570552],0
b4,1,0.808442,0.058776,[62 36] ; [43 27],[61.25 36.75] ; [43.75 26.25],0
p1,1,0.918424,0.01049,[ 8 89] ; [ 6 63],[ 8.18072289 88.81927711] ; [ 5.81927711 63.18072289],0
d2,1,0.946072,0.004575,[24 73] ; [17 53],[23.81437126 73.18562874] ; [17.18562874 52.81437126],0
p2,1,0.980439,0.000601,[68 30] ; [48 21],[68.07185629 29.92814371] ; [47.92814371 21.07185629],0
n3,1,0.984152,0.000395,[20 13] ; [14  9],[20.03571429 12.96428571] ; [13.96428571  9.03571429],0
