Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.2e-05,18.027053,[62 45] ; [ 3 23],[52.29323308 54.70676692] ; [12.70676692 13.29323308],1
p7,1,0.08547,2.957684,[75 30] ; [14 12],[71.33587786 33.66412214] ; [17.66412214  8.33587786],0
n1,1,0.104475,2.635862,[20  9] ; [4 6],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
n2,1,0.125952,2.341697,[25  5] ; [6 4],[23.25  6.75] ; [7.75 2.25],0
p10,1,0.154183,2.030372,[90 16] ; [19  7],[87.53030303 18.46969697] ; [21.46969697  4.53030303],0
n3,1,0.194787,1.681034,[21  8] ; [5 5],[19.33333333  9.66666667] ; [6.66666667 3.33333333],0
s2,1,0.213289,1.548958,[79 28] ; [16 10],[76.42857143 30.57142857] ; [18.57142857  7.42857143],0
a2,1,0.215926,1.531241,[13 94] ; [ 1 25],[11.26315789 95.73684211] ; [ 2.73684211 23.26315789],0
p2,1,0.24629,1.344225,[88 18] ; [19  7],[85.92424242 20.07575758] ; [21.07575758  4.92424242],0
u1,1,0.304369,1.054955,[11 96] ; [ 1 25],[ 9.65413534 97.34586466] ; [ 2.34586466 23.65413534],0
p9,1,0.353616,0.860438,[93 13] ; [21  5],[91.54545455 14.45454545] ; [22.45454545  3.54545455],0
n4,1,0.440025,0.596216,[92 14] ; [24  2],[93.15151515 12.84848485] ; [22.84848485  3.15151515],0
b1,1,0.455332,0.557345,[53 54] ; [15 11],[54.70676692 52.29323308] ; [13.29323308 12.70676692],0
s5,1,0.485431,0.486638,[47 55] ; [10 16],[45.421875 56.578125] ; [11.578125 14.421875],0
n5,1,0.496546,0.462312,[88 18] ; [23  3],[89.13636364 16.86363636] ; [21.86363636  4.13636364],0
s6,1,0.497668,0.459906,[86 18] ; [20  6],[84.8 19.2] ; [21.2  4.8],0
b4,1,0.50839,0.437379,[53 54] ; [11 15],[51.4887218 55.5112782] ; [12.5112782 13.4887218],0
a1,1,0.508578,0.436992,[ 8 99] ; [ 1 25],[ 7.2406015 99.7593985] ; [ 1.7593985 24.2406015],0
p12,1,0.518839,0.4162,[ 8 97] ; [ 3 23],[ 8.81679389 96.18320611] ; [ 2.18320611 23.81679389],0
u2,1,0.52511,0.403846,[8 5] ; [6 2],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
p8,1,0.538822,0.377728,[53 51] ; [15 11],[54.4 49.6] ; [13.6 12.4],0
b5,1,0.576614,0.311741,[47 60] ; [13 13],[48.27067669 58.72932331] ; [11.72932331 14.27067669],0
p5,1,0.613617,0.254941,[17 89] ; [ 3 22],[16.18320611 89.81679389] ; [ 3.81679389 21.18320611],0
a8,1,0.690837,0.158181,[15 88] ; [ 3 23],[14.37209302 88.62790698] ; [ 3.62790698 22.37209302],0
u3,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
s4,1,0.727236,0.121665,[28 78] ; [ 6 20],[27.3030303 78.6969697] ; [ 6.6969697 19.3030303],0
v1,1,0.752149,0.099734,[59 44] ; [14 12],[58.28682171 44.71317829] ; [14.71317829 11.28682171],0
s3,1,0.781126,0.077202,[81 26] ; [19  7],[80.45112782 26.54887218] ; [19.54887218  6.45112782],0
b2,1,0.886743,0.020285,[40 39] ; [11 10],[40.29 38.71] ; [10.71 10.29],0
b3,1,0.886743,0.020285,[40 39] ; [11 10],[40.29 38.71] ; [10.71 10.29],0
s8,1,0.909452,0.012934,[77 30] ; [19  7],[77.23308271 29.76691729] ; [18.76691729  7.23308271],0
a6,1,0.997242,1.2e-05,[37 70] ; [ 9 17],[37.0075188 69.9924812] ; [ 8.9924812 17.0075188],0
