Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,77.431363,[225  40] ; [76 93],[183.79032258  81.20967742] ; [117.20967742  51.79032258],1
p5,1,0.029646,4.729689,[ 42 233] ; [ 14 156],[ 34.60674157 240.39325843] ; [ 21.39325843 148.60674157],0
s5,1,0.038899,4.265276,[136 128] ; [69 98],[125.56844548 138.43155452] ; [79.43155452 87.56844548],0
r4,1,0.043224,4.086627,[264  16] ; [155  19],[258.41409692  21.58590308] ; [160.58590308  13.41409692],0
p7,1,0.045982,3.98224,[191  80] ; [101  64],[181.49541284  89.50458716] ; [110.50458716  54.49541284],0
u3,1,0.057596,3.605284,[42 14] ; [35 25],[37.17241379 18.82758621] ; [39.82758621 20.17241379],0
a4,1,0.090967,2.85717,[141 139] ; [ 73 100],[132.27373068 147.72626932] ; [81.72626932 91.27373068],0
p12,1,0.096735,2.758563,[ 35 243] ; [ 13 158],[ 29.71937639 248.28062361] ; [ 18.28062361 152.71937639],0
r2,1,0.139312,2.185539,[270   7] ; [165   9],[267.172949   9.827051] ; [167.827051   6.172949],0
u1,1,0.14061,2.171272,[ 68 212] ; [ 32 142],[ 61.67400881 218.32599119] ; [ 38.32599119 135.67400881],0
p1,1,0.148621,2.086346,[ 29 249] ; [ 11 160],[ 24.76614699 253.23385301] ; [ 15.23385301 155.76614699],0
r1,1,0.17805,1.813825,[234  44] ; [137  36],[228.68736142  49.31263858] ; [142.31263858  30.68736142],0
n2,1,0.203222,1.619063,[42 15] ; [33  6],[44.53125 12.46875] ; [30.46875  8.53125],0
b4,1,0.225182,1.471041,[156 124] ; [107  67],[162.20264317 117.79735683] ; [100.79735683  73.20264317],0
p11,1,0.256351,1.288357,[222  58] ; [130  44],[217.09251101  62.90748899] ; [134.90748899  39.09251101],0
a2,1,0.264153,1.246859,[ 81 199] ; [ 42 132],[ 75.85903084 204.14096916] ; [ 47.14096916 126.85903084],0
b1,1,0.277772,1.177956,[119 161] ; [ 65 109],[113.48017621 166.51982379] ; [ 70.51982379 103.48017621],0
p2,1,0.296338,1.090599,[237  42] ; [138  32],[233.01781737  45.98218263] ; [141.98218263  28.01781737],0
s1,1,0.35675,0.849301,[ 11 267] ; [ 10 161],[ 13.00222717 264.99777283] ; [  7.99777283 163.00222717],0
a8,1,0.467997,0.526702,[ 44 214] ; [ 23 137],[ 41.35406699 216.64593301] ; [ 25.64593301 134.35406699],0
a6,1,0.495192,0.465224,[184  95] ; [108  64],[180.63858093  98.36141907] ; [111.36141907  60.63858093],0
n3,1,0.50819,0.437792,[42 15] ; [27 13],[40.54639175 16.45360825] ; [28.45360825 11.54639175],0
b5,1,0.552089,0.353588,[172 108] ; [102  72],[168.98678414 111.01321586] ; [105.01321586  68.98678414],0
d3,1,0.662097,0.190986,[196  84] ; [123  48],[198.04878049  81.95121951] ; [120.95121951  50.04878049],0
s4,1,0.723228,0.125421,[ 63 215] ; [ 41 129],[ 64.53571429 213.46428571] ; [ 39.46428571 130.53571429],0
d4,1,0.749728,0.10176,[243  36] ; [148  24],[241.88248337  37.11751663] ; [149.11751663  22.88248337],0
u2,1,0.758065,0.094878,[34 21] ; [36 25],[33.18965517 21.81034483] ; [36.81034483 24.18965517],0
a1,1,0.914128,0.011628,[ 17 263] ; [ 11 163],[ 17.26872247 262.73127753] ; [ 10.73127753 163.26872247],0
