Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.52,[13 37] ; [36 12],[25. 25.] ; [24. 24.],1
a6,1,0.20001,1.642299,[27 25] ; [31 17],[30.16 21.84] ; [27.84 20.16],0
p1,1,0.252341,1.310294,[ 3 48] ; [ 6 42],[ 4.63636364 46.36363636] ; [ 4.36363636 43.63636364],0
n6,1,0.257765,1.280719,[36 16] ; [38 10],[38.48 13.52] ; [35.52 12.48],0
u2,1,0.265116,1.241842,[10 14] ; [9 6],[11.69230769 12.30769231] ; [7.30769231 7.69230769],0
a2,1,0.271197,1.210681,[ 4 48] ; [ 7 41],[ 5.72 46.28] ; [ 5.28 42.72],0
r2,1,0.271841,1.207433,[41 10] ; [39  5],[42.94736842  8.05263158] ; [37.05263158  6.94736842],0
r3,1,0.278333,1.175214,[44  8] ; [44  4],[45.76  6.24] ; [42.24  5.76],0
p8,1,0.279816,1.167983,[18 32] ; [22 25],[20.6185567 29.3814433] ; [19.3814433 27.6185567],0
d5,1,0.294507,1.098901,[34 18] ; [36 12],[36.4 15.6] ; [33.6 14.4],0
n2,1,0.311405,1.024707,[13  2] ; [10  4],[11.89655172  3.10344828] ; [11.10344828  2.89655172],0
s1,1,0.331397,0.94343,[ 2 50] ; [ 4 43],[ 3.15151515 48.84848485] ; [ 2.84848485 44.15151515],0
n1,1,0.343446,0.897527,[6 9] ; [7 5],[7.22222222 7.77777778] ; [5.77777778 6.22222222],0
p9,1,0.367804,0.81107,[40 11] ; [41  7],[41.72727273  9.27272727] ; [39.27272727  8.72727273],0
a4,1,0.484642,0.4884,[14 38] ; [16 32],[15.6 36.4] ; [14.4 33.6],0
d4,1,0.520912,0.412088,[36 16] ; [36 12],[37.44 14.56] ; [34.56 13.44],0
b2,1,0.55733,0.344348,[ 8 22] ; [12 24],[ 9.09090909 20.90909091] ; [10.90909091 25.09090909],0
b3,1,0.55733,0.344348,[ 8 22] ; [12 24],[ 9.09090909 20.90909091] ; [10.90909091 25.09090909],0
d3,1,0.57325,0.317275,[30 22] ; [25 23],[28.6 23.4] ; [26.4 21.6],0
b5,1,0.609111,0.261471,[31 21] ; [31 17],[32.24 19.76] ; [29.76 18.24],0
p12,1,0.615616,0.252078,[ 3 49] ; [ 4 44],[ 3.64 48.36] ; [ 3.36 44.64],0
v1,1,0.618676,0.247732,[23 27] ; [23 22],[24.21052632 25.78947368] ; [21.78947368 23.21052632],0
s4,1,0.643902,0.213675,[12 40] ; [13 35],[13. 39.] ; [12. 36.],0
u3,1,0.648474,0.207829,[11 13] ; [8 7],[11.69230769 12.30769231] ; [7.30769231 7.69230769],0
a8,1,0.669688,0.181967,[ 7 44] ; [ 5 41],[ 6.30927835 44.69072165] ; [ 5.69072165 40.30927835],0
u1,1,0.713351,0.134953,[ 3 49] ; [ 2 46],[ 2.6 49.4] ; [ 2.4 45.6],0
s5,1,0.851902,0.034854,[17 32] ; [15 26],[17.42222222 31.57777778] ; [14.57777778 26.42222222],0
d2,1,0.896385,0.01696,[21 31] ; [20 28],[21.32 30.68] ; [19.68 28.32],0
a7,1,0.896385,0.01696,[31 21] ; [28 20],[30.68 21.32] ; [28.32 19.68],0
a1,1,0.90603,0.013935,[ 4 48] ; [ 4 44],[ 4.16 47.84] ; [ 3.84 44.16],0
n3,1,0.908697,0.013152,[11  4] ; [10  4],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
b1,1,0.948264,0.00421,[22 30] ; [20 28],[21.84 30.16] ; [20.16 27.84],0
