Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.101981,2.674286,[21 54] ; [18 24],[25. 50.] ; [14. 28.],0
v1,1,0.287359,1.131952,[29 42] ; [21 20],[31.69642857 39.30357143] ; [18.30357143 22.69642857],0
p3,1,0.304155,1.055889,[30 44] ; [13 29],[27.43103448 46.56896552] ; [15.56896552 26.43103448],0
p4,1,0.327693,0.957992,[34 41] ; [23 19],[36.53846154 38.46153846] ; [20.46153846 21.53846154],0
p8,1,0.331359,0.943581,[30 44] ; [20 20],[32.45614035 41.54385965] ; [17.54385965 22.45614035],0
p6,1,0.38159,0.765574,[16 57] ; [12 29],[17.92982456 55.07017544] ; [10.07017544 30.92982456],0
r2,1,0.388965,0.742176,[71  4] ; [38  4],[69.87179487  5.12820513] ; [39.12820513  2.87179487],0
r4,1,0.439748,0.596939,[60 15] ; [36  6],[61.53846154 13.46153846] ; [34.46153846  7.53846154],0
p12,1,0.440796,0.59421,[ 4 70] ; [ 1 41],[ 3.18965517 70.81034483] ; [ 1.81034483 40.18965517],0
a1,1,0.448809,0.573658,[ 4 71] ; [ 1 41],[ 3.20512821 71.79487179] ; [ 1.79487179 40.20512821],0
s1,1,0.463099,0.538394,[ 4 71] ; [ 1 40],[ 3.23275862 71.76724138] ; [ 1.76724138 39.23275862],0
p10,1,0.484293,0.489181,[50 22] ; [31 10],[51.61061947 20.38938053] ; [29.38938053 11.61061947],0
s6,1,0.512484,0.428992,[56 18] ; [34  8],[57.4137931 16.5862069] ; [32.5862069  9.4137931],0
v2,1,0.596523,0.280271,[33 35] ; [21 18],[34.31775701 33.68224299] ; [19.68224299 19.31775701],0
p5,1,0.641786,0.216414,[ 3 70] ; [ 1 40],[ 2.56140351 70.43859649] ; [ 1.43859649 39.56140351],0
v3,1,0.653409,0.20163,[20 49] ; [10 30],[18.99082569 50.00917431] ; [11.00917431 28.99082569],0
a5,1,0.682127,0.167742,[44 31] ; [23 19],[42.94871795 32.05128205] ; [24.05128205 17.94871795],0
a6,1,0.682664,0.167143,[49 26] ; [29 13],[50. 25.] ; [28. 14.],0
v4,1,0.696141,0.152518,[67  7] ; [38  3],[67.56521739  6.43478261] ; [37.43478261  3.56521739],0
b3,1,0.70725,0.141039,[12 23] ; [ 9 14],[12.67241379 22.32758621] ; [ 8.32758621 14.67241379],0
b2,1,0.70725,0.141039,[12 23] ; [ 9 14],[12.67241379 22.32758621] ; [ 8.32758621 14.67241379],0
a4,1,0.710744,0.137535,[26 49] ; [16 26],[26.92307692 48.07692308] ; [15.07692308 26.92307692],0
d3,1,0.710744,0.137535,[49 26] ; [26 16],[48.07692308 26.92307692] ; [26.92307692 15.07692308],0
b5,1,0.711677,0.136608,[42 33] ; [25 17],[42.94871795 32.05128205] ; [24.05128205 17.94871795],0
s2,1,0.734221,0.115271,[55 20] ; [32 10],[55.76923077 19.23076923] ; [31.23076923 10.76923077],0
a2,1,0.773635,0.082727,[11 64] ; [ 7 35],[11.53846154 63.46153846] ; [ 6.46153846 35.53846154],0
p2,1,0.823474,0.049764,[55 19] ; [32 10],[55.5 18.5] ; [31.5 10.5],0
u1,1,0.845034,0.038204,[ 8 67] ; [ 4 38],[ 7.69230769 67.30769231] ; [ 4.30769231 37.69230769],0
a3,1,0.891677,0.018546,[45 29] ; [25 17],[44.65517241 29.34482759] ; [25.34482759 16.65517241],0
d2,1,0.904811,0.014301,[33 42] ; [18 24],[32.69230769 42.30769231] ; [18.30769231 23.69230769],0
n3,1,0.904973,0.014252,[21  7] ; [11  4],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
n2,1,0.948238,0.004215,[21  8] ; [11  4],[21.09090909  7.90909091] ; [10.90909091  4.09090909],0
b4,1,0.951403,0.003714,[46 29] ; [26 16],[46.15384615 28.84615385] ; [25.84615385 16.15384615],0
p9,1,0.973379,0.001114,[56 16] ; [32  9],[56.07079646 15.92920354] ; [31.92920354  9.07079646],0
u3,1,0.977225,0.000815,[18 10] ; [11  6],[18.04444444  9.95555556] ; [10.95555556  6.04444444],0
s4,1,1.0,0.0,[25 50] ; [14 28],[25. 50.] ; [14. 28.],0
