Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,27.149638,[  7 111] ; [10 12],[ 14.32857143 103.67142857] ; [ 2.67142857 19.32857143],1
p12,1,0.803351,0.062007,[  7 112] ; [ 1 21],[  6.75177305 112.24822695] ; [ 1.24822695 20.75177305],0
b4,1,0.832761,0.044589,[68 52] ; [13  9],[68.45070423 51.54929577] ; [12.54929577  9.45070423],0
d1,1,0.859766,0.031213,[57 63] ; [10 12],[56.61971831 63.38028169] ; [10.38028169 11.61971831],0
n5,1,0.865151,0.028839,[72 46] ; [13  9],[71.64285714 46.35714286] ; [13.35714286  8.64285714],0
a7,1,0.865186,0.028824,[68 51] ; [13  9],[68.36170213 50.63829787] ; [12.63829787  9.36170213],0
a5,1,0.889553,0.019285,[69 51] ; [13  9],[69.29577465 50.70422535] ; [12.70422535  9.29577465],0
s3,1,0.931331,0.007425,[46 72] ; [ 8 12],[46.17391304 71.82608696] ; [ 7.82608696 12.17391304],0
a8,1,0.932761,0.007119,[ 11 106] ; [ 2 18],[ 11.10218978 105.89781022] ; [ 1.89781022 18.10218978],0
b5,1,0.947152,0.004394,[70 50] ; [13  9],[70.14084507 49.85915493] ; [12.85915493  9.14084507],0
s7,1,0.957838,0.002795,[37 76] ; [ 7 14],[37.10447761 75.89552239] ; [ 6.89552239 14.10447761],0
