Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.62125,[108 154] ; [16 89],[ 88.52316076 173.47683924] ; [35.47683924 69.52316076],1
p6,1,0.444881,0.58366,[ 49 212] ; [16 88],[ 46.47945205 214.52054795] ; [18.52054795 85.47945205],0
n4,1,0.44958,0.571709,[182  86] ; [67 38],[178.90616622  89.09383378] ; [70.09383378 34.90616622],0
u3,1,0.454777,0.558719,[43 44] ; [21 16],[44.90322581 42.09677419] ; [19.09677419 17.90322581],0
p5,1,0.463359,0.537768,[  9 259] ; [  2 102],[  7.92473118 260.07526882] ; [  3.07526882 100.92473118],0
a5,1,0.478814,0.501564,[177  92] ; [65 40],[174.05882353  94.94117647] ; [67.94117647 37.05882353],0
a2,1,0.488569,0.479675,[ 48 221] ; [22 83],[ 50.34759358 218.65240642] ; [19.65240642 85.34759358],0
p12,1,0.509609,0.43487,[ 11 253] ; [ 6 98],[ 12.19565217 251.80434783] ; [ 4.80434783 99.19565217],0
n5,1,0.510124,0.433813,[170  97] ; [63 42],[167.23387097  99.76612903] ; [65.76612903 39.23387097],0
b2,1,0.514258,0.425393,[53 88] ; [20 41],[50.95544554 90.04455446] ; [22.04455446 38.95544554],0
b3,1,0.514258,0.425393,[53 88] ; [20 41],[50.95544554 90.04455446] ; [22.04455446 38.95544554],0
a3,1,0.529189,0.395949,[182  85] ; [68 37],[179.43548387  87.56451613] ; [70.56451613 34.43548387],0
n2,1,0.563053,0.334445,[56 18] ; [29 12],[54.69565217 19.30434783] ; [30.30434783 10.69565217],0
s5,1,0.589938,0.290441,[ 68 191] ; [23 75],[ 66.01960784 192.98039216] ; [24.98039216 73.01960784],0
d4,1,0.615522,0.252211,[215  53] ; [81 23],[213.24731183  54.75268817] ; [82.75268817 21.24731183],0
s8,1,0.632854,0.228211,[ 95 174] ; [34 70],[ 93.03217158 175.96782842] ; [35.96782842 68.03217158],0
u1,1,0.671557,0.179786,[ 34 235] ; [15 90],[ 35.24331551 233.75668449] ; [13.75668449 91.24331551],0
p3,1,0.694482,0.154276,[ 62 207] ; [22 82],[ 60.57908847 208.42091153] ; [23.42091153 80.57908847],0
b4,1,0.728867,0.120155,[159 110] ; [60 45],[157.51604278 111.48395722] ; [61.48395722 43.51604278],0
b5,1,0.777405,0.079921,[170  99] ; [68 37],[171.18181818  97.81818182] ; [66.81818182 38.18181818],0
s7,1,0.799154,0.064741,[ 98 163] ; [39 61],[ 99.0498615 161.9501385] ; [37.9501385 62.0498615],0
u2,1,0.815952,0.054175,[44 41] ; [20 17],[44.59016393 40.40983607] ; [19.40983607 17.59016393],0
d1,1,0.885967,0.020566,[131 138] ; [52 53],[131.62299465 137.37700535] ; [51.37700535 53.62299465],0
v2,1,0.886229,0.020471,[134 120] ; [52 45],[134.5982906 119.4017094] ; [51.4017094 45.5982906],0
v3,1,0.92043,0.009978,[ 88 175] ; [33 64],[ 88.39722222 174.60277778] ; [32.60277778 64.39722222],0
s2,1,0.945747,0.004631,[114 153] ; [44 60],[113.70889488 153.29110512] ; [44.29110512 59.70889488],0
