Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1.1e-05,19.322093,[48 31] ; [ 2 21],[38.7254902 40.2745098] ; [11.2745098 11.7254902],1
s6,1,0.178237,1.812259,[55 18] ; [14  9],[52.46875 20.53125] ; [16.53125  6.46875],0
v2,1,0.192105,1.701396,[47 30] ; [10 12],[44.33333333 32.66666667] ; [12.66666667  9.33333333],0
n2,1,0.223216,1.483575,[17  8] ; [8 1],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
p4,1,0.25747,1.282309,[41 37] ; [ 9 14],[38.61386139 39.38613861] ; [11.38613861 11.61386139],0
s1,1,0.28703,1.133499,[ 5 71] ; [ 3 19],[ 6.20408163 69.79591837] ; [ 1.79591837 20.20408163],0
v3,1,0.329507,0.950835,[33 43] ; [ 7 15],[31.02040816 44.97959184] ; [ 8.97959184 13.02040816],0
s2,1,0.343344,0.897907,[46 32] ; [11 12],[44.01980198 33.98019802] ; [12.98019802 10.01980198],0
p10,1,0.368455,0.808868,[47 28] ; [12 11],[45.15306122 29.84693878] ; [13.84693878  9.15306122],0
p9,1,0.376768,0.781221,[53 22] ; [14  9],[51.2755102 23.7244898] ; [15.7244898  7.2755102],0
n4,1,0.392715,0.730519,[53 24] ; [13  9],[51.33333333 25.66666667] ; [14.66666667  7.33333333],0
n6,1,0.401251,0.704575,[55 22] ; [13  8],[53.42857143 23.57142857] ; [14.57142857  6.42857143],0
u3,1,0.548506,0.36,[12  8] ; [8 8],[11.11111111  8.88888889] ; [8.88888889 7.11111111],0
s3,1,0.549749,0.357767,[41 38] ; [13  9],[42.23762376 36.76237624] ; [11.76237624 10.23762376],0
b1,1,0.576535,0.311869,[43 36] ; [11 12],[41.82352941 37.17647059] ; [12.17647059 10.82352941],0
n3,1,0.586289,0.296178,[19  6] ; [6 3],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
u2,1,0.667451,0.184598,[ 9 10] ; [6 9],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
a1,1,0.692787,0.156085,[ 5 74] ; [ 2 21],[ 5.42156863 73.57843137] ; [ 1.57843137 21.42156863],0
p1,1,0.706135,0.142169,[ 8 70] ; [ 3 20],[ 8.4950495 69.5049505] ; [ 2.5049505 20.4950495],0
a8,1,0.821535,0.050882,[ 9 60] ; [ 3 17],[ 9.30337079 59.69662921] ; [ 2.69662921 17.30337079],0
p7,1,0.868902,0.027243,[39 36] ; [11 11],[38.65979381 36.34020619] ; [11.34020619 10.65979381],0
p8,1,0.889755,0.019214,[28 49] ; [ 8 15],[27.72 49.28] ; [ 8.28 14.72],0
b2,1,0.911944,0.012229,[12 25] ; [4 9],[11.84 25.16] ; [4.16 8.84],0
b3,1,0.911944,0.012229,[12 25] ; [4 9],[11.84 25.16] ; [4.16 8.84],0
n5,1,0.954202,0.003298,[52 25] ; [15  7],[52.11111111 24.88888889] ; [14.88888889  7.11111111],0
n1,1,0.981629,0.00053,[11 14] ; [4 5],[11.02941176 13.97058824] ; [3.97058824 5.02941176],0
