Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.015768,5.828571,[14  3] ; [16 18],[10.  7.] ; [20. 14.],0
d2,1,0.301204,1.068855,[ 5 13] ; [14 19],[ 6.70588235 11.29411765] ; [12.29411765 20.70588235],0
a4,1,0.312544,1.019896,[ 8 10] ; [10 23],[ 6.35294118 11.64705882] ; [11.64705882 21.35294118],0
a5,1,0.334606,0.93099,[11  7] ; [16 18],[9.34615385 8.65384615] ; [17.65384615 16.34615385],0
a6,1,0.334606,0.93099,[ 7 11] ; [18 16],[8.65384615 9.34615385] ; [16.34615385 17.65384615],0
n6,1,0.344354,0.894156,[9 9] ; [12 21],[ 7.41176471 10.58823529] ; [13.58823529 19.41176471],0
n5,1,0.355978,0.852033,[11  7] ; [25  9],[12.46153846  5.53846154] ; [23.53846154 10.46153846],0
a2,1,0.399679,0.709292,[ 3 15] ; [ 3 31],[ 2.07692308 15.92307692] ; [ 3.92307692 30.07692308],0
d1,1,0.488247,0.480387,[ 7 11] ; [10 24],[ 5.88461538 12.11538462] ; [11.11538462 22.88461538],0
p4,1,0.514453,0.425,[ 6 11] ; [ 9 25],[ 5. 12.] ; [10. 24.],0
p5,1,0.52145,0.411025,[ 2 16] ; [ 2 31],[ 1.41176471 16.58823529] ; [ 2.58823529 30.41176471],0
v2,1,0.526742,0.400673,[ 4 14] ; [ 5 28],[ 3.17647059 14.82352941] ; [ 5.82352941 27.17647059],0
s4,1,0.534296,0.386215,[ 2 16] ; [ 6 28],[ 2.76923077 15.23076923] ; [ 5.23076923 28.76923077],0
a8,1,0.54356,0.368982,[ 1 14] ; [ 1 33],[ 0.6122449 14.3877551] ; [ 1.3877551 32.6122449],0
p9,1,0.551323,0.354952,[ 6 12] ; [13 18],[ 6.97959184 11.02040816] ; [12.02040816 18.97959184],0
b5,1,0.57253,0.318468,[ 7 11] ; [16 18],[ 7.96153846 10.03846154] ; [15.03846154 18.96153846],0
b1,1,0.580218,0.305882,[12  6] ; [20 14],[11.07692308  6.92307692] ; [20.92307692 13.07692308],0
p12,1,0.640939,0.217516,[ 1 17] ; [ 1 33],[ 0.69230769 17.30769231] ; [ 1.30769231 32.69230769],0
s2,1,0.717859,0.130553,[ 2 16] ; [ 5 29],[ 2.42307692 15.57692308] ; [ 4.57692308 29.42307692],0
a1,1,0.717859,0.130553,[ 2 16] ; [ 5 29],[ 2.42307692 15.57692308] ; [ 4.57692308 29.42307692],0
p7,1,0.720048,0.128447,[ 6 11] ; [10 23],[ 5.44 11.56] ; [10.56 22.44],0
p3,1,0.736429,0.11329,[ 5 13] ; [ 8 26],[ 4.5 13.5] ; [ 8.5 25.5],0
p11,1,0.736429,0.11329,[ 4 14] ; [ 9 25],[ 4.5 13.5] ; [ 8.5 25.5],0
n3,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
u2,1,0.746188,0.104762,[1 3] ; [ 6 12],[1.27272727 2.72727273] ; [ 5.72727273 12.27272727],0
s1,1,0.79008,0.070866,[ 2 16] ; [ 3 31],[ 1.73076923 16.26923077] ; [ 3.26923077 30.73076923],0
s3,1,0.829813,0.0462,[ 5 13] ; [ 8 24],[ 4.68 13.32] ; [ 8.32 23.68],0
d5,1,0.857221,0.032369,[10  8] ; [18 16],[9.69230769 8.30769231] ; [18.30769231 15.69230769],0
p6,1,0.886934,0.020217,[ 3 15] ; [ 5 28],[ 2.82352941 15.17647059] ; [ 5.17647059 27.82352941],0
v1,1,0.915235,0.011329,[ 4 14] ; [ 8 26],[ 4.15384615 13.84615385] ; [ 7.84615385 26.15384615],0
s5,1,0.941604,0.005366,[ 1 17] ; [ 2 31],[ 1.05882353 16.94117647] ; [ 1.94117647 31.05882353],0
r2,1,0.948701,0.004139,[11  6] ; [21 11],[11.10204082  5.89795918] ; [20.89795918 11.10204082],0
u1,1,0.96165,0.002312,[ 1 17] ; [ 2 32],[ 1.03846154 16.96153846] ; [ 1.96153846 32.03846154],0
p2,1,0.963239,0.002124,[ 7 11] ; [13 21],[ 6.92307692 11.07692308] ; [13.07692308 20.92307692],0
