Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000862,11.102397,[44 24] ; [34  2],[51. 17.] ; [27.  9.],1
a7,1,0.287158,1.132898,[40 28] ; [25 11],[42.5 25.5] ; [22.5 13.5],0
p6,1,0.368565,0.808497,[11 57] ; [ 8 26],[12.66666667 55.33333333] ; [ 6.33333333 27.66666667],0
a5,1,0.38479,0.755342,[38 31] ; [23 13],[40.08571429 28.91428571] ; [20.91428571 15.08571429],0
b4,1,0.385973,0.751591,[40 29] ; [24 12],[42.05714286 26.94285714] ; [21.94285714 14.05714286],0
p4,1,0.391868,0.733139,[24 43] ; [16 20],[26.01941748 40.98058252] ; [13.98058252 22.01941748],0
a3,1,0.430228,0.622208,[38 30] ; [23 13],[39.88461538 28.11538462] ; [21.11538462 14.88461538],0
b1,1,0.435574,0.607914,[40 29] ; [18 18],[38.11428571 30.88571429] ; [19.88571429 16.11428571],0
a6,1,0.467974,0.526756,[41 28] ; [24 12],[42.71428571 26.28571429] ; [22.28571429 13.71428571],0
a8,1,0.472882,0.515233,[ 7 55] ; [ 5 25],[ 8.08695652 53.91304348] ; [ 3.91304348 26.08695652],0
p10,1,0.584529,0.298969,[21 47] ; [ 9 26],[19.80582524 48.19417476] ; [10.19417476 24.80582524],0
p5,1,0.635072,0.225245,[ 4 64] ; [ 3 33],[ 4.57692308 63.42307692] ; [ 2.42307692 33.57692308],0
p8,1,0.68017,0.169935,[20 48] ; [12 24],[20.92307692 47.07692308] ; [11.07692308 24.92307692],0
d4,1,0.697834,0.150735,[44 23] ; [25 11],[44.88349515 22.11650485] ; [24.11650485 11.88349515],0
u2,1,0.768676,0.086499,[14 16] ; [5 7],[13.57142857 16.42857143] ; [5.42857143 6.57142857],0
s1,1,0.826777,0.04789,[ 5 63] ; [ 3 32],[ 5.2815534 62.7184466] ; [ 2.7184466 32.2815534],0
p11,1,0.841633,0.039922,[35 34] ; [19 17],[35.48571429 33.51428571] ; [18.51428571 17.48571429],0
a4,1,0.853049,0.03431,[24 44] ; [13 22],[24.42718447 43.57281553] ; [12.57281553 22.42718447],0
d5,1,0.8893,0.019374,[47 22] ; [25 11],[47.31428571 21.68571429] ; [24.68571429 11.31428571],0
d2,1,0.926298,0.008557,[36 31] ; [19 17],[35.77669903 31.22330097] ; [19.22330097 16.77669903],0
s4,1,0.93099,0.007499,[10 57] ; [ 5 30],[ 9.85294118 57.14705882] ; [ 5.14705882 29.85294118],0
d1,1,0.934311,0.006793,[32 37] ; [17 19],[32.2 36.8] ; [16.8 19.2],0
b2,1,0.946411,0.004518,[14 29] ; [ 9 18],[14.12857143 28.87142857] ; [ 8.87142857 18.12857143],0
b3,1,0.946411,0.004518,[14 29] ; [ 9 18],[14.12857143 28.87142857] ; [ 8.87142857 18.12857143],0
u3,1,0.951895,0.003639,[14 17] ; [6 7],[14.09090909 16.90909091] ; [5.90909091 7.09090909],0
