Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.249849,[331  83] ; [67 99],[284.08965517 129.91034483] ; [113.91034483  52.08965517],1
a4,1,0.623668,0.240745,[195 219] ; [74 91],[192.34196891 221.65803109] ; [76.65803109 88.34196891],0
s1,1,0.636837,0.222903,[ 10 395] ; [  3 162],[  9.23684211 395.76315789] ; [  3.76315789 161.23684211],0
p11,1,0.697591,0.15099,[348  67] ; [137  29],[346.42857143  68.57142857] ; [138.57142857  27.42857143],0
n4,1,0.77482,0.081839,[370  44] ; [147  19],[369.03103448  44.96896552] ; [147.96896552  18.03103448],0
v3,1,0.820082,0.051729,[169 231] ; [71 93],[170.21276596 229.78723404] ; [69.78723404 94.21276596],0
p7,1,0.854564,0.033598,[284 119] ; [115  50],[283.09330986 119.90669014] ; [115.90669014  49.09330986],0
p9,1,0.863568,0.029527,[367  40] ; [148  17],[366.44230769  40.55769231] ; [148.55769231  16.44230769],0
a3,1,0.882175,0.021967,[306 107] ; [122  44],[305.29188256 107.70811744] ; [122.70811744  43.29188256],0
d2,1,0.958062,0.002765,[208 206] ; [83 83],[207.7137931 206.2862069] ; [83.2862069 82.7137931],0
s3,1,0.986409,0.00029,[240 166] ; [98 68],[239.90909091 166.09090909] ; [98.09090909 67.90909091],0
u4,1,0.996706,1.7e-05,[ 10 404] ; [  4 162],[  9.99310345 404.00689655] ; [  4.00689655 161.99310345],0
