Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.198881,[10 21] ; [96 27],[21.33766234  9.66233766] ; [84.66233766 38.33766234],1
a3,1,0.310451,1.028755,[19 12] ; [87 36],[21.33766234  9.66233766] ; [84.66233766 38.33766234],0
d4,1,0.358112,0.844505,[28  3] ; [103  20],[26.37012987  4.62987013] ; [104.62987013  18.37012987],0
p12,1,0.387637,0.746341,[ 2 28] ; [ 15 108],[ 3.33333333 26.66666667] ; [ 13.66666667 109.33333333],0
n2,1,0.394703,0.724403,[11  2] ; [24  9],[9.89130435 3.10869565] ; [25.10869565  7.89130435],0
s1,1,0.398649,0.712397,[ 1 30] ; [  9 112],[ 2.03947368 28.96052632] ; [  7.96052632 113.03947368],0
v4,1,0.420827,0.648005,[28  3] ; [116   7],[28.98701299  2.01298701] ; [115.01298701   7.98701299],0
p8,1,0.441555,0.592239,[ 6 24] ; [33 90],[ 7.64705882 22.35294118] ; [31.35294118 91.64705882],0
s5,1,0.470858,0.519962,[ 9 18] ; [47 68],[10.64788732 16.35211268] ; [45.35211268 69.64788732],0
a6,1,0.48632,0.484658,[16 15] ; [72 51],[17.71428571 13.28571429] ; [70.28571429 52.71428571],0
v1,1,0.49562,0.464302,[18 12] ; [61 54],[16.34482759 13.65517241] ; [62.65517241 52.34482759],0
p6,1,0.521501,0.410923,[ 5 26] ; [26 96],[ 6.28104575 24.71895425] ; [24.71895425 97.28104575],0
b4,1,0.525335,0.403407,[18 13] ; [79 44],[19.52597403 11.47402597] ; [77.47402597 45.52597403],0
s4,1,0.544862,0.366602,[ 9 22] ; [29 93],[ 7.69934641 23.30065359] ; [30.30065359 91.69934641],0
a5,1,0.595313,0.282123,[22  9] ; [93 30],[23.14935065  7.85064935] ; [91.85064935 31.14935065],0
d3,1,0.634174,0.226443,[19 12] ; [81 42],[20.12987013 10.87012987] ; [79.87012987 43.12987013],0
s3,1,0.675698,0.175008,[26  5] ; [105  16],[26.71710526  4.28289474] ; [104.28289474  16.71710526],0
u2,1,0.753776,0.098385,[7 4] ; [21 15],[6.55319149 4.44680851] ; [21.44680851 14.55319149],0
r4,1,0.786637,0.073267,[28  3] ; [109  14],[27.57792208  3.42207792] ; [109.42207792  13.57792208],0
p1,1,0.786637,0.073267,[ 3 28] ; [ 14 109],[ 3.42207792 27.57792208] ; [ 13.57792208 109.42207792],0
a1,1,0.805578,0.060582,[ 1 30] ; [  3 120],[ 0.80519481 30.19480519] ; [  3.19480519 119.80519481],0
p3,1,0.81787,0.053031,[12 19] ; [50 72],[12.5620915 18.4379085] ; [49.4379085 72.5620915],0
r1,1,0.831686,0.045173,[23  7] ; [92 31],[22.54901961  7.45098039] ; [92.45098039 30.54901961],0
a8,1,0.841577,0.039951,[ 3 24] ; [ 11 101],[ 2.71942446 24.28057554] ; [ 11.28057554 100.71942446],0
b1,1,0.908657,0.013164,[12 19] ; [49 74],[12.27922078 18.72077922] ; [48.72077922 74.27922078],0
v2,1,0.918473,0.010477,[14 13] ; [63 56],[14.23972603 12.76027397] ; [62.76027397 56.23972603],0
v3,1,0.920375,0.009992,[11 17] ; [44 71],[10.76923077 17.23076923] ; [44.23076923 70.76923077],0
r3,1,0.991549,0.000112,[29  2] ; [115   8],[28.98701299  2.01298701] ; [115.01298701   7.98701299],0
