Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,110.287818,[ 92 177] ; [183  42],[149.74696356 119.25303644] ; [125.25303644  99.74696356],1
d5,1,0.028993,4.768008,[202  69] ; [186  39],[211.99193548  59.00806452] ; [176.00806452  48.99193548],0
v4,1,0.048639,3.887772,[251  21] ; [217   8],[256.12877264  15.87122736] ; [211.87122736  13.12877264],0
n3,1,0.053957,3.71403,[52 30] ; [30  7],[56.50420168 25.49579832] ; [25.49579832 11.50420168],0
b3,1,0.060836,3.514444,[ 47 102] ; [63 87],[54.81605351 94.18394649] ; [55.18394649 94.81605351],0
b2,1,0.060836,3.514444,[ 47 102] ; [63 87],[54.81605351 94.18394649] ; [55.18394649 94.81605351],0
a2,1,0.062755,3.463045,[ 48 224] ; [ 55 170],[ 56.37022133 215.62977867] ; [ 46.62977867 178.37022133],0
b5,1,0.068157,3.326847,[180  92] ; [131  94],[170.20523139 101.79476861] ; [140.79476861  84.20523139],0
a4,1,0.077299,3.1208,[ 99 170] ; [100 124],[108.5821501 160.4178499] ; [ 90.4178499 133.5821501],0
r2,1,0.101822,2.676764,[243  25] ; [210  12],[247.76326531  20.23673469] ; [205.23673469  16.76326531],0
v2,1,0.101895,2.675633,[132 129] ; [126  91],[140.87447699 120.12552301] ; [117.12552301  99.87447699],0
s2,1,0.130609,2.285247,[ 95 174] ; [ 94 130],[103.12576065 165.87423935] ; [ 85.87423935 138.12576065],0
a1,1,0.169067,1.891196,[  7 265] ; [ 11 214],[  9.85110664 262.14889336] ; [  8.14889336 216.85110664],0
d2,1,0.175553,1.834871,[116 155] ; [110 115],[123.47983871 147.52016129] ; [102.52016129 122.47983871],0
a7,1,0.177294,1.820166,[191  80] ; [170  54],[197.63838384  73.36161616] ; [163.36161616  60.63838384],0
r1,1,0.252632,1.308692,[201  70] ; [176  48],[206.3979798  64.6020202] ; [170.6020202  53.3979798],0
n2,1,0.285584,1.140325,[59 23] ; [23 14],[56.50420168 25.49579832] ; [25.49579832 11.50420168],0
r3,1,0.291075,1.114642,[253  18] ; [215  10],[255.7016129  15.2983871] ; [212.2983871  12.7016129],0
u3,1,0.29713,1.08703,[44 50] ; [38 31],[47.28834356 46.71165644] ; [34.71165644 34.28834356],0
u4,1,0.357472,0.846753,[  5 267] ; [  7 218],[  6.56740443 265.43259557] ; [  5.43259557 219.56740443],0
a3,1,0.360225,0.837108,[177  94] ; [155  69],[181.76161616  89.23838384] ; [150.23838384  73.76161616],0
d1,1,0.369227,0.806266,[145 127] ; [129  96],[149.95573441 122.04426559] ; [124.04426559 100.95573441],0
d3,1,0.377336,0.779364,[186  85] ; [146  79],[181.39516129  89.60483871] ; [150.60483871  74.39516129],0
s4,1,0.563608,0.333495,[ 30 238] ; [ 29 196],[ 32.07302231 235.92697769] ; [ 26.92697769 198.07302231],0
a8,1,0.578253,0.309068,[ 36 217] ; [ 25 176],[ 33.99339207 219.00660793] ; [ 27.00660793 173.99339207],0
u2,1,0.647441,0.209141,[47 47] ; [37 32],[48.44171779 45.55828221] ; [35.55828221 33.44171779],0
b4,1,0.65157,0.203926,[159 113] ; [127  98],[156.52313883 115.47686117] ; [129.47686117  95.52313883],0
a6,1,0.652793,0.202397,[181  91] ; [154  71],[183.34004024  88.65995976] ; [151.65995976  73.34004024],0
d4,1,0.752111,0.099766,[212  60] ; [178  47],[213.44064386  58.55935614] ; [176.55935614  48.44064386],0
s1,1,0.774742,0.081898,[  7 260] ; [  5 220],[  6.51219512 260.48780488] ; [  5.48780488 219.51219512],0
n1,1,0.813397,0.055718,[27 55] ; [13 24],[27.56302521 54.43697479] ; [12.43697479 24.56302521],0
