Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000138,14.523517,[ 1 15] ; [6 1],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],1
u2,1,0.340144,0.90989,[8 8] ; [5 2],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
a8,1,0.434618,0.61045,[ 4 23] ; [ 1 14],[ 3.21428571 23.78571429] ; [ 1.78571429 13.21428571],0
d3,1,0.450335,0.569808,[17 12] ; [7 8],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
n2,1,0.456057,0.555556,[8 4] ; [4 4],[7.2 4.8] ; [4.8 3.2],0
n4,1,0.462297,0.540328,[16 13] ; [10  5],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
p7,1,0.462297,0.540328,[16 13] ; [10  5],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
s4,1,0.462522,0.539785,[ 5 24] ; [ 4 11],[ 5.93181818 23.06818182] ; [ 3.06818182 11.93181818],0
p6,1,0.516211,0.421456,[ 7 22] ; [ 5 10],[ 7.90909091 21.09090909] ; [ 4.09090909 10.90909091],0
a6,1,0.592346,0.286695,[13 16] ; [8 7],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
a3,1,0.592346,0.286695,[13 16] ; [8 7],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
p5,1,0.593636,0.284702,[ 4 25] ; [ 3 12],[ 4.61363636 24.38636364] ; [ 2.38636364 12.61363636],0
n5,1,0.603364,0.269952,[17 12] ; [10  5],[17.79545455 11.20454545] ; [9.20454545 5.79545455],0
u1,1,0.627099,0.236015,[ 1 28] ; [ 1 14],[ 1.31818182 27.68181818] ; [ 0.68181818 14.31818182],0
s1,1,0.627099,0.236015,[ 1 28] ; [ 1 14],[ 1.31818182 27.68181818] ; [ 0.68181818 14.31818182],0
n1,1,0.648077,0.208333,[ 2 10] ; [2 6],[2.4 9.6] ; [1.6 6.4],0
p11,1,0.653827,0.201109,[23  6] ; [11  4],[22.40909091  6.59090909] ; [11.59090909  3.40909091],0
a7,1,0.750455,0.101149,[15 14] ; [7 8],[14.5 14.5] ; [7.5 7.5],0
r4,1,0.763406,0.090608,[ 9 20] ; [ 4 11],[ 8.56818182 20.43181818] ; [ 4.43181818 10.56818182],0
v2,1,0.763781,0.090312,[11 18] ; [ 5 10],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
p12,1,0.76717,0.087663,[ 3 26] ; [ 2 13],[ 3.29545455 25.70454545] ; [ 1.70454545 13.29545455],0
r3,1,0.912609,0.012045,[22  6] ; [12  3],[22.13953488  5.86046512] ; [11.86046512  3.13953488],0
n6,1,0.946189,0.004555,[21  8] ; [10  4],[20.90697674  8.09302326] ; [10.09302326  3.90697674],0
a1,1,0.977122,0.000822,[ 2 27] ; [ 1 14],[ 1.97727273 27.02272727] ; [ 1.02272727 13.97727273],0
