Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7e-06,20.175049,[ 24 143] ; [23 30],[ 35.67727273 131.32272727] ; [11.32272727 41.67727273],1
r3,1,0.392197,0.732118,[156  10] ; [48  5],[154.63013699  11.36986301] ; [49.36986301  3.63013699],0
v2,1,0.507569,0.439075,[92 68] ; [32 19],[94.02843602 65.97156398] ; [29.97156398 21.02843602],0
a1,1,0.507926,0.438336,[  6 161] ; [ 3 50],[  6.83181818 160.16818182] ; [ 2.16818182 50.83181818],0
s1,1,0.529635,0.395093,[  6 159] ; [ 1 52],[  5.29816514 159.70183486] ; [ 1.70183486 51.29816514],0
u3,1,0.539394,0.376664,[30 26] ; [7 4],[30.92537313 25.07462687] ; [6.07462687 4.92537313],0
d1,1,0.59999,0.27501,[94 73] ; [32 21],[95.64545455 71.35454545] ; [30.35454545 22.64545455],0
a7,1,0.600723,0.273906,[122  44] ; [37 16],[120.52054795  45.47945205] ; [38.47945205 14.52054795],0
a5,1,0.622517,0.242345,[117  50] ; [39 14],[118.41818182  48.58181818] ; [37.58181818 15.41818182],0
v1,1,0.638682,0.22047,[80 86] ; [27 25],[81.47706422 84.52293578] ; [25.52293578 26.47706422],0
a6,1,0.643109,0.214699,[119  48] ; [36 17],[117.65909091  49.34090909] ; [37.34090909 15.65909091],0
s5,1,0.682612,0.167201,[ 22 142] ; [ 8 43],[ 22.88372093 141.11627907] ; [ 7.11627907 43.88372093],0
d4,1,0.687811,0.161465,[137  29] ; [45  8],[137.9543379  28.0456621] ; [44.0456621  8.9543379],0
b1,1,0.804283,0.061409,[ 63 104] ; [21 32],[ 63.76363636 103.23636364] ; [20.23636364 32.76363636],0
a2,1,0.874727,0.024856,[ 33 134] ; [11 42],[ 33.4 133.6] ; [10.6 42.4],0
n3,1,0.887252,0.020102,[29 15] ; [7 4],[28.8 15.2] ; [7.2 3.8],0
u2,1,0.912172,0.012166,[29 26] ; [6 5],[29.16666667 25.83333333] ; [5.83333333 5.16666667],0
d5,1,0.931892,0.007304,[127  40] ; [40 13],[126.76818182  40.23181818] ; [40.23181818 12.76818182],0
p11,1,0.950419,0.003866,[133  34] ; [42 11],[132.84090909  34.15909091] ; [42.15909091 10.84090909],0
v4,1,0.953505,0.0034,[157  10] ; [49  3],[157.08675799   9.91324201] ; [48.91324201  3.08675799],0
n2,1,0.960815,0.002414,[29 15] ; [8 4],[29.07142857 14.92857143] ; [7.92857143 4.07142857],0
