Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-05,19.448586,[32 57] ; [101  54],[48.51229508 40.48770492] ; [84.48770492 70.51229508],1
s1,1,0.607536,0.263778,[ 4 84] ; [  5 149],[ 3.27272727 84.72727273] ; [  5.72727273 148.27272727],0
d4,1,0.628371,0.234276,[50 39] ; [92 63],[51.79508197 37.20491803] ; [90.20491803 64.79508197],0
s5,1,0.632437,0.228771,[29 57] ; [ 47 106],[27.34728033 58.65271967] ; [ 48.65271967 104.34728033],0
b2,1,0.641057,0.217362,[20 41] ; [26 63],[18.70666667 42.29333333] ; [27.29333333 61.70666667],0
b3,1,0.641057,0.217362,[20 41] ; [26 63],[18.70666667 42.29333333] ; [27.29333333 61.70666667],0
n4,1,0.738018,0.111876,[60 29] ; [107  47],[61.16460905 27.83539095] ; [105.83539095  48.16460905],0
b4,1,0.743607,0.106981,[44 45] ; [80 75],[45.2295082 43.7704918] ; [78.7704918 76.2295082],0
a3,1,0.773999,0.082454,[50 38] ; [91 64],[51.0617284 36.9382716] ; [89.9382716 65.0617284],0
n2,1,0.779983,0.078031,[24  6] ; [27  8],[23.53846154  6.46153846] ; [27.46153846  7.53846154],0
p6,1,0.792244,0.069378,[37 51] ; [67 86],[37.97510373 50.02489627] ; [66.02489627 86.97510373],0
v3,1,0.812325,0.056372,[31 58] ; [ 51 102],[30.15702479 58.84297521] ; [ 51.84297521 101.15702479],0
b1,1,0.820027,0.051761,[40 49] ; [72 83],[40.85245902 48.14754098] ; [71.14754098 83.85245902],0
p11,1,0.856004,0.032929,[68 21] ; [120  35],[68.57377049 20.42622951] ; [119.42622951  35.57377049],0
p1,1,0.874843,0.024809,[ 7 82] ; [ 13 141],[ 7.32510288 81.67489712] ; [ 12.67489712 141.32510288],0
a4,1,0.889769,0.019209,[22 66] ; [ 40 115],[22.4526749 65.5473251] ; [ 39.5473251 115.4526749],0
n1,1,0.910948,0.012509,[12 17] ; [14 21],[11.78125 17.21875] ; [14.21875 20.78125],0
p12,1,0.929815,0.007758,[ 6 83] ; [ 10 145],[ 5.83606557 83.16393443] ; [ 10.16393443 144.83606557],0
n5,1,0.934936,0.006664,[65 24] ; [111  42],[64.72727273 24.27272727] ; [111.27272727  41.72727273],0
