Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.083863,[16  9] ; [17 81],[ 6.70731707 18.29268293] ; [26.29268293 71.70731707],1
s4,1,0.136053,2.222047,[ 2 24] ; [20 79],[ 4.576 21.424] ; [17.424 81.576],0
d2,1,0.163093,1.945313,[ 9 17] ; [48 48],[12.14754098 13.85245902] ; [44.85245902 51.14754098],0
p11,1,0.164202,1.935097,[15 11] ; [42 57],[11.856 14.144] ; [45.144 53.856],0
a6,1,0.194317,1.684579,[18  8] ; [54 44],[15.09677419 10.90322581] ; [56.90322581 41.09677419],0
d4,1,0.248223,1.333279,[17  9] ; [75 23],[19.29032258  6.70967742] ; [72.70967742 25.29032258],0
a1,1,0.263105,1.252348,[ 1 25] ; [11 88],[ 2.496 23.504] ; [ 9.504 89.496],0
d3,1,0.285525,1.1406,[11 15] ; [53 45],[13.41935484 12.58064516] ; [50.58064516 47.41935484],0
n6,1,0.319254,0.992,[14 11] ; [66 33],[16.12903226  8.87096774] ; [63.87096774 35.12903226],0
n5,1,0.329344,0.951474,[14 12] ; [63 35],[16.14516129  9.85483871] ; [60.85483871 37.14516129],0
s8,1,0.334997,0.929483,[ 4 22] ; [24 75],[ 5.824 20.176] ; [22.176 76.824],0
p12,1,0.336223,0.924782,[ 3 23] ; [ 6 93],[ 1.872 24.128] ; [ 7.128 91.872],0
b4,1,0.378244,0.776403,[13 13] ; [59 40],[14.976 11.024] ; [57.024 41.976],0
a3,1,0.380711,0.768405,[14 12] ; [62 36],[15.93548387 10.06451613] ; [60.06451613 37.93548387],0
v3,1,0.39227,0.731894,[ 9 17] ; [24 68],[ 7.27118644 18.72881356] ; [25.72881356 66.27118644],0
u2,1,0.404248,0.695652,[7 5] ; [16 20],[5.75 6.25] ; [17.25 18.75],0
n1,1,0.437613,0.602535,[2 5] ; [19 24],[2.94 4.06] ; [18.06 24.94],0
d5,1,0.446566,0.579353,[16 10] ; [68 30],[17.61290323  8.38709677] ; [66.38709677 31.61290323],0
s1,1,0.464307,0.535493,[ 3 23] ; [ 7 91],[ 2.09677419 23.90322581] ; [ 7.90322581 90.09677419],0
a5,1,0.470899,0.519866,[17  9] ; [57 42],[15.392 10.608] ; [58.608 40.392],0
r2,1,0.505764,0.44282,[22  3] ; [80 17],[20.90163934  4.09836066] ; [81.09836066 15.90163934],0
d1,1,0.513876,0.426167,[11 15] ; [49 50],[12.48 13.52] ; [47.52 51.48],0
u1,1,0.523943,0.406125,[ 2 24] ; [12 87],[ 2.912 23.088] ; [11.088 87.912],0
p9,1,0.525061,0.40394,[14 12] ; [44 50],[12.56666667 13.43333333] ; [45.43333333 48.56666667],0
n2,1,0.563146,0.334286,[5 2] ; [27 18],[4.30769231 2.69230769] ; [27.69230769 17.30769231],0
s5,1,0.579873,0.306439,[ 4 22] ; [19 75],[ 4.98333333 21.01666667] ; [18.01666667 75.98333333],0
u4,1,0.588241,0.2931,[ 1 25] ; [ 2 97],[ 0.624 25.376] ; [ 2.376 96.624],0
r1,1,0.655705,0.198783,[17  9] ; [60 39],[16.016  9.984] ; [60.984 38.016],0
b5,1,0.747936,0.103273,[13 13] ; [53 46],[13.728 12.272] ; [52.272 46.728],0
s6,1,0.78724,0.072844,[11 15] ; [39 60],[10.4 15.6] ; [39.6 59.4],0
p1,1,0.822735,0.050189,[ 2 24] ; [ 9 90],[ 2.288 23.712] ; [ 8.712 90.288],0
s3,1,0.830052,0.046068,[ 8 18] ; [32 65],[ 8.45528455 17.54471545] ; [31.54471545 65.45528455],0
a8,1,0.831316,0.045375,[ 2 23] ; [ 9 87],[ 2.27272727 22.72727273] ; [ 8.72727273 87.27272727],0
a7,1,0.934436,0.006768,[15 11] ; [58 41],[15.184 10.816] ; [57.816 41.184],0
u3,1,0.945013,0.004757,[5 7] ; [15 22],[4.89795918 7.10204082] ; [15.10204082 21.89795918],0
n3,1,0.958908,0.002655,[4 3] ; [23 18],[3.9375 3.0625] ; [23.0625 17.9375],0
