Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.5e-05,17.763691,[24 23] ; [ 32 128],[12.71497585 34.28502415] ; [ 43.28502415 116.71497585],1
r4,1,0.146133,2.112162,[37 10] ; [109  52],[32.99038462 14.00961538] ; [113.00961538  47.99038462],0
s3,1,0.158669,1.986863,[24 23] ; [62 95],[19.81372549 27.18627451] ; [66.18627451 90.81372549],0
v2,1,0.162166,1.95391,[23 23] ; [60 96],[18.9009901 27.0990099] ; [64.0990099 91.9009901],0
u2,1,0.162776,1.948246,[12  9] ; [25 38],[ 9.25 11.75] ; [27.75 35.25],0
b1,1,0.165772,1.920764,[27 20] ; [74 87],[22.82211538 24.17788462] ; [78.17788462 82.82211538],0
n6,1,0.220791,1.499224,[33 14] ; [96 63],[29.43203883 17.56796117] ; [99.56796117 59.43203883],0
r2,1,0.223147,1.484016,[42  4] ; [133  25],[39.46078431  6.53921569] ; [135.53921569  22.46078431],0
n1,1,0.227133,1.458729,[9 9] ; [22 42],[ 6.80487805 11.19512195] ; [24.19512195 39.80487805],0
b4,1,0.22975,1.442411,[24 23] ; [98 63],[27.56730769 19.43269231] ; [94.43269231 66.56730769],0
s5,1,0.284741,1.14432,[ 5 36] ; [ 31 129],[ 7.34328358 33.65671642] ; [ 28.65671642 131.34328358],0
n4,1,0.301761,1.066394,[32 15] ; [95 64],[28.97572816 18.02427184] ; [98.02427184 60.97572816],0
n5,1,0.333957,0.933492,[28 19] ; [82 77],[25.09708738 21.90291262] ; [84.90291262 74.09708738],0
a1,1,0.373187,0.793025,[ 2 45] ; [ 13 148],[ 3.38942308 43.61057692] ; [ 11.61057692 149.38942308],0
a7,1,0.442894,0.588773,[31 16] ; [95 64],[28.74757282 18.25242718] ; [97.25242718 61.74757282],0
v3,1,0.483518,0.490919,[10 35] ; [ 42 111],[11.81818182 33.18181818] ; [ 40.18181818 112.81818182],0
s6,1,0.526262,0.401604,[23 23] ; [72 89],[21.11111111 24.88888889] ; [73.88888889 87.11111111],0
a3,1,0.556298,0.346155,[26 21] ; [95 63],[27.74146341 19.25853659] ; [93.25853659 64.74146341],0
a2,1,0.598223,0.277684,[ 8 39] ; [ 33 128],[ 9.26442308 37.73557692] ; [ 31.73557692 129.26442308],0
a4,1,0.642535,0.215441,[21 26] ; [65 94],[19.62135922 27.37864078] ; [66.37864078 92.62135922],0
a6,1,0.661192,0.192078,[29 18] ; [93 67],[27.70048309 19.29951691] ; [94.29951691 65.70048309],0
u3,1,0.665579,0.186817,[11 10] ; [31 35],[10.13793103 10.86206897] ; [31.86206897 34.13793103],0
d1,1,0.685894,0.163567,[22 25] ; [70 91],[20.78846154 26.21153846] ; [71.21153846 89.78846154],0
d4,1,0.754392,0.097877,[35 12] ; [114  44],[34.16097561 12.83902439] ; [114.83902439  43.16097561],0
a8,1,0.757497,0.095338,[ 6 38] ; [ 17 126],[ 5.41176471 38.58823529] ; [ 17.58823529 125.41176471],0
s4,1,0.773466,0.082854,[ 8 38] ; [ 25 135],[ 7.36893204 38.63106796] ; [ 25.63106796 134.36893204],0
u1,1,0.791293,0.07003,[ 6 41] ; [ 23 138],[ 6.55288462 40.44711538] ; [ 22.44711538 138.55288462],0
r1,1,0.863915,0.029375,[31 16] ; [107  52],[31.48543689 15.51456311] ; [106.51456311  52.48543689],0
s1,1,0.87852,0.023362,[ 2 43] ; [  8 152],[ 2.19512195 42.80487805] ; [  7.80487805 152.19512195],0
d3,1,0.884305,0.021174,[27 20] ; [90 70],[26.56521739 20.43478261] ; [90.43478261 69.56521739],0
v1,1,0.890453,0.01897,[17 29] ; [ 57 102],[16.60487805 29.39512195] ; [ 57.39512195 101.60487805],0
d2,1,0.919901,0.010112,[23 24] ; [76 82],[22.69756098 24.30243902] ; [76.30243902 81.69756098],0
d5,1,0.931191,0.007456,[32 15] ; [110  50],[32.24154589 14.75845411] ; [109.75845411  50.24154589],0
