Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.3e-05,17.949474,[48  9] ; [12 18],[39.31034483 17.68965517] ; [20.68965517  9.31034483],1
p1,1,0.503829,0.446861,[ 2 55] ; [ 2 28],[ 2.62068966 54.37931034] ; [ 1.37931034 28.62068966],0
u1,1,0.506671,0.440936,[ 5 52] ; [ 4 26],[ 5.89655172 51.10344828] ; [ 3.10344828 26.89655172],0
u3,1,0.51043,0.433185,[11  5] ; [8 6],[10.13333333  5.86666667] ; [8.86666667 5.13333333],0
d4,1,0.574848,0.314638,[42 15] ; [19  9],[40.90588235 16.09411765] ; [20.09411765  7.90588235],0
p6,1,0.625249,0.238559,[20 35] ; [ 9 20],[18.98809524 36.01190476] ; [10.01190476 18.98809524],0
p12,1,0.640435,0.218173,[ 1 56] ; [ 1 29],[ 1.31034483 55.68965517] ; [ 0.68965517 29.31034483],0
a1,1,0.682897,0.166883,[ 3 54] ; [ 1 29],[ 2.62068966 54.37931034] ; [ 1.37931034 28.62068966],0
s5,1,0.732026,0.11726,[13 43] ; [ 6 24],[12.37209302 43.62790698] ; [ 6.62790698 23.37209302],0
a2,1,0.763299,0.090692,[11 46] ; [ 5 25],[10.48275862 46.51724138] ; [ 5.51724138 24.48275862],0
s4,1,0.778653,0.079003,[10 47] ; [ 6 24],[10.48275862 46.51724138] ; [ 5.51724138 24.48275862],0
n3,1,0.837829,0.04189,[10  4] ; [9 3],[10.23076923  3.76923077] ; [8.76923077 3.23076923],0
b4,1,0.838887,0.041338,[31 26] ; [17 13],[31.44827586 25.55172414] ; [16.55172414 13.44827586],0
a4,1,0.870016,0.026777,[20 37] ; [10 20],[19.65517241 37.34482759] ; [10.34482759 19.65517241],0
a8,1,0.977169,0.000819,[ 6 47] ; [ 3 23],[ 6.03797468 46.96202532] ; [ 2.96202532 23.03797468],0
v1,1,1.0,0.0,[22 33] ; [12 18],[22. 33.] ; [12. 18.],0
