Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,48.285714,[83  1] ; [17 19],[70. 14.] ; [30.  6.],1
p8,1,0.386817,0.748925,[38 45] ; [13 22],[35.87288136 47.12711864] ; [15.12711864 19.87288136],0
s8,1,0.428908,0.625778,[22 62] ; [ 7 29],[20.3 63.7] ; [ 8.7 27.3],0
a2,1,0.472037,0.517204,[ 5 80] ; [ 1 35],[ 4.21487603 80.78512397] ; [ 1.78512397 34.21487603],0
a8,1,0.572085,0.319206,[10 70] ; [ 3 31],[ 9.12280702 70.87719298] ; [ 3.87719298 30.12280702],0
n5,1,0.58786,0.293698,[51 32] ; [24 12],[52.31092437 30.68907563] ; [22.68907563 13.31092437],0
b4,1,0.621628,0.243586,[49 36] ; [19 17],[47.76859504 37.23140496] ; [20.23140496 15.76859504],0
d2,1,0.782535,0.076185,[17 68] ; [ 8 28],[17.56198347 67.43801653] ; [ 7.43801653 28.56198347],0
b5,1,0.792029,0.069525,[45 40] ; [20 16],[45.66115702 39.33884298] ; [19.33884298 16.66115702],0
b2,1,0.803937,0.06163,[11 29] ; [ 7 16],[11.42857143 28.57142857] ; [ 6.57142857 16.42857143],0
b3,1,0.803937,0.06163,[11 29] ; [ 7 16],[11.42857143 28.57142857] ; [ 6.57142857 16.42857143],0
d1,1,0.832563,0.044697,[ 3 82] ; [ 1 35],[ 2.80991736 82.19008264] ; [ 1.19008264 34.80991736],0
n1,1,0.837046,0.042302,[ 8 13] ; [ 7 13],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
a3,1,0.866328,0.028333,[35 49] ; [14 21],[34.58823529 49.41176471] ; [14.41176471 20.58823529],0
