Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,22.083863,[ 9 81] ; [16 17],[18.29268293 71.70731707] ; [ 6.70731707 26.29268293],1
p12,1,0.716666,0.131709,[ 7 83] ; [ 2 32],[ 6.53225806 83.46774194] ; [ 2.46774194 31.53225806],0
n1,1,0.725882,0.122927,[19 24] ; [3 5],[18.54901961 24.45098039] ; [3.45098039 4.54901961],0
v3,1,0.726376,0.122465,[24 61] ; [ 8 24],[23.24786325 61.75213675] ; [ 8.75213675 23.24786325],0
s8,1,0.744312,0.106373,[21 69] ; [ 7 27],[20.32258065 69.67741935] ; [ 7.67741935 26.32258065],0
a7,1,0.770878,0.084813,[53 37] ; [21 13],[53.70967742 36.29032258] ; [20.29032258 13.70967742],0
r1,1,0.816193,0.054031,[55 35] ; [20 14],[54.43548387 35.56451613] ; [20.56451613 13.43548387],0
a5,1,0.816193,0.054031,[55 35] ; [20 14],[54.43548387 35.56451613] ; [20.56451613 13.43548387],0
s5,1,0.844531,0.038456,[17 69] ; [ 6 27],[16.62184874 69.37815126] ; [ 6.37815126 26.62184874],0
u3,1,0.864691,0.029038,[14 22] ; [5 7],[14.25 21.75] ; [4.75 7.25],0
u2,1,0.918098,0.010574,[17 19] ; [5 6],[16.85106383 19.14893617] ; [5.14893617 5.85106383],0
d1,1,0.942989,0.005114,[43 47] ; [16 18],[42.82258065 47.17741935] ; [16.17741935 17.82258065],0
n5,1,0.962635,0.002195,[56 34] ; [21 13],[55.88709677 34.11290323] ; [21.11290323 12.88709677],0
